;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome;y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;47;blue-collar;married;secondary;no;3237;yes;no;cellular;18;nov;989;1;187;3;failure;yes;ok;1,720946192741394;2,6449558092355727;1,0;1,696;100,0;0,0
1;39;management;single;tertiary;no;633;no;no;cellular;19;nov;902;2;392;3;failure;yes;ok;1,982275366783142;2,6449558092355727;2,0;1,696;100,0;0,0
2;34;technician;married;secondary;no;256;yes;no;cellular;12;aug;2063;2;267;10;failure;yes;ok;3,7344422340393066;2,6449558092355727;2,0;1,696;100,0;0,0
3;66;admin.;single;secondary;no;523;no;yes;cellular;12;jun;1902;3;101;1;success;yes;ok;4,121743679046631;2,6449558092355727;2,0;1,696;100,0;0,0
4;69;retired;married;secondary;no;0;no;no;cellular;27;jul;119;1;90;4;success;no;ok;0,9898607134819031;2,6449558092355727;1,0;1,696;100,0;0,0
5;32;blue-collar;married;secondary;no;944;no;no;cellular;13;sep;794;2;362;1;other;yes;ok;1,3552613258361816;2,6449558092355727;2,0;1,696;100,0;0,0
6;67;services;married;secondary;no;46467;yes;yes;cellular;8;may;2174;6;343;2;failure;yes;ok;5,577487468719482;2,6449558092355727;3,0;1,696;100,0;0,0
7;26;technician;married;secondary;no;523;no;yes;cellular;4;jun;221;4;126;1;failure;no;ok;2,8508832454681396;2,6449558092355727;2,0;1,696;100,0;0,0
8;47;blue-collar;married;secondary;no;3715;no;no;cellular;12;feb;171;2;182;4;success;yes;ok;1,162463903427124;2,6449558092355727;1,0;1,696;100,0;0,0
9;69;retired;married;primary;no;324;no;no;telephone;12;aug;48;1;189;4;success;no;ok;3,681358575820923;2,6449558092355727;2,0;1,696;100,0;0,0
10;47;management;married;tertiary;no;288;no;no;cellular;31;mar;193;1;606;1;success;no;ok;2,231471538543701;2,6449558092355727;1,0;1,696;100,0;0,0
11;33;admin.;single;secondary;no;1590;yes;no;cellular;23;apr;1541;4;334;1;other;yes;ok;2,7821571826934814;2,6449558092355727;2,0;1,696;100,0;0,0
12;43;technician;married;secondary;no;10348;yes;no;cellular;12;may;573;2;300;1;failure;yes;ok;1,018584966659546;2,6449558092355727;2,0;1,696;100,0;0,0
13;31;services;married;secondary;no;442;yes;no;cellular;2;feb;550;1;270;2;success;yes;ok;2,482525110244751;2,6449558092355727;2,0;1,696;100,0;0,0
14;50;housemaid;divorced;secondary;no;0;no;no;telephone;13;aug;1112;1;105;2;failure;yes;ok;1,9344810247421265;2,6449558092355727;1,0;1,696;100,0;0,0
15;40;technician;married;tertiary;no;602;yes;no;cellular;15;may;665;4;360;7;failure;yes;ok;0,9410010576248169;2,6449558092355727;1,0;1,696;100,0;0,0
16;41;management;single;tertiary;no;195;no;no;cellular;20;nov;2024;1;167;2;failure;yes;ok;3,4364633560180664;2,6449558092355727;1,0;1,696;100,0;0,0
17;31;management;married;tertiary;no;3967;yes;no;cellular;21;nov;1452;1;182;1;failure;no;ok;1,9118789434432983;2,6449558092355727;2,0;1,696;100,0;0,0
18;54;management;married;tertiary;no;3795;yes;no;cellular;24;nov;227;2;119;1;failure;yes;ok;2,739394187927246;2,6449558092355727;2,0;1,696;100,0;0,0
19;31;admin.;single;tertiary;no;4129;no;no;cellular;2;mar;1071;1;182;1;failure;yes;ok;1,7480905055999756;2,6449558092355727;1,0;1,696;100,0;0,0
20;27;admin.;married;secondary;no;-401;yes;yes;cellular;3;feb;205;3;426;1;failure;yes;ok;1,1131104230880737;2,6449558092355727;1,0;1,696;100,0;0,0
21;33;blue-collar;married;secondary;no;687;yes;no;cellular;14;may;757;15;370;1;failure;yes;ok;5,293703556060791;2,6449558092355727;2,0;1,696;100,0;0,0
22;80;management;single;secondary;no;6217;yes;yes;cellular;18;nov;486;2;181;2;failure;yes;ok;3,814378261566162;2,6449558092355727;2,0;1,696;100,0;0,0
23;29;services;single;secondary;no;40;yes;no;cellular;15;may;675;1;355;2;failure;yes;ok;1,0993441343307495;2,6449558092355727;2,0;1,696;100,0;0,0
24;32;unemployed;single;primary;no;528;yes;no;cellular;16;apr;219;1;427;1;failure;yes;ok;2,8980743885040283;2,6449558092355727;2,0;1,696;100,0;0,0
25;46;technician;married;secondary;no;198;no;no;cellular;30;jan;153;1;523;6;other;yes;ok;3,4245524406433105;2,6449558092355727;2,0;1,696;100,0;0,0
26;32;blue-collar;single;secondary;no;1139;yes;no;cellular;29;jan;506;1;191;1;success;yes;ok;2,4628186225891113;2,6449558092355727;2,0;1,696;100,0;0,0
27;30;services;divorced;secondary;no;1336;yes;no;cellular;18;may;1546;3;355;5;success;yes;ok;3,6195526123046875;2,6449558092355727;2,0;1,696;100,0;0,0
28;37;technician;married;secondary;no;720;yes;no;cellular;14;dec;365;6;735;3;failure;yes;ok;4,082246780395508;2,6449558092355727;2,0;1,696;100,0;0,0
29;30;admin.;single;secondary;no;270;yes;no;cellular;30;apr;437;1;80;1;other;no;ok;2,3655452728271484;2,6449558092355727;2,0;1,696;100,0;0,0
30;60;blue-collar;married;primary;no;1723;no;no;cellular;4;may;836;4;83;3;failure;yes;ok;1,2233014106750488;2,6449558092355727;1,0;1,696;100,0;0,0
31;19;student;single;primary;no;74048;no;no;cellular;15;oct;96;2;97;22;success;no;ok;6,515742778778076;2,6449558092355727;2,0;1,696;100,0;0,0
32;28;management;single;tertiary;no;187;no;no;cellular;10;sep;255;14;525;2;success;no;ok;5,624194622039795;2,6449558092355727;2,0;1,696;100,0;0,0
33;43;blue-collar;married;primary;no;555;yes;no;cellular;12;may;744;2;369;2;failure;yes;ok;1,029672384262085;2,6449558092355727;1,0;1,696;100,0;0,0
34;59;management;married;tertiary;no;2143;yes;no;cellular;28;jan;575;1;268;1;success;yes;ok;2,505434513092041;2,6449558092355727;2,0;1,696;100,0;0,0
35;56;technician;single;primary;no;145;yes;no;telephone;6;feb;124;2;804;2;other;yes;ok;4,174163818359375;2,6449558092355727;1,0;1,696;100,0;0,0
36;85;services;divorced;secondary;no;34896;yes;no;cellular;17;nov;874;4;119;3;failure;yes;ok;4,198014736175537;2,6449558092355727;3,0;1,696;100,0;0,0
37;40;technician;married;secondary;no;4441;yes;no;cellular;20;nov;757;2;183;2;failure;yes;ok;1,0930088758468628;2,6449558092355727;1,0;1,696;100,0;0,0
38;40;blue-collar;married;primary;no;3462;yes;no;cellular;9;feb;1020;3;277;4;other;yes;ok;1,5363651514053345;2,6449558092355727;1,0;1,696;100,0;0,0
39;35;admin.;married;secondary;no;3187;yes;no;cellular;19;nov;1287;2;183;1;success;yes;ok;3,079578399658203;2,6449558092355727;2,0;1,696;100,0;0,0
40;47;blue-collar;married;secondary;no;668;yes;no;telephone;4;may;1095;6;354;2;success;yes;ok;3,7098453044891357;2,6449558092355727;2,0;1,696;100,0;0,0
41;54;retired;single;secondary;no;515;yes;no;cellular;6;feb;485;2;640;1;failure;yes;ok;2,2343907356262207;2,6449558092355727;2,0;1,696;100,0;0,0
42;20;student;single;secondary;no;215;no;no;cellular;24;nov;325;6;95;5;other;no;ok;2,2955338954925537;2,6449558092355727;2,0;1,696;100,0;0,0
43;49;blue-collar;single;primary;no;490;yes;no;telephone;18;may;1000;5;364;2;failure;yes;ok;2,3780641555786133;2,6449558092355727;2,0;1,696;100,0;0,0
44;34;blue-collar;divorced;secondary;no;1614;yes;no;cellular;15;dec;228;2;817;1;other;yes;ok;3,263338804244995;2,6449558092355727;2,0;1,696;100,0;0,0
