;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;Y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;280000;1;1;2;35;1;-1;-1;-1;-1;3;0;416;832;210944;832;416;416;832;0;832;416;0;1,0;ok;3,087047576904297;3,543661587893963;2,0;1,85;100,0;0,0
1;20000;1;2;2;48;0;0;0;2;0;0;7186;9063;10909;499981;10803;11330;2000;2000;195401;680;1000;0;1,0;ok;6,250687599182129;3,543661587893963;2,0;1,85;100,0;0,0
2;240000;1;1;2;30;-2;-2;-2;0;-2;-2;0;0;0;72872;0;0;0;0;0;0;0;0;1,0;ok;1,2758666276931763;3,543661587893963;2,0;1,85;100,0;0,0
3;250000;1;2;1;36;3;0;0;0;0;4;168899;174479;157088;136787;139385;122947;10000;8300;5200;5500;5000;5000;1,0;ok;2,706493854522705;3,543661587893963;2,0;1,85;100,0;0,0
4;50000;2;2;1;38;0;-1;-1;4;-1;-1;1226;1226;1226;1226;1765;1066;1226;1226;1226;1765;1066;170;1,0;ok;2,778463840484619;3,543661587893963;1,0;1,85;100,0;0,0
5;110000;2;2;1;39;0;0;0;0;0;0;541938;91198;449532;80491;78967;80628;3226;3050;2765;2304;2400;1885;1,0;ok;5,102006435394287;3,543661587893963;2,0;1,85;100,0;0,0
6;30000;2;1;1;35;2;0;0;0;0;0;27703;28743;27048;26592;23874;23293;1500;1356;900;1000;1100;191288;0,0;ok;2,69411301612854;3,543661587893963;1,0;1,85;100,0;0,0
7;360000;2;2;1;45;3;0;0;0;0;0;222505;199464;182886;109556;111286;325356;8000;7565;4100;47526;3445;2000;1,0;ok;3,6632578372955322;3,543661587893963;3,0;1,85;100,0;0,0
8;100000;2;2;1;26;2;0;0;0;0;0;1962;4911;433616;6942;7102;9966;3000;1106;1115;275;3000;412;1,0;ok;3,0365450382232666;3,543661587893963;2,0;1,85;100,0;0,0
9;98919;2;2;2;34;-2;-2;-2;6;-2;-2;1716;1518;909;-1307;-3237;-5459;1518;1000;0;0;0;0;1,0;ok;4,530542373657227;3,543661587893963;2,0;1,85;100,0;0,0
10;200000;1;2;1;41;7;2;0;0;0;0;69963;67223;276789;69289;70333;70610;0;2943;2301;2374;2500;5300;1,0;ok;2,5300686359405518;3,543661587893963;2,0;1,85;100,0;0,0
11;230000;2;4;2;31;3;-2;-2;-2;-2;-2;49279;4646;5419;4379;2455;34517;4674;5449;4407;2455;34517;8495;1,0;ok;3,8876585960388184;3,543661587893963;2,0;1,85;100,0;0,0
12;735997;2;2;2;26;2;0;0;0;0;0;130535;127155;126264;128318;96428;98156;6000;5200;5000;3500;3622;191849;0,0;ok;4,833342552185059;3,543661587893963;2,0;1,85;100,0;0,0
13;260000;1;2;1;34;8;0;0;0;0;0;176688;179281;180957;165911;169863;71403;6929;5088;4138;80503;2450;1507;1,0;ok;3,634732723236084;3,543661587893963;2,0;1,85;100,0;0,0
14;170000;1;1;2;36;-1;-1;-1;-1;-1;-1;8433;644;222389;486253;499;576;644;7567;0;499;576;0;1,0;ok;4,437080383300781;3,543661587893963;2,0;1,85;100,0;0,0
15;230000;2;2;2;38;5;0;0;0;0;0;104364;106549;108719;111039;113365;115625;80177;3941;4123;4267;4300;4084;1,0;ok;3,1174259185791016;3,543661587893963;2,0;1,85;100,0;0,0
16;120000;2;2;2;23;5;0;0;0;0;0;115653;108971;480995;22321;32150;36644;5000;5000;2000;20000;10000;10000;1,0;ok;3,249595880508423;3,543661587893963;2,0;1,85;100,0;0,0
17;200000;1;1;1;29;4;-1;-1;-1;-1;-1;9585;1686;820;1889;6617;3986;1735;824;1889;6617;3986;2460;1,0;ok;1,7364414930343628;3,543661587893963;1,0;1,85;100,0;0,0
18;50000;1;2;2;35;0;0;0;0;0;0;50497;49289;436572;20067;20197;20202;2011;5009;2000;1000;1500;3000;1,0;ok;2,766615867614746;3,543661587893963;1,0;1,85;100,0;0,0
19;170000;2;2;1;46;-1;-1;-1;-2;-1;-1;2741;1848;335344;0;61826;3498;1848;0;0;1542;3498;8095;1,0;ok;2,4530527591705322;3,543661587893963;2,0;1,85;100,0;0,0
20;60000;2;2;2;27;0;0;0;0;0;0;41546;45025;416341;31965;30297;29814;5845;2000;1812;1037;1218;1085;1,0;ok;2,609193801879883;3,543661587893963;1,0;1,85;100,0;0,0
21;250000;2;1;2;37;2;0;0;7;0;0;116861;97569;90937;87445;84268;80762;3424;3317;3023;2937;2931;3022;1,0;ok;3,9513750076293945;3,543661587893963;2,0;1,85;100,0;0,0
22;130000;2;3;1;26;0;0;3;0;0;0;131724;130186;412974;115800;98268;83729;5510;8970;5239;5234;4000;4000;1,0;ok;2,8152849674224854;3,543661587893963;2,0;1,85;100,0;0,0
23;50000;1;2;2;32;0;0;3;2;2;-2;15276;19797;254174;18600;19697;20243;4800;0;0;1700;1000;0;1,0;ok;2,9794559478759766;3,543661587893963;2,0;1,85;100,0;0,0
24;200000;1;2;1;38;4;0;0;-2;-2;-2;7400;2872;212;2387;0;-2620;1005;220;2387;0;0;3380;1,0;ok;1,389153242111206;3,543661587893963;1,0;1,85;100,0;0,0
25;60000;1;3;2;26;1;2;0;0;0;0;61966;60308;389155;17079;18219;19542;0;5021;5000;2000;2000;1720;1,0;ok;2,3611862659454346;3,543661587893963;1,0;1,85;100,0;0,0
26;79888;2;1;1;33;2;-1;0;4;-1;0;8117;20837;21610;10654;4427;1800;20837;1118;10658;6341;0;3;0,0;ok;3,5855813026428223;3,543661587893963;2,0;1,85;100,0;0,0
27;30000;1;2;1;25;-1;-1;-2;-1;2;2;30527;29910;0;25919;26383;282171;1389;0;25919;1000;0;19283;1,0;ok;3,5434889793395996;3,543661587893963;1,0;1,85;100,0;0,0
28;250000;2;2;1;31;3;0;1;0;0;5;103109;102594;97109;99029;100871;101299;4000;4500;5000;4000;5000;4400;1,0;ok;3,357665538787842;3,543661587893963;3,0;1,85;100,0;0,0
29;500000;2;2;1;66;6;-1;-1;-1;6;-1;3718;1755;2988;11645;13237;303512;1755;2988;11645;13237;303512;0;1,0;ok;5,322622299194336;3,543661587893963;2,0;1,85;100,0;0,0
