;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;A14;30;A32;A43;11036;A61;A75;4;A93;A101;2;A123;30;A141;A152;1;A174;1;A191;A201;0,0;ok;1,938265323638916;2,663858051300049;2,0;1,755;100,0;0,0
1;A13;60;A32;A40;13844;A61;A72;4;A93;A101;1;A121;26;A143;A152;1;A173;1;A191;A201;0,0;ok;3,571232795715332;2,663858051300049;2,0;1,755;100,0;0,0
2;A13;42;A30;A49;6289;A65;A74;2;A91;A101;1;A122;33;A143;A152;2;A173;1;A191;A201;1,0;ok;2,987793207168579;2,663858051300049;2,0;1,755;100,0;0,0
3;A12;30;A32;A42;3832;A61;A72;2;A94;A103;1;A122;22;A143;A152;4;A173;1;A191;A201;1,0;ok;5,688265323638916;2,663858051300049;2,0;1,755;100,0;0,0
4;A11;24;A32;A40;1371;A63;A73;4;A92;A101;4;A121;75;A143;A151;1;A173;1;A191;A201;1,0;ok;4,116943359375;2,663858051300049;2,0;1,755;100,0;0,0
5;A11;6;A34;A43;700;A65;A75;3;A93;A101;4;A124;36;A143;A153;2;A173;1;A191;A201;0,0;ok;2,55926513671875;2,663858051300049;2,0;1,755;100,0;0,0
6;A12;59;A34;A42;983;A64;A72;1;A92;A101;4;A121;19;A143;A151;1;A172;1;A191;A201;0,0;ok;3,3651349544525146;2,663858051300049;2,0;1,755;100,0;0,0
7;A14;27;A34;A49;8318;A61;A75;2;A92;A101;4;A124;42;A143;A153;2;A174;1;A192;A201;1,0;ok;3,9911997318267822;2,663858051300049;2,0;1,755;100,0;0,0
8;A14;67;A32;A40;1249;A61;A72;4;A94;A101;2;A121;28;A143;A152;1;A173;1;A191;A201;0,0;ok;2,5843148231506348;2,663858051300049;1,0;1,755;100,0;0,0
9;A14;7;A34;A43;17193;A65;A72;4;A93;A101;2;A122;46;A143;A151;2;A172;1;A192;A201;0,0;ok;3,63783860206604;2,663858051300049;2,0;1,755;100,0;0,0
10;A14;12;A32;A43;16657;A61;A73;2;A94;A101;4;A123;52;A143;A152;1;A173;1;A192;A201;0,0;ok;2,6306896209716797;2,663858051300049;2,0;1,755;100,0;0,0
11;A11;42;A32;A43;7174;A62;A74;4;A92;A101;3;A124;30;A143;A152;1;A174;1;A192;A201;0,0;ok;2,1193618774414062;2,663858051300049;2,0;1,755;100,0;0,0
12;A12;30;A34;A40;4249;A61;A71;4;A94;A101;2;A123;69;A143;A152;2;A173;1;A191;A201;1,0;ok;3,533923625946045;2,663858051300049;2,0;1,755;100,0;0,0
13;A14;24;A34;A49;4526;A61;A73;3;A93;A102;2;A121;74;A143;A151;1;A174;1;A192;A201;0,0;ok;2,498744010925293;2,663858051300049;2,0;1,755;100,0;0,0
14;A12;30;A32;A42;2150;A61;A73;4;A92;A103;2;A124;24;A141;A152;1;A173;1;A191;A201;1,0;ok;1,0618619918823242;2,663858051300049;1,0;1,755;100,0;0,0
15;A11;24;A31;A410;17799;A65;A75;4;A93;A101;3;A123;40;A142;A152;2;A174;1;A192;A201;0,0;ok;3,151583433151245;2,663858051300049;2,0;1,755;100,0;0,0
16;A14;10;A32;A40;13750;A62;A73;3;A93;A101;2;A124;35;A143;A151;1;A172;1;A191;A202;0,0;ok;3,4721286296844482;2,663858051300049;2,0;1,755;100,0;0,0
17;A12;71;A34;A49;2326;A63;A73;2;A93;A101;4;A123;27;A141;A152;2;A173;1;A191;A201;0,0;ok;3,689258337020874;2,663858051300049;2,0;1,755;100,0;0,0
18;A12;24;A34;A40;3878;A61;A72;4;A91;A101;2;A123;37;A141;A152;1;A173;1;A192;A201;0,0;ok;2,6266427040100098;2,663858051300049;2,0;1,755;100,0;0,0
19;A12;30;A30;A49;4221;A64;A73;4;A92;A101;1;A123;28;A143;A152;2;A173;1;A191;A201;1,0;ok;2,624236583709717;2,663858051300049;2,0;1,755;100,0;0,0
