;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;A11;30;A32;A43;2333;A63;A75;4;A93;A101;2;A124;30;A141;A152;1;A174;1;A191;A201;0,0;ok;2,675623893737793;2,554600336998701;2,0;1,665;100,0;0,0
1;A13;12;A31;A40;1330;A61;A72;4;A93;A101;1;A121;26;A143;A151;1;A173;1;A191;A201;0,0;ok;1,9662381410598755;2,554600336998701;2,0;1,665;100,0;0,0
2;A13;42;A34;A49;6289;A63;A72;2;A91;A101;1;A122;33;A143;A152;2;A173;1;A191;A201;1,0;ok;3,6379711627960205;2,554600336998701;2,0;1,665;100,0;0,0
3;A12;30;A32;A42;12767;A61;A72;2;A94;A101;1;A122;22;A143;A152;1;A173;1;A191;A201;0,0;ok;1,5990679264068604;2,554600336998701;1,0;1,665;100,0;0,0
4;A11;24;A32;A40;16330;A65;A73;4;A92;A101;4;A121;25;A143;A151;1;A173;1;A191;A201;1,0;ok;2,677163600921631;2,554600336998701;1,0;1,665;100,0;0,0
5;A11;51;A34;A43;700;A65;A75;4;A93;A101;4;A124;36;A143;A153;2;A173;1;A191;A201;0,0;ok;3,9015235900878906;2,554600336998701;2,0;1,665;100,0;0,0
6;A12;12;A32;A42;983;A64;A72;1;A92;A101;4;A123;32;A143;A151;1;A172;1;A191;A201;1,0;ok;2,135892868041992;2,554600336998701;2,0;1,665;100,0;0,0
7;A12;27;A32;A49;8318;A61;A74;2;A92;A101;4;A124;42;A143;A153;2;A174;1;A192;A201;1,0;ok;1,889007329940796;2,554600336998701;2,0;1,665;100,0;0,0
8;A14;24;A32;A40;1249;A61;A72;4;A94;A101;2;A121;28;A143;A151;1;A173;1;A191;A201;0,0;ok;1,7702580690383911;2,554600336998701;1,0;1,665;100,0;0,0
9;A14;36;A31;A43;730;A65;A75;4;A93;A101;2;A122;46;A143;A151;2;A172;1;A192;A201;0,0;ok;3,207146167755127;2,554600336998701;2,0;1,665;100,0;0,0
10;A14;12;A32;A43;599;A61;A73;2;A93;A101;4;A123;52;A143;A152;1;A173;1;A192;A201;0,0;ok;0,44347959756851196;2,554600336998701;1,0;1,665;100,0;0,0
11;A11;42;A30;A43;7174;A65;A74;4;A92;A101;2;A123;30;A143;A152;1;A174;1;A192;A201;0,0;ok;1,929056167602539;2,554600336998701;2,0;1,665;100,0;0,0
12;A12;30;A34;A410;4249;A61;A71;1;A94;A101;2;A123;28;A143;A152;2;A174;1;A191;A201;1,0;ok;2,759420156478882;2,554600336998701;2,0;1,665;100,0;0,0
13;A14;24;A34;A49;14806;A61;A73;3;A93;A101;2;A121;74;A143;A151;1;A174;1;A192;A201;0,0;ok;2,553154468536377;2,554600336998701;2,0;1,665;100,0;0,0
14;A12;30;A32;A40;2150;A61;A73;4;A92;A103;3;A121;24;A141;A152;1;A173;1;A191;A201;1,0;ok;2,881808280944824;2,554600336998701;2,0;1,665;100,0;0,0
15;A11;24;A31;A410;1358;A65;A75;4;A93;A101;3;A121;40;A142;A152;1;A174;1;A192;A201;1,0;ok;1,8272842168807983;2,554600336998701;1,0;1,665;100,0;0,0
