;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;A14;30;A31;A43;13511;A63;A75;4;A93;A101;2;A123;30;A141;A152;1;A174;1;A191;A201;0,0;ok;2,132782220840454;2,915784053057432;2,0;1,855;100,0;0,0
1;A13;61;A32;A40;1330;A61;A72;4;A93;A101;1;A121;26;A143;A151;1;A173;1;A191;A201;0,0;ok;3,2731425762176514;2,915784053057432;2,0;1,855;100,0;0,0
2;A13;42;A30;A49;6289;A62;A72;2;A91;A101;1;A122;46;A143;A152;2;A173;1;A191;A201;0,0;ok;1,2317619323730469;2,915784053057432;2,0;1,855;100,0;0,0
3;A12;30;A32;A42;3832;A61;A72;2;A94;A101;1;A122;73;A143;A152;1;A173;1;A191;A201;1,0;ok;3,9406991004943848;2,915784053057432;1,0;1,855;100,0;0,0
4;A11;24;A32;A40;1371;A65;A73;4;A94;A101;4;A121;25;A143;A151;1;A173;1;A191;A201;1,0;ok;2,6051583290100098;2,915784053057432;1,0;1,855;100,0;0,0
5;A11;54;A34;A43;700;A65;A75;4;A93;A101;4;A124;36;A143;A153;2;A173;1;A191;A201;0,0;ok;3,7998270988464355;2,915784053057432;2,0;1,855;100,0;0,0
6;A12;12;A32;A42;983;A62;A72;1;A92;A101;4;A121;19;A143;A151;1;A172;1;A191;A201;0,0;ok;1,4258098602294922;2,915784053057432;1,0;1,855;100,0;0,0
7;A12;27;A34;A49;8318;A61;A75;2;A92;A101;4;A124;42;A143;A151;2;A174;1;A192;A201;1,0;ok;4,798203945159912;2,915784053057432;2,0;1,855;100,0;0,0
8;A12;24;A31;A40;1249;A61;A72;4;A94;A101;2;A121;28;A143;A152;1;A173;1;A191;A201;0,0;ok;1,963736891746521;2,915784053057432;2,0;1,855;100,0;0,0
9;A11;7;A31;A43;10473;A62;A75;4;A93;A101;2;A122;46;A143;A151;2;A172;1;A192;A201;0,0;ok;4,527160167694092;2,915784053057432;4,0;1,855;100,0;0,0
