;age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country
0;0;0;0;0;0;0;0;0;0;0;17,25531939;0;0;0
1;1,069066474;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;1,88957697;0;0;0
3;0;0;0;0;0;0;0;0;0;0;5,708117013;0;0;0
4;0;0;0;0;0;0;0;0;0;0;17,58092392;0;0;0
5;0;0;1,073786176;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;11,93800429;0;0;0
7;0;0;0;0;0;0;0;0;0;1;2,132776596;0;0;0
8;5,039884805;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;2,636765759;0;0;0
10;2,061771057;0;0;0;0;0;0;0;0;1;0;0;0;0
11;0;0;0;0;0;0;0;0;1;0;7,272471841;0;0;0
12;0;0;0;0;0;1;0;0;0;0;0;0;0;1
13;0;1;0;0;0;0;0;0;0;0;2,866008174;0;0;0
14;0;0;0;0;0;0;0;0;0;0;10,63290944;0;0;0
15;0;0;0;1;0;0;0;0;0;0;17,95012084;0;0;0
16;0;0;0;0;0;0;0;0;0;0;1,439313511;3,94103711;0;0
17;0;0;0;0;0;0;0;0;0;0;11,55963003;0;0;0
18;0;0;0;0;0;0;0;0;0;0;0;0;1,765399018;0
19;1,298152147;0;0;0;0;0;0;1;0;0;0;0;0;0
20;0;0;0;0;1;0;0;0;0;0;12,31026032;0;0;0
21;0;0;0;0;0;0;0;0;0;0;10,2899062;0;0;1
22;0;0;4,294508446;0;0;0;0;0;0;0;0;0;1,61188606;0
23;0;0;0;0;1;0;0;0;0;0;0;0;0;0
24;0;0;0;0;0;1;0;0;0;0;13,69240663;0;0;0
25;0;0;7,965294358;0;0;0;1;0;0;0;0;0;0;0
26;2,825389967;0;0;0;0;0;0;0;0;0;0;0;0;1
27;0;0;4,024496109;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;0;0;1;0;5,165124137;0;0;0
29;0;0;0;0;0;0;0;0;0;0;15,89286614;0;0;0
30;0;0;0;0;0;0;0;0;0;0;12,76817157;0;0;0
31;0;0;0;0;0;0;0;0;0;0;12,13474361;0;0;0
32;0;0;0;0;0;0;0;0;0;0;12,82533878;0;0;0
33;0;0;0;0;0;1;0;0;0;0;3,644361694;0;0;0
34;0;0;0;0;0;0;0;0;0;0;6,460659253;6,120172129;0;0
35;0;0;0;0;0;0;1;0;0;0;2,075418194;0;0;0
36;0;0;0;0;0;0;0;0;0;0;15,06289006;0;0;0
37;0;0;0;0;0;0;0;0;0;0;13,22933313;0;0;0
38;0;0;0;0;0;0;0;0;0;0;6,789322898;0;0;0
39;0;0;0;1;0;1;0;0;0;0;0;0;0;0
40;0;1;0;0;0;0;0;0;1;0;0;0;0;0
41;0;0;0;0;0;0;0;0;0;0;10,32795394;0;0;0
42;0;0;0;0;0;0;0;0;0;0;5,578869413;0;0;0
43;0;0;6,029795024;0;0;0;0;0;0;0;11,03919813;0;0;0
44;0;0;0;1;0;0;0;0;0;0;10,93862973;0;0;0
45;0;0;0;0;0;0;0;0;0;0;7,277060514;0;0;0
46;4,123542113;0;0;0;0;0;0;0;0;0;16,10356267;0;0;0
47;0;0;3,222273151;0;0;0;0;0;0;0;6,493544737;0;0;0
48;0;0;0;1;0;0;1;0;0;0;0;0;0;0
49;0;0;0;0;0;0;0;0;0;0;7,91087086;0;0;1
50;0;0;0;0;0;0;0;0;0;0;4,183913066;0;0;0
51;0;0;0;0;1;0;0;0;0;0;6,625851452;0;0;0
52;0;0;0;0;0;0;0;0;0;0;13,26068905;0;0;0
53;0;0;0;0;0;0;0;0;0;0;16,46664136;0;0;0
54;1,679961602;0;0;0;0;0;0;1;0;0;0;0;0;0
55;0;0;0;0;0;0;0;0;0;0;5,599518438;0;0;0
56;4,199904004;0;0;0;0;0;0;0;1;0;0;0;0;0
57;0;0;0;0;0;0;0;0;0;0;0;0;1,304860144;0
58;0;0;0;0;0;0;0;0;0;0;14,0918123;0;0;0
59;0;0;1,772666784;0;0;0;1;0;0;0;0;0;0;0
60;0;0;0;0;0;0;0;0;0;0;17,62298675;0;0;0
61;0;0;0;0;0;0;0;0;0;0;13,38420081;0;0;0
62;0;0;0;0;0;0;1;0;0;0;9,68018638;0;0;0
63;0;0;0;0;0;0;0;0;0;0;11,95769734;0;0;0
64;1,603599711;0;0;0;0;0;0;0;0;0;18,80151073;0;0;0
65;0;0;7,278651792;1;0;0;0;0;0;0;0;0;0;0
66;0;0;1,29529372;0;0;0;0;0;0;0;15,33343052;0;0;0
67;0;0;0;0;1;0;0;0;0;0;6,438671865;0;0;0
68;0;0;0;0;0;0;0;0;0;0;3,738429474;0;0;0
69;0;0;0;0;0;1;0;0;0;0;17,23467037;0;0;0
70;3,130837531;0;0;0;0;0;0;0;0;0;0;0,564624994;0;0
71;0;0;0;0;0;0;1;0;0;0;4,638956392;0;0;0
72;0;0;9,927745219;0;0;0;0;0;0;0;0;0;0;0
73;0;1;0;0;0;0;0;0;0;0;1,438548732;0;0;0
74;0;0;0;0;0;0;0;0;0;0;15,12502833;0;3,761067474;0
75;0;0;0;0;0;0;0;0;0;0;9,097425011;0;0;0
76;0;0;0;0;0;0;0;0;0;0;12,12518388;0;0;0
77;0;0;0;0;0;0;1;0;0;0;0;0;0;1
78;0;0;0;0;0;0;0;0;0;0;16,90294761;0;2,916746204;0
79;1,374514038;0;0;0;0;0;0;0;0;0;0;0;0,921077749;0
