;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;2,974923048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;4,980623825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;3,658325009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;1;1,186760023;0;0;0;0;0;0;0
7;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
9;0;2,357587228;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0,825054204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;1;0;0;0;0;0;0;0;0,895466535;0;0;0;0;0;0;0;0;0
12;0;0;0;1;0;0;0;2,710772669;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;3,422743026;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0;0,895466535;1;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
17;1;0;0;0;4,241471149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;3,363810583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
19;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
21;0;0;0;0;0;0;0;0;0;0;0;0;1,09547079;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
23;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
24;0;0;0;1;2,383933859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;3,500653714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;1;0;0;0;2,714221902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;4,014065167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;1;0;2,353635258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;3,967451936;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0;0;0;0;0;0;0;0;0;0;0;0;3,925436999;0;0;0;0;0;0;0
32;0;0;0;0;4,05068985;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
33;0;0;0;0;3,004888697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0;2,113698894;0;0;0,162480408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0;0;0;0;0;0;0;0;0;0;0;0;1,551916953;0;0;0;0;0;0;0
36;0;1,463330004;0;0;0;0;0;0;0;0;0;0;2,464809278;0;0;0;0;0;0;0
37;0;0;0;0;0;0;0;0;0;0;0;0;0,36515693;0;0;0;0;0;0;0
38;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
39;0;0;0;0;4,604721406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0;0;0;0;0;0;0;0;0;0;0;0;0,456446163;0;0;0;0;0;0;0
41;0;0;0;0;2,806116559;0;0;1,807181779;0;0;0;0;0;0;0;0;0;0;0;0
42;0;0;0;0;2,900341877;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
43;0;4,471286122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;0;0;1;0;5,186387949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;0;0;0;0;3,309872415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;0;0;1;0;0;0;0;0;0;0;0;0;1,004181558;0;0;0;0;0;0;0
47;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;0;0;0;0;0;0;0;1,807181779;0;0;0;0;2,373520046;0;0;0;0;0;0;0
49;0;0,243888334;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;0;0;0;0;0;0;0;0;0;0;0;0;0,091289233;0;0;0;0;0;0;0
52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;0;0;0;0;4,118944939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;0;0;1;0;0,768119471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;0;4,877766678;0;0;4,275099266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;0;0;0;0;2,86671376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;0;0;0;0;2,883694295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
59;0;0;0;0;1,532243522;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
60;0;0,894257224;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
62;0;0;0;0;0;0;0;1,807181779;0;0;0;0;0;0;0;0;1;0;0;0
63;0;0;0;0;0,296326974;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
64;0;0;0;0;4,718923824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;0;0;0;0;3,828278143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;0;3,983509454;0;0;0;0;0;0;0;0;0;0;1,460627721;0;0;0;0;0;0;0
67;0;0;0;0;0;0;0;0;0;1;0;0;2,921255441;0;0;0;0;0;0;0
68;0;0;0;1;3,620183358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;0;0;0;0;1,506606244;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
70;0;0;0;0;3,639494554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;0;3,08925223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;0;1,951106671;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;1;0;0;0;0;0;0;0;0;0;1,790933071;0;0;0;0;0;0;0;0;0
74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
75;0;0;0;0;2,957609562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;0;0;0;0;3,593547226;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
77;0;0;0;0;3,069148367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
79;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
80;0;0;0;0;0,758796825;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;0;0;0;0;0;0;0;0;0;0;0;0;2,008363116;0;0;0;0;0;0;0
82;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;0;0;0;0;4,606053212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;0;0;0;0;3,49599239;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
86;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
87;0;0;0;0;3,396772797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;0;0;0;0;0;0;0;0;0;0;0;0;2,373520046;0;0;0;0;0;0;1
89;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;1;3,658325009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
92;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;0;0;0;0;2,4022462;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
94;0;0;1;0;0;0;0;0;0;0;2,686399606;0;0;0;0;0;0;0;0;0
95;0;0;0;0;3,675453333;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
96;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
97;0;0;0;0;0,889646825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;2,099652348;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;1,460627721;0;0;0;0;0;0;0
100;0;0;0;1;0;0;0;0;0;0;0;0;2,829966209;0;0;0;0;0;0;0
101;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;1;2,926660007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;1;0;0;0;0;0;0;0;0;0;0;0;1,004181558;0;0;0;0;0;0;0
104;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
105;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,380617019;0;0;0;1
107;0;0;0;0;3,860574454;0;0;0;0;0;0;0;1,004181558;0;0;0;0;0;0;0
108;1;0;0;0;3,689770254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;0;0;0;0;3,914845574;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
110;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
111;0;1,86981056;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
112;0;0;1;0;0;0;0;0;0;0;0;0;2,373520046;0;0;0;0;0;0;0
113;0;0;0;0;0;0;0;0;0;0;0;0;2,738676976;0;1;0;0;0;0;0
114;0;0;0;0;0,53072494;0;0;0;0;0;0;0;1,460627721;0;0;0;0;0;0;0
115;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;0;0;0;0;3,621515165;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;2,373520046;0;0;0;0;0;0;0
119;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;3,658325009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;0;0,569072779;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
122;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
123;0;0;0;0;5,15442459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;1;0;0;0;1,460627721;0;0;0;0;0;0;0
125;0;0;0;0;3,518966055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;0;0;0;0;0,441826848;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
127;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
128;0;0;0;0;0;0;0;0;0;0;0;0;1,278049255;0;0;0;0;0;0;0
129;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;1;4,552582233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;0;0,787763619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;0;0;0;0;4,140253845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;0;0;1;0;0;0;0;0;0;0;0;0;1,460627721;0;0;0;0;0;0;0
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
136;0;0;0;0;3,856246082;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
137;0;0;0;0;0;0;0;0;0;0;0;0;4,290593929;0;0;0;0;0;0;0
138;1;0,975553336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;0;0;0;0;0;1;0;2,710772669;0;0;0;0;0;0;0;0;0;0;0;0
140;0;0;0;0;3,145727248;0;0;0;0;0;0;0;0;0;0;0;0;2,523973287;0;0
141;1;0,65036889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;0;1,707218337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;0;4,552582233;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;0;0;1;0;0;0;0;0;0;0;0;0;0,821603093;0;0;0;0;0;0;0
145;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
146;0;1,625922226;0;0;4,63968133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;0;0;0;0;2,914325847;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
148;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
149;0;0;0;0;0;0;0;0;0;0;0,895466535;0;0,912892325;0;0;5,070925528;0;0;0;0
150;0;0;0;0;0;0;0;0;0;0;0;0;1,551916953;0;0;0;0;0;0;0
151;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;0;0;0;0;0,843366545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3,380617019;0;0;0;0
155;0;0;0;0;3,680114656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
156;0;2,113698894;0;0;4,400289089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;0;0;0;0;0;0;0;0;0;0;0;0;2,738676976;0;0;0;0;0;0;0
158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
159;0;0;0;0;1,490624565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;0;0;0;0;0,061263105;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
161;0;0;0;0;0;0;0;0;0;0;0;0;2,556098511;0;0;3,380617019;0;0;0;0
162;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2,523973287;0;0
163;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,380617019;0;0;0;0
164;0;0;0;0;5,054872045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165;0;0;0;0;0;0;0;0;0;1;0;0;0,639024628;0;0;0;0;0;0;0
166;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;0;0;0;0;0;0;0;0;0;0;0;0;2,738676976;0;0;0;0;0;0;0
168;1;0;0;0;3,472352823;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
169;0;0,894257224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,523973287;0;0
170;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;0;0;0;0;0,895307004;0;0;0;0;0;0;0;0;0;0;1,690308509;0;0;0;0
172;0;0;1;0;4,857431713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;0;0;0;0;0;0;0;0;0;0;0;1;1,09547079;0;0;0;0;0;0;0
174;0;0;0;0;3,108436663;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
175;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1,690308509;0;0;0;0
176;0;2,601475562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;0;0;0;0;3,966120129;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
178;1;0;0;0;0;0;0;1,807181779;0;0;0;0;0;0;0;0;0;0;0;0
179;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;0;0;0;0;0;0;0;0;1;0;0;0;0,73031386;0;0;0;0;0;0;0
182;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;0;0;0;0;2,745852309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
186;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
188;0;0;0;0;2,51278615;0;0;0;0;0;0;0;0,456446163;0;0;0;0;0;0;0
189;0;0;0;0;3,860907406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;0;0;0;0;3,793984123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;0;0,081296111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
192;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
193;0;4,715174456;0;0;3,714408677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;0;0;0;0;4,242137052;0;0;1,807181779;0;0;0;0;0;0;0;0;0;0;0;0
195;0;0;1;0;4,249129037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
196;0;0;0;0;0;0;0;0,90359089;0;0;0;0;2,829966209;0;0;0;0;0;0;0
197;0;0;1;0;3,028195313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
198;0;0;0;0;0;0;0;0;0;0;0;0;1,004181558;0;0;0;0;0;0;0
199;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
media;1;2,453938175;1;1;3,091496082;1;1;1,92013064;1;1;1,432746457;1;1,72279167;1;1;3,139144375;1;2,523973287;1;1
desv;0,4;0,998187062;0,375632799;0,207304124;1,705084002;0,195959179;0,183779759;0,391553156;0,237486842;0,195959179;0,25073063;0,278881695;0,805766985;0,121552458;0,183779759;0,611263329;0,170587221;0,306795156;0,14;0,255147016
