;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0;0;1;0;3,721733613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;3,983509454;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2;0;0;0;0;0;1;0;0;0;0;0;0;1,186760023;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;4,655750859;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
5;1;3,902213343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
8;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;1;0;1;0;3,243947987;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;0;0;0;2,491144292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;1;0;0;0;0;0;0;0;0;0;3,925436999;0;0;0;0;0;0;0
12;0;1,382033892;0;0;0;0;0;2,710772669;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;2,113698894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;5,26895996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
17;1;0;0;0;4,097968985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
19;0;0;1;0;0;0;0;0,90359089;0;0;0;0;0;0;0;0;0;0;0;0
20;0;4,95906279;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;4,95906279;0;0;0;0;0;0;0;0;0,895466535;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
23;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
25;0;0;0;0;2,251086148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;0;0;0;0;0;0;1,917073883;0;0;0;1;0;0;0
28;0;0;0;0;5,106479552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;0;0;1,485963242;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
30;0;2,438883339;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
31;1;3,414436675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;1;2,764067784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
34;1;0;0;0;0;0;0;0;0;0;0;0;1,186760023;0;0;0;0;0;0;0
35;0;0;0;0;5,613897876;0;0;0;0;0;0;0;3,377701604;0;0;0;0;0;0;0
36;1;1,544626115;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
37;0;2,357587228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
38;1;0;0;1;4,686294561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;0;0;0;0;0,054937023;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
40;1;0;0;0;4,548785527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;1;3,08925223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
43;0;0;0;0;2,248755486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
47;1;0;0;0;5,381164668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;1;0;0;0;4,140919748;0;0;0;0;0;0;0;0,639024628;0;0;0;0;0;0;0
49;0;0,325184445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;0;0,894257224;0;0;0;0;0;0;0;0;0,895466535;0;0;0;0;0;0;0;0;0
51;0;3,658325009;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;0;0;1;0;4,679302577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;0;0;0;0;3,708415547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;0;0;0;0;0;1;0;0;0;0;0;0;1,551916953;0;0;0;0;0;0;0
55;0;3,333140564;0;0;0;0;0;0;0;0;0;0;0;0;0;3,380617019;0;0;0;0
56;0;0;0;0;0;1;0;0;0;0;0;0;2,282230813;0;0;0;0;0;0;0
57;0;0;1;0;4,501173441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1,690308509;0;0;0;0
59;0;0;1;0;3,711745064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;1;0;0;0;3,396439845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;0;0;1;0;0;0;0;0;0;0;0;0;1,734495418;0;0;0;0;0;0;0
62;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
63;0;0;0;0;3,50198552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;0;1,86981056;0;0;0;0;0;0;0;0;0;0;0;0;0;5,070925528;0;0;0;0
65;0;0;0;0;4,518486927;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
66;0;0;0;0;3,090124321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,070925528;0;0;0;0
68;1;0;0;0;4,32004774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;0;0;0;0;0;1;0;1,807181779;0;0;0;0;0;0;0;0;0;0;0;0
70;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;0;0;0;0;0;0;1;0;0;0;0;0;0,547735395;0;0;0;0;0;0;0
