;age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;20,0;Private;208872,7809715405;Assoc-acdm;12,0;Never-married;Other-service;Not-in-family;White;Female;5349,67622442142;0,0;42,65740029194813;United-States;>50K;ok;0,993013322353363;0,4422306084856194;5,0;2,966;100,0;0,0
1;42,0;Private;174048,6375904552;Masters;14,0;Married-civ-spouse;Adm-clerical;Husband;White;Male;123,22309277188708;1902,0;40,0;United-States;<=50K;ok;0,03485899046063423;0,4422306084856194;7,0;2,966;100,0;0,0
2;56,05980174154761;Local-gov;48055,0;12th;8,0;Widowed;Adm-clerical;Not-in-family;White;Female;0,0;0,0;41,35350637887789;United-States;>50K;ok;0,15023404359817505;0,4422306084856194;6,0;2,966;100,0;0,0
3;53,2056319806308;Private;213052,2230310173;HS-grad;9,0;Married-civ-spouse;Other-service;Wife;White;Female;0,0;0,0;25,0;United-States;>50K;ok;0,1450771540403366;0,4422306084856194;3,0;2,966;100,0;0,0
4;49,0;Private;208571,15916662925;HS-grad;9,0;Divorced;Machine-op-inspct;Unmarried;White;Male;0,0;0,0;41,052458852686904;Columbia;>50K;ok;0,28902116417884827;0,4422306084856194;5,0;2,966;100,0;0,0
5;66,0;Private;262285,0;Bachelors;13,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;99,0;United-States;>50K;ok;3,332000986233652e-08;0,4422306084856194;4,0;2,966;100,0;0,0
6;32,054115886525246;Private;313735,9895472125;Some-college;10,0;Never-married;Adm-clerical;Own-child;Black;Female;5203,734246282303;0,0;20,0;South;>50K;ok;1,3521292209625244;0,4422306084856194;6,0;2,966;100,0;0,0
7;62,94465807403499;Federal-gov;180967,80307664388;Some-college;10,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;15023,999999999998;0,0;37,40544476323706;;<=50K;ok;0,712110161781311;0,4422306084856194;8,0;2,966;100,0;0,0
8;31,95989919990794;Private;456430,0;HS-grad;9,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;51,00840240786488;United-States;>50K;ok;0,7045009732246399;0,4422306084856194;3,0;2,966;100,0;0,0
9;20,0;Private;187158,0;Some-college;10,0;Never-married;Adm-clerical;Own-child;White;Female;7547,478743516389;0,0;15,000000000000004;United-States;>50K;ok;1,331329345703125;0,4422306084856194;1,0;2,966;100,0;0,0
10;46,0;Self-emp-not-inc;214627,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;1980,2668000837539;45,0;United-States;<=50K;ok;0,008407014422118664;0,4422306084856194;4,0;2,966;100,0;0,0
11;21,0;Private;219086,0;HS-grad;9,0;Never-married;Other-service;Own-child;White;Male;7511,285358341276;0,0;35,0;United-States;>50K;ok;1,324945092201233;0,4422306084856194;1,0;2,966;100,0;0,0
12;51,0;Private;222615,0;HS-grad;9,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;0,0;0,4422306084856194;1,0;2,966;100,0;0,0
13;41,70558643111108;Private;106560,39843940236;HS-grad;9,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;1579,0;42,0;United-States;>50K;ok;0,1358342319726944;0,4422306084856194;3,0;2,966;100,0;0,0
14;44,0;Local-gov;157473,0;Masters;14,0;Divorced;Prof-specialty;Not-in-family;White;Female;0,0;0,0;50,0;United-States;<=50K;ok;0,0;0,4422306084856194;1,0;2,966;100,0;0,0
15;42,28781508367506;Private;363616,9808880132;Assoc-voc;11,0;Never-married;Tech-support;Not-in-family;White;Female;0,0;0,0;64,0;United-States;>50K;ok;0,9000839591026306;0,4422306084856194;4,0;2,966;100,0;0,0
16;25,0;Private;469572,0;Some-college;10,0;Never-married;Prof-specialty;Not-in-family;White;Male;7270,885618519704;0,0;40,0;United-States;<=50K;ok;0,23691719770431519;0,4422306084856194;1,0;2,966;100,0;0,0
17;36,48207559630023;Private;106928,48961758468;Assoc-acdm;12,0;Divorced;Exec-managerial;Not-in-family;White;Female;0,0;0,0;50,0;United-States;>50K;ok;0,39199015498161316;0,4422306084856194;3,0;2,966;100,0;0,0
18;52,0;Federal-gov;197189,0;Some-college;10,0;Married-civ-spouse;Adm-clerical;Husband;White;Male;0,0;0,0;44,0;United-States;<=50K;ok;7,450580596923828e-09;0,4422306084856194;2,0;2,966;100,0;0,0
19;30,0;Private;158420,0;Bachelors;13,0;Never-married;Prof-specialty;Not-in-family;White;Male;0,0;0,0;50,0;Iran;>50K;ok;0,0;0,4422306084856194;1,0;2,966;100,0;0,0
20;18,0;Private;442552,97624050453;Masters;9,0;Never-married;Other-service;Not-in-family;White;Male;5538,45327312961;0,0;20,0;United-States;>50K;ok;1,0912243127822876;0,4422306084856194;6,0;2,966;100,0;0,0
21;22,0;Private;385077,0;HS-grad;9,0;Never-married;Craft-repair;Own-child;White;Male;7532,495063895359;0,0;40,0;United-States;>50K;ok;0,8159092664718628;0,4422306084856194;1,0;2,966;100,0;0,0
22;46,0;Private;123681,0;Doctorate;16,0;Divorced;Prof-specialty;Not-in-family;White;Male;0,0;0,0;40,0;United-States;>50K;ok;0,0;0,4422306084856194;1,0;2,966;100,0;0,0
23;49,0;Self-emp-not-inc;225456,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;60,0;United-States;<=50K;ok;0,0;0,4422306084856194;2,0;2,966;100,0;0,0
24;33,78290740575175;Private;212339,29272527195;Assoc-voc;11,0;Married-spouse-absent;Adm-clerical;Not-in-family;White;Female;0,0;0,0;41,7562745194412;Trinadad&Tobago;>50K;ok;0,5507267117500305;0,4422306084856194;6,0;2,966;100,0;0,0
25;42,0;State-gov;184885,90144174796;Assoc-voc;11,0;Married-civ-spouse;Other-service;Husband;White;Male;0,0;0,0;45,0;United-States;<=50K;ok;0,007794905919581652;0,4422306084856194;2,0;2,966;100,0;0,0
26;30,41467618408464;Private;271265,9066829104;Bachelors;13,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;0,5240809917449951;0,4422306084856194;2,0;2,966;100,0;0,0
27;30,0;Private;285295,0;Bachelors;13,0;Married-civ-spouse;Other-service;Wife;Asian-Pac-Islander;Female;0,0;0,0;40,0;Philippines;>50K;ok;1,4901161193847656e-08;0,4422306084856194;2,0;2,966;100,0;0,0
28;20,0;Private;173095,0;Some-college;10,0;Never-married;Sales;Own-child;White;Female;7478,285328839401;0,0;4,0;United-States;>50K;ok;1,3191239833831787;0,4422306084856194;1,0;2,966;100,0;0,0
29;52,0;Private;330801,19050128025;Masters;14,0;Divorced;Prof-specialty;Unmarried;White;Female;0,0;0,0;41,01973461668196;United-States;>50K;ok;0,16231031715869904;0,4422306084856194;3,0;2,966;100,0;0,0
30;30,600775688411126;State-gov;215797,0;Bachelors;13,0;Never-married;Tech-support;Not-in-family;White;Female;5323,084739691609;0,0;40,0;United-States;>50K;ok;1,0808539390563965;0,4422306084856194;4,0;2,966;100,0;0,0
31;65,0;Without-pay;27012,0;7th-8th;4,0;Widowed;Farming-fishing;Unmarried;White;Female;0,0;0,0;49,9999995625805;United-States;>50K;ok;6,664001972467304e-08;0,4422306084856194;5,0;2,966;100,0;0,0
32;58,0;Self-emp-inc;70812,27607023649;HS-grad;9,0;Divorced;Sales;Not-in-family;White;Male;0,0;0,0;50,0;United-States;>50K;ok;0,34085825085639954;0,4422306084856194;2,0;2,966;100,0;0,0
33;34,365591315310525;Private;427132,1127545688;12th;8,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;0,2018740028142929;0,4422306084856194;2,0;2,966;100,0;0,0
34;61,96809230722505;;148337,97221971967;7th-8th;4,0;Married-civ-spouse;;Husband;White;Male;0,0;0,0;30,0;United-States;>50K;ok;0,47440919280052185;0,4422306084856194;3,0;2,966;100,0;0,0
35;62,13548465090281;Self-emp-inc;146824,58420222494;Some-college;10,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;15023,999999999998;0,0;60,0;United-States;<=50K;ok;0,3599006235599518;0,4422306084856194;4,0;2,966;100,0;0,0
36;41,12031288415266;Self-emp-not-inc;220808,6207404727;9th;5,0;Married-civ-spouse;Armed-Forces;Husband;White;Male;0,0;0,0;41,450543793831805;Mexico;>50K;ok;0,4445348381996155;0,4422306084856194;5,0;2,966;100,0;0,0
37;34,093478965283346;Local-gov;377498,17214722844;HS-grad;9,0;Divorced;Adm-clerical;Wife;White;Female;0,0;0,0;40,0;United-States;>50K;ok;0,7488111853599548;0,4422306084856194;3,0;2,966;100,0;0,0
38;51,0;Self-emp-not-inc;186845,0;Bachelors;13,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;8,0;United-States;>50K;ok;5,960464477539063e-08;0,4422306084856194;2,0;2,966;100,0;0,0
39;29,0;Private;211482,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;2,9802322387695312e-08;0,4422306084856194;2,0;2,966;100,0;0,0
