;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome;y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;50,0443588871535;blue-collar;married;secondary;no;3237,0;yes;no;cellular;16,0;may;177,11970592871685;1,0;187,0;3,0;failure;yes;ok;0,8357939720153809;0,2447399513540907;5,0;3,796;100,0;0,0
1;39,0;management;single;tertiary;no;188,28493594794736;no;no;cellular;19,0;may;185,51254474919008;2,0;130,87251834507742;3,0;failure;yes;ok;0,541945219039917;0,2447399513540907;4,0;3,796;100,0;0,0
2;34,0;technician;married;secondary;no;256,0;yes;no;cellular;12,0;aug;201,0;2,0;267,0;1,0;failure;yes;ok;0,0;0,2447399513540907;1,0;3,796;100,0;0,0
3;29,99999911436354;admin.;single;secondary;no;523,0;no;yes;cellular;12,0;jun;136,0;3,0;101,00000000000001;1,0;success;yes;ok;5,960464477539063e-08;0,2447399513540907;2,0;3,796;100,0;0,0
4;69,0;retired;married;secondary;no;-8,311315559694776e-05;no;no;cellular;27,0;jul;666,0;1,0;90,0;4,0;success;no;ok;1,2287812012345967e-07;0,2447399513540907;3,0;3,796;100,0;0,0
5;33,45058245053004;blue-collar;married;secondary;no;921,0472418278663;no;no;cellular;13,0;may;231,0;2,0;372,41799649400093;1,0;other;yes;ok;0,16368326544761658;0,2447399513540907;5,0;3,796;100,0;0,0
6;39,0;services;married;secondary;no;228,1620964696308;yes;yes;cellular;8,0;jun;159,22226020619394;5,875440411439807;393,6021480829104;2,0;failure;yes;ok;0,909200131893158;0,2447399513540907;5,0;3,796;100,0;0,0
7;26,0;technician;married;secondary;no;493,3809350129959;no;no;cellular;4,0;jun;221,0;1,0;128,31554026667334;1,0;failure;yes;ok;0,02326209284365177;0,2447399513540907;5,0;3,796;100,0;0,0
8;47,0;blue-collar;married;secondary;no;3715,0;no;no;cellular;12,0;feb;171,0;1,9999999962197694;182,0;3,9999999994071964;other;no;ok;0,0;0,2447399513540907;2,0;3,796;100,0;0,0
9;69,0;retired;married;primary;no;400,30741753275584;no;no;cellular;12,0;aug;875,0;1,0;190,3213087244862;4,0;success;yes;ok;0,024907344952225685;0,2447399513540907;6,0;3,796;100,0;0,0
10;47,0;management;married;tertiary;no;288,0;no;no;cellular;31,0;mar;193,0;1,0;180,99999514592622;1,0;success;no;ok;6,664001972467304e-08;0,2447399513540907;4,0;3,796;100,0;0,0
11;33,0;admin.;single;secondary;no;1590,0;yes;no;cellular;20,0;apr;164,52516984654713;4,0;375,0515809780306;2,3931164852627336;other;yes;ok;0,9637093544006348;0,2447399513540907;4,0;3,796;100,0;0,0
12;43,0;technician;married;secondary;no;411,11736951431703;yes;no;cellular;12,0;may;181,0;1,9994281914558574;300,0;1,0;failure;yes;ok;0,0030777500942349434;0,2447399513540907;5,0;3,796;100,0;0,0
13;31,0;services;married;secondary;no;301,3339535982891;yes;no;cellular;4,0;feb;144,5702528195844;1,0;267,83104329242275;2,0;failure;yes;ok;0,4884277880191803;0,2447399513540907;5,0;3,796;100,0;0,0
14;50,0;housemaid;divorced;secondary;no;95,48359938184262;no;no;telephone;13,0;aug;139,8555540384396;1,0;92,37366885390011;2,0;failure;yes;ok;0,4826217293739319;0,2447399513540907;4,0;3,796;100,0;0,0
15;40,0;technician;married;tertiary;no;190,6614536952943;yes;no;cellular;15,0;may;145,0;3,9704889492111226;374,0915159937027;7,0;failure;yes;ok;0,15507470071315765;0,2447399513540907;4,0;3,796;100,0;0,0
16;41,0;management;single;tertiary;no;212,40497503848223;no;no;cellular;20,0;may;182,79192308537773;1,0;177,24198656278168;2,0;failure;yes;ok;0,43716543912887573;0,2447399513540907;4,0;3,796;100,0;0,0
17;31,0;management;single;tertiary;no;3967,0;yes;no;cellular;21,0;nov;859,0;1,0;182,0;1,0;failure;yes;ok;1,1920928955078125e-07;0,2447399513540907;2,0;3,796;100,0;0,0
18;54,0;management;married;tertiary;no;3795,0;yes;yes;cellular;17,0;nov;227,0;2,0;119,0;1,0;failure;yes;ok;2,9802322387695312e-08;0,2447399513540907;3,0;3,796;100,0;0,0
19;32,221685675715825;admin.;single;tertiary;no;4129,0;no;no;cellular;2,0;mar;184,18852748231666;1,0;182,0;1,0;failure;yes;ok;0,3947225511074066;0,2447399513540907;2,0;3,796;100,0;0,0
20;28,23748418871901;admin.;married;secondary;no;118,0462850606973;yes;yes;cellular;3,0;feb;215,6499866039551;3,0;214,0;1,0;failure;yes;ok;0,17632795870304108;0,2447399513540907;5,0;3,796;100,0;0,0
21;33,0;blue-collar;married;secondary;no;284,4417423088139;yes;no;cellular;14,0;mar;158,70147199608695;2,0;396,8546583820415;1,0;failure;yes;ok;0,6401861906051636;0,2447399513540907;4,0;3,796;100,0;0,0
22;32,0;management;married;secondary;no;6217,0;yes;yes;cellular;18,0;nov;490,8167087876964;1,9978767562328124;188,2534965664478;2,0;failure;yes;ok;0,11053495109081268;0,2447399513540907;8,0;3,796;100,0;0,0
23;29,0;services;single;secondary;no;-10,89145905736791;yes;no;cellular;18,0;may;199,2645986936171;1,0;388,918256597369;2,0;failure;yes;ok;0,5587198734283447;0,2447399513540907;4,0;3,796;100,0;0,0
24;32,0;blue-collar;single;primary;no;171,27008313666965;yes;no;cellular;14,0;apr;219,0;1,0;260,22527636030617;1,0;failure;yes;ok;0,31726154685020447;0,2447399513540907;4,0;3,796;100,0;0,0
25;45,46897754473176;technician;married;secondary;no;198,0;yes;no;cellular;28,0;jan;193,4582553365832;1,0;2,0;6,0;other;yes;ok;0,3654880225658417;0,2447399513540907;4,0;3,796;100,0;0,0
26;32,0;blue-collar;single;secondary;no;296,74106232629174;yes;no;cellular;29,0;feb;199,1622576904472;1,0;175,5100672515427;2,1105118515584844;failure;yes;ok;0,8655486106872559;0,2447399513540907;7,0;3,796;100,0;0,0
27;33,03882004253789;student;divorced;secondary;no;250,7929904895932;yes;no;cellular;16,0;mar;91,29276191513887;3,0;381,18029348546395;5,0;failure;yes;ok;0,8257729411125183;0,2447399513540907;7,0;3,796;100,0;0,0
28;37,0;technician;married;secondary;no;386,2016403978207;yes;no;cellular;14,0;may;365,0;5,822435857000814;50,50468387886394;3,0;failure;yes;ok;0,18468685448169708;0,2447399513540907;5,0;3,796;100,0;0,0
29;30,0;admin.;single;secondary;no;348,3130227906099;no;no;cellular;30,0;apr;437,0;1,0;80,0;1,0;success;no;ok;0,017399892210960388;0,2447399513540907;3,0;3,796;100,0;0,0
30;60,0;blue-collar;married;primary;no;1723,0;no;no;cellular;4,0;may;160,0;4,0;83,0;2,9999999989053454;failure;yes;ok;1,862645149230957e-09;0,2447399513540907;3,0;3,796;100,0;0,0
31;19,0;student;single;primary;no;103,0;no;no;cellular;15,0;oct;96,0;2,0;97,00000000000001;2,0;success;yes;ok;0,0;0,2447399513540907;1,0;3,796;100,0;0,0
32;27,98830595641826;management;single;tertiary;no;187,0;no;no;cellular;10,0;sep;255,0;1,0;94,05401758168186;1,9990189561622673;success;no;ok;0,009911350905895233;0,2447399513540907;7,0;3,796;100,0;0,0
33;43,0;blue-collar;married;primary;no;271,4816786434444;yes;no;cellular;12,0;may;188,00088619628536;2,0;374,75660064332146;2,0;failure;yes;ok;0,13447734713554382;0,2447399513540907;4,0;3,796;100,0;0,0
34;59,0;management;married;tertiary;no;2143,0;yes;no;cellular;27,0;jan;145,30160843388546;1,0;268,0;2,171549473291957;failure;yes;ok;0,5947376489639282;0,2447399513540907;4,0;3,796;100,0;0,0
35;56,0;technician;single;primary;no;145,0;yes;no;telephone;6,0;feb;193,5899989542953;1,7136634621422737;56,83576716289676;2,0;other;yes;ok;0,5624218583106995;0,2447399513540907;4,0;3,796;100,0;0,0
36;43,0;services;divorced;secondary;no;544,8309332395452;yes;no;cellular;16,0;may;149,45541857909035;3,9655115465871447;91,21539279231595;3,0;failure;yes;ok;0,667249858379364;0,2447399513540907;6,0;3,796;100,0;0,0
37;40,0;student;married;secondary;no;4959,478914844332;yes;no;cellular;23,0;may;211,59434391967872;1,9017648202964208;183,0;2,0;failure;yes;ok;0,6429995894432068;0,2447399513540907;7,0;3,796;100,0;0,0
38;40,0;blue-collar;married;primary;no;3462,0;yes;no;cellular;9,0;feb;171,0;3,0;277,0;4,0;other;yes;ok;0,0;0,2447399513540907;1,0;3,796;100,0;0,0
39;35,0;admin.;married;secondary;no;3187,0;yes;no;cellular;15,0;may;218,40001521258128;1,9952714964188512;183,0;1,0;failure;yes;ok;0,6505318880081177;0,2447399513540907;5,0;3,796;100,0;0,0
40;47,0;blue-collar;married;secondary;no;667,9999999999999;yes;no;cellular;4,0;may;230,0;5,9781774911066865;372,091952715587;1,8138435086277498;success;yes;ok;0,1792518049478531;0,2447399513540907;5,0;3,796;100,0;0,0
41;54,0;retired;single;secondary;no;188,00596162595025;yes;no;cellular;6,0;feb;149,43372449636814;2,0;242,536490403556;2,0183498044272827;failure;yes;ok;0,40942680835723877;0,2447399513540907;5,0;3,796;100,0;0,0
42;20,0;student;single;secondary;no;126,19895137835465;no;no;cellular;24,0;nov;325,0;1,0;95,00000000000001;5,0;success;no;ok;0,021049318835139275;0,2447399513540907;4,0;3,796;100,0;0,0
43;49,0;blue-collar;married;primary;no;643,1576469548487;yes;no;telephone;18,0;mar;163,17665027532175;5,0;377,0662277416142;2,0;failure;yes;ok;0,8529537320137024;0,2447399513540907;5,0;3,796;100,0;0,0
44;34,0;blue-collar;divorced;secondary;no;1614,0;yes;no;cellular;15,0;may;228,0;1,9999999939643667;297,0;1,0;other;yes;ok;0,0;0,2447399513540907;4,0;3,796;100,0;0,0
45;31,999997683641347;management;divorced;tertiary;no;298,2875743254165;yes;no;cellular;17,0;apr;1095,0;1,0;274,0;5,0;success;no;ok;0,0011451280442997813;0,2447399513540907;4,0;3,796;100,0;0,0
46;46,0;blue-collar;married;primary;no;622,9209647765832;yes;no;telephone;11,0;may;139,6202063533057;3,9980346445170527;289,52993893495244;2,0;other;yes;ok;0,5836294889450073;0,2447399513540907;8,0;3,796;100,0;0,0
47;31,0;management;married;tertiary;no;631,1968881396384;yes;no;cellular;29,0;jan;543,8942892242064;1,0;241,0;1,0;failure;yes;ok;0,024172209203243256;0,2447399513540907;3,0;3,796;100,0;0,0
48;59,0;retired;married;secondary;no;32948,0;no;no;cellular;19,0;may;273,4273900455414;1,0;180,99530034753943;2,0;failure;yes;ok;0,36506977677345276;0,2447399513540907;4,0;3,796;100,0;0,0
49;38,0;technician;married;secondary;no;239,83186246804553;yes;no;cellular;18,0;nov;286,0;1,0;181,0;2,0;other;yes;ok;0,10954742878675461;0,2447399513540907;2,0;3,796;100,0;0,0
50;76,0;retired;married;primary;no;3324,0;no;no;cellular;11,0;feb;309,0;1,0;83,97150664183914;4,0;success;no;ok;0,053162649273872375;0,2447399513540907;2,0;3,796;100,0;0,0
51;34,0;technician;married;secondary;no;5553,0;yes;no;cellular;21,0;nov;798,0;1,9999999936384527;182,0;5,0;failure;yes;ok;2,9802322387695312e-08;0,2447399513540907;2,0;3,796;100,0;0,0
52;43,0;admin.;married;secondary;no;1220,0;yes;no;cellular;20,0;apr;349,0;2,0;375,10363368801256;1,0;other;yes;ok;0,3150292634963989;0,2447399513540907;1,0;3,796;100,0;0,0
53;27,499628329606;services;married;secondary;no;232,44109131919186;yes;no;cellular;24,0;nov;206,9243859736922;5,956907460482266;200,3814564898177;4,0;failure;yes;ok;0,6431452035903931;0,2447399513540907;7,0;3,796;100,0;0,0
54;40,0;blue-collar;single;primary;no;218,7566680126115;yes;no;cellular;8,0;apr;594,0;3,978888339755568;331,0;1,0;failure;yes;ok;0,05201166495680809;0,2447399513540907;2,0;3,796;100,0;0,0
55;44,55942356348757;admin.;single;secondary;no;230,4186051979052;no;yes;cellular;5,0;feb;193,0;2,0;185,81225387222446;3,8229739091493276;failure;yes;ok;0,19050341844558716;0,2447399513540907;5,0;3,796;100,0;0,0
56;35,99999983218512;technician;single;secondary;no;144,0;no;no;cellular;26,0;may;87,0;1,0;308,0;2,0;failure;yes;ok;2,9802322387695312e-08;0,2447399513540907;1,0;3,796;100,0;0,0
57;31,0;admin.;married;secondary;no;8781,0;yes;no;cellular;14,0;may;680,0;1,0;177,0;1,0;success;no;ok;0,0;0,2447399513540907;1,0;3,796;100,0;0,0
58;58,0;management;divorced;secondary;no;200,30080386577743;yes;no;cellular;29,0;jan;203,39833569855048;1,0;195,0;1,0;other;yes;ok;0,27429109811782837;0,2447399513540907;3,0;3,796;100,0;0,0
59;46,0;services;married;secondary;no;0,0;yes;no;cellular;22,0;jun;184,7763884368316;1,0;124,0;1,0;other;yes;ok;0,14789073169231415;0,2447399513540907;2,0;3,796;100,0;0,0
60;53,0;management;married;tertiary;no;1356,0;yes;no;cellular;9,0;nov;371,0;2,0;93,79569276577284;3,9995052685349504;failure;yes;ok;0,020059047266840935;0,2447399513540907;4,0;3,796;100,0;0,0
61;39,0;blue-collar;married;primary;no;3324,0;no;no;cellular;15,0;nov;197,11197700508944;1,0;92,84520026076824;1,0;failure;yes;ok;0,653438150882721;0,2447399513540907;3,0;3,796;100,0;0,0
62;31,0;entrepreneur;single;tertiary;yes;-405,0;yes;yes;cellular;21,0;nov;846,0;1,0;100,00000000000001;2,0;success;yes;ok;0,0;0,2447399513540907;2,0;3,796;100,0;0,0
63;58,0;management;married;tertiary;no;9339,0;yes;no;telephone;15,0;may;167,25355108898302;3,0;184,466006802524;2,032928769791127;other;yes;ok;0,8591850399971008;0,2447399513540907;7,0;3,796;100,0;0,0
64;34,0;blue-collar;married;secondary;no;529,0;yes;no;cellular;14,0;may;325,0;1,0;374,8641182926632;3,0;failure;yes;ok;0,2230139672756195;0,2447399513540907;2,0;3,796;100,0;0,0
65;24,047974196448088;student;single;secondary;no;2138,0;yes;no;cellular;15,0;mar;226,27935983532987;8,0;377,62076390445617;1,0;other;yes;ok;1,1824686527252197;0,2447399513540907;5,0;3,796;100,0;0,0
66;51,0;blue-collar;married;primary;no;1164,0;yes;no;cellular;12,0;may;166,06539713544998;1,0;379,35940665523196;2,0;failure;yes;ok;0,3493029773235321;0,2447399513540907;3,0;3,796;100,0;0,0
67;32,0;admin.;single;secondary;no;395,8368277646846;yes;no;cellular;5,0;may;230,24432198012937;1,0;374,1448171238671;1,8368679420831484;failure;yes;ok;0,1509658694267273;0,2447399513540907;5,0;3,796;100,0;0,0
68;23,0;student;single;secondary;no;287,0;no;no;telephone;3,0;mar;700,0;2,999999949425607;180,0;1,0;other;yes;ok;6,664001972467304e-08;0,2447399513540907;3,0;3,796;100,0;0,0
69;46,99999958843291;admin.;married;tertiary;no;97,0;yes;no;cellular;6,0;may;220,0;1,0;87,0;3,0;failure;yes;ok;2,9802322387695312e-08;0,2447399513540907;1,0;3,796;100,0;0,0
70;53,0;admin.;married;secondary;no;225,0;yes;no;cellular;20,0;apr;304,0;1,0;374,759002920817;1,0;failure;yes;ok;0,3032963275909424;0,2447399513540907;1,0;3,796;100,0;0,0
71;32,0;services;married;secondary;no;352,63924944379755;yes;no;cellular;15,0;apr;903,0;1,983360115668511;347,1487053513247;2,0;failure;no;ok;0,18086948990821838;0,2447399513540907;3,0;3,796;100,0;0,0
72;46,0;admin.;married;secondary;no;5021,0;no;no;cellular;15,0;jul;957,0;1,0;182,0;1,0;success;no;ok;3,332000986233652e-08;0,2447399513540907;3,0;3,796;100,0;0,0
73;47,0;unemployed;divorced;secondary;no;189,82091632177776;no;yes;cellular;30,0;jan;146,61728974865136;2,0;239,2018508405486;8,0;other;yes;ok;0,1284216046333313;0,2447399513540907;6,0;3,796;100,0;0,0
74;58,0;retired;divorced;primary;no;1194,0;yes;no;cellular;22,0;may;807,0;1,0;310,0;1,0;other;yes;ok;0,0;0,2447399513540907;1,0;3,796;100,0;0,0
75;55,0;management;married;primary;no;-185,90669563100232;no;no;cellular;12,0;aug;304,0228374341107;1,0;457,0;3,0;failure;no;ok;0,08020876348018646;0,2447399513540907;4,0;3,796;100,0;0,0
76;58,0;retired;married;secondary;no;582,6095831453415;no;no;cellular;8,0;jul;625,0;1,0;175,67789154733265;1,0;failure;yes;ok;0,22353710234165192;0,2447399513540907;2,0;3,796;100,0;0,0
77;41,0;self-employed;single;tertiary;no;115,45393205608548;yes;no;cellular;4,0;feb;1164,0;1,0;201,26644445796666;1,0;failure;no;ok;0,051109664142131805;0,2447399513540907;4,0;3,796;100,0;0,0
