;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;A14;30,0;A32;A43;2200,1702235641305;A63;A75;3,990190807605181;A93;A101;2,0;A123;29,731066572353008;A141;A152;1,0;A174;1,0;A191;A201;0;ok;0,056142449378967285;0,09216059174933665;5,0;3,575;100,0;0,0
1;A13;12,0;A32;A40;1330,0;A61;A72;4,0;A93;A101;1,0;A121;26,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;4,6566128730773926e-09;0,09216059174933665;2,0;3,575;100,0;0,0
2;A13;38,98092832775176;A30;A49;5556,077616558843;A61;A72;2,0;A91;A101;1,0;A122;32,398105937443255;A143;A152;1,8398713487257208;A173;1,0;A191;A201;0;ok;0,4470624029636383;0,09216059174933665;6,0;3,575;100,0;0,0
3;A12;30,0;A32;A42;3832,0;A61;A72;2,0;A94;A101;1,0;A122;22,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,0;0,09216059174933665;1,0;3,575;100,0;0,0
4;A11;24,0;A32;A40;1388,7742258008257;A65;A73;4,0;A92;A101;4,0;A121;25,0;A143;A151;1,0;A173;1,0;A191;A201;1;ok;0,005953125189989805;0,09216059174933665;2,0;3,575;100,0;0,0
5;A14;6,0;A34;A43;700,0;A65;A75;4,0;A93;A101;4,0;A124;35,999999748429595;A143;A153;2,0;A173;1,0;A191;A201;0;ok;1,214617526557049e-07;0,09216059174933665;3,0;3,575;100,0;0,0
6;A12;12,0;A32;A42;983,0;A64;A72;0,9999999999999998;A92;A101;4,0;A121;19,0;A143;A151;1,0;A172;1,0;A191;A201;0;ok;5,960464477539063e-08;0,09216059174933665;2,0;3,575;100,0;0,0
7;A12;27,0;A30;A49;8318,0;A62;A75;2,0;A92;A101;3,8020606354915767;A124;42,0;A143;A153;1,9573648519154878;A174;1,0;A192;A201;1;ok;0,734758198261261;0,09216059174933665;6,0;3,575;100,0;0,0
8;A14;24,0;A32;A40;1249,0;A61;A72;4,0;A94;A101;2,0;A121;28,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;4,6566128730773926e-09;0,09216059174933665;2,0;3,575;100,0;0,0
9;A14;12,157542474452546;A34;A43;730,0;A65;A75;4,0;A93;A101;2,0;A122;46,0;A143;A151;1,9992111331090192;A172;1,0;A192;A201;0;ok;0,4676443636417389;0,09216059174933665;5,0;3,575;100,0;0,0
10;A14;12,0;A32;A43;3077,0;A61;A73;2,0;A93;A101;4,0;A123;52,0;A143;A152;1,0;A173;1,0;A192;A201;0;ok;0,0011373247252777219;0,09216059174933665;7,0;3,575;100,0;0,0
11;A11;42,0;A32;A43;7174,0;A65;A74;4,0;A92;A101;3,0;A123;29,999999884449814;A143;A152;1,0;A174;1,0;A192;A201;1;ok;1,3328003944934608e-07;0,09216059174933665;5,0;3,575;100,0;0,0
12;A12;29,999999275789754;A34;A40;4249,0;A61;A71;4,0;A94;A101;1,999999958332435;A123;28,0;A143;A152;1,9999999287896013;A174;1,0;A191;A201;1;ok;1,884864389012364e-07;0,09216059174933665;5,0;3,575;100,0;0,0
13;A14;24,0;A34;A49;4526,0;A61;A73;3,0;A93;A101;2,0;A121;74,0;A143;A152;1,0;A174;1,0;A192;A201;0;ok;0,0;0,09216059174933665;1,0;3,575;100,0;0,0
