;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;A14;31,921974699622147;A31;A43;2333,0;A63;A75;4,0;A93;A101;2,0;A123;30,0;A141;A152;1,0;A174;1,0;A191;A201;0;ok;0,5076592564582825;0,382277766764164;2,0;1,39;100,0;0,0
1;A13;12,0;A32;A40;593,6250271023905;A61;A72;4,0;A93;A101;1,0;A121;26,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,21641212701797485;0,382277766764164;1,0;1,39;100,0;0,0
2;A13;42,0;A30;A49;6289,0;A61;A72;2,0;A91;A101;1,0;A121;35,53490072788682;A143;A152;2,0;A173;1,0;A191;A201;0;ok;0,5409023761749268;0,382277766764164;2,0;1,39;100,0;0,0
3;A12;30,0;A32;A42;4050,738614596452;A61;A72;2,0;A94;A101;1,0;A122;22,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,06428477168083191;0,382277766764164;1,0;1,39;100,0;0,0
4;A11;24,0;A32;A41;1539,0528276873993;A65;A73;4,0;A92;A101;4,0;A121;25,0;A143;A151;1,0;A173;1,0;A191;A201;1;ok;0,19042253494262695;0,382277766764164;2,0;1,39;100,0;0,0
5;A14;6,0;A34;A43;438,02502494653436;A65;A75;4,0;A93;A101;4,0;A124;36,0;A143;A153;2,0;A173;1,0;A191;A201;0;ok;0,07699143886566162;0,382277766764164;1,0;1,39;100,0;0,0
6;A12;12,0;A32;A42;983,0;A64;A72;0,9999999999999998;A92;A101;4,0;A121;19,523023124953358;A143;A151;1,0;A172;1,0;A191;A201;0;ok;0,0450284481048584;0,382277766764164;1,0;1,39;100,0;0,0
7;A13;27,0;A30;A49;8318,0;A61;A75;2,0;A92;A101;4,0;A124;39,10172139917222;A143;A153;2,0;A174;1,0;A192;A201;1;ok;0,47842657566070557;0,382277766764164;2,0;1,39;100,0;0,0
8;A14;24,0;A32;A40;603,6858958356779;A61;A72;4,0;A94;A101;2,0;A121;28,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,18965041637420654;0,382277766764164;1,0;1,39;100,0;0,0
9;A14;7,0;A34;A43;435,2386500263892;A65;A75;4,0;A93;A101;2,0;A122;46,0;A143;A151;2,0;A172;1,0;A192;A201;0;ok;0,08662694692611694;0,382277766764164;1,0;1,39;100,0;0,0
10;A14;12,0;A32;A43;431,28703057372877;A61;A73;2,0;A93;A101;4,0;A123;52,0;A143;A152;1,0;A173;1,0;A192;A201;0;ok;0,7775446772575378;0,382277766764164;1,0;1,39;100,0;0,0
11;A11;42,0;A31;A43;7174,0;A65;A74;4,0;A92;A101;3,0;A123;30,0;A143;A152;1,0;A174;1,0;A192;A201;1;ok;0,49631935358047485;0,382277766764164;1,0;1,39;100,0;0,0
12;A12;30,0;A34;A40;4047,634475780599;A61;A71;4,0;A94;A101;2,0;A123;28,0;A143;A152;2,0;A174;1,0;A191;A201;1;ok;0,05917903780937195;0,382277766764164;1,0;1,39;100,0;0,0
13;A14;31,616743414646983;A33;A49;4526,0;A61;A73;3,0;A94;A101;2,0;A121;74,0;A142;A152;1,0;A174;1,0;A192;A201;0;ok;1,4256129264831543;0,382277766764164;4,0;1,39;100,0;0,0
14;A12;30,0;A32;A41;2150,0;A61;A73;4,0;A92;A103;2,0;A124;24,0;A141;A152;1,0;A173;1,0;A191;A201;1;ok;0,18881958723068237;0,382277766764164;1,0;1,39;100,0;0,0
15;A11;24,0;A31;A410;1373,4776338047648;A65;A75;4,0;A93;A101;3,0;A123;40,0;A142;A152;1,0;A174;1,0;A192;A201;1;ok;0,004548698663711548;0,382277766764164;1,0;1,39;100,0;0,0
16;A14;10,0;A32;A40;612,3375694879869;A62;A73;3,0;A93;A101;2,0;A121;35,0;A143;A151;1,0;A172;1,0;A191;A202;0;ok;0,23677495121955872;0,382277766764164;1,0;1,39;100,0;0,0
17;A11;15,0;A34;A49;1243,7222840081142;A63;A73;2,0;A93;A101;4,0;A123;24,97137478971181;A141;A152;1,0;A173;1,0;A191;A201;0;ok;0,5499059557914734;0,382277766764164;3,0;1,39;100,0;0,0
18;A11;24,0;A34;A40;4073,779619594324;A62;A72;4,0;A91;A101;2,0;A123;37,0;A143;A152;1,0;A173;1,0;A192;A201;0;ok;0,415571004152298;0,382277766764164;2,0;1,39;100,0;0,0
19;A13;30,0;A30;A49;3933,4080558812466;A61;A73;2,0;A92;A101;1,0;A123;28,0;A143;A152;2,0;A173;1,0;A191;A201;0;ok;0,426349401473999;0,382277766764164;2,0;1,39;100,0;0,0
20;A11;8,483441932563464;A32;A40;1422,0;A61;A72;3,0;A93;A101;2,0;A124;27,0;A143;A153;1,0;A174;1,0;A192;A201;1;ok;0,04207414388656616;0,382277766764164;1,0;1,39;100,0;0,0
21;A14;10,0;A32;A40;605,1410509835314;A61;A73;3,0;A93;A101;2,0;A121;31,0;A143;A152;1,0;A172;2,0;A191;A202;0;ok;0,2765076458454132;0,382277766764164;1,0;1,39;100,0;0,0
22;A12;18,0;A30;A410;3244,0;A61;A73;0,9999999999999998;A92;A101;4,0;A123;34,76141013535646;A141;A152;2,0;A173;1,0;A192;A201;0;ok;0,24132971465587616;0,382277766764164;2,0;1,39;100,0;0,0
23;A11;42,0;A33;A43;4046,468341135181;A61;A74;2,484372788162328;A93;A101;2,0;A122;26,0;A141;A152;2,0;A173;2,0;A192;A201;1;ok;0,47623491287231445;0,382277766764164;2,0;1,39;100,0;0,0
24;A14;31,798877911929207;A33;A40;9041,602944224462;A65;A75;0,9999999999999998;A94;A101;4,0;A123;63,0;A142;A151;2,0;A173;1,0;A191;A201;0;ok;1,6738883256912231;0,382277766764164;7,0;1,39;100,0;0,0
25;A11;24,0;A32;A40;4075,0455181248917;A61;A73;3,0;A93;A103;4,0;A124;63,0;A141;A152;1,0;A173;2,0;A192;A201;0;ok;0,3849988877773285;0,382277766764164;2,0;1,39;100,0;0,0
26;A14;36,0;A33;A41;8947,0;A65;A74;3,0;A93;A101;2,0;A123;19,19312881032865;A142;A152;1,0;A174;2,0;A192;A201;0;ok;1,0164850950241089;0,382277766764164;1,0;1,39;100,0;0,0
27;A11;12,0;A32;A46;583,3781763255593;A61;A72;4,0;A92;A101;4,0;A122;53,0;A143;A152;1,0;A173;1,0;A191;A201;1;ok;0,062193214893341064;0,382277766764164;1,0;1,39;100,0;0,0
28;A12;6,0;A32;A45;445,45843057318007;A61;A72;3,0;A94;A101;1,0;A122;22,0;A143;A152;1,0;A172;1,0;A191;A201;0;ok;0,002510249614715576;0,382277766764164;1,0;1,39;100,0;0,0
29;A14;33,0;A33;A40;8768,571440670414;A61;A73;3,0;A93;A101;2,0;A123;34,37453990009289;A143;A152;2,0;A174;1,0;A192;A201;0;ok;1,0114394426345825;0,382277766764164;5,0;1,39;100,0;0,0
30;A12;21,0;A34;A42;612,8030222949769;A64;A74;3,0;A93;A101;2,0;A123;32,0;A143;A152;2,0;A173;1,0;A192;A201;0;ok;0,6266282200813293;0,382277766764164;1,0;1,39;100,0;0,0
31;A14;6,0;A32;A44;596,1393058110989;A63;A73;0,9999999999999998;A91;A101;4,0;A121;62,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,21802431344985962;0,382277766764164;1,0;1,39;100,0;0,0
32;A14;24,0;A32;A42;612,2353216065626;A63;A75;3,0;A93;A101;4,0;A122;53,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,6532450318336487;0,382277766764164;1,0;1,39;100,0;0,0
33;A12;12,0;A32;A42;4052,6566978189717;A61;A72;3,0;A92;A101;1,0;A121;34,0;A143;A151;1,0;A174;1,0;A191;A201;0;ok;0,3043676018714905;0,382277766764164;1,0;1,39;100,0;0,0
34;A14;12,0;A34;A40;603,6156423902512;A61;A71;0,9999999999999998;A92;A101;2,0;A122;38,0;A143;A152;1,0;A171;1,0;A191;A201;0;ok;0,09474503993988037;0,382277766764164;1,0;1,39;100,0;0,0
35;A14;6,0;A32;A48;444,39026012045497;A65;A71;4,0;A93;A101;4,0;A122;36,0;A143;A152;1,0;A174;2,0;A192;A201;0;ok;0,2332327961921692;0,382277766764164;1,0;1,39;100,0;0,0
36;A14;18,0;A34;A43;604,8709912019785;A64;A75;4,0;A93;A101;4,0;A123;46,0;A143;A152;2,0;A173;1,0;A191;A201;0;ok;0,2871670126914978;0,382277766764164;1,0;1,39;100,0;0,0
37;A11;6,0;A32;A46;445,40484461745245;A61;A72;4,0;A92;A101;4,0;A122;23,0;A143;A152;1,0;A173;1,0;A191;A201;1;ok;0,000762641429901123;0,382277766764164;1,0;1,39;100,0;0,0
38;A14;24,0;A32;A43;610,4854723258672;A65;A75;4,0;A93;A101;2,0;A123;25,0;A143;A152;2,0;A173;1,0;A191;A201;0;ok;0,11417996883392334;0,382277766764164;1,0;1,39;100,0;0,0
39;A12;12,0;A32;A43;1566,9999999999998;A61;A73;0,9999999999999998;A92;A101;1,0;A123;19,495754793677786;A143;A152;1,0;A173;1,0;A192;A201;0;ok;0,21559715270996094;0,382277766764164;1,0;1,39;100,0;0,0
40;A14;6,0;A34;A43;599,5350184848608;A61;A74;0,9999999999999998;A92;A101;2,0;A123;24,0;A143;A151;2,0;A173;1,0;A192;A201;0;ok;0,28050628304481506;0,382277766764164;1,0;1,39;100,0;0,0
41;A14;24,0;A32;A42;5511,0;A62;A73;4,0;A93;A101;1,0;A123;19,33953363125364;A142;A152;1,0;A173;1,0;A191;A201;0;ok;0,48732471466064453;0,382277766764164;1,0;1,39;100,0;0,0
42;A12;45,0;A34;A40;4576,0;A62;A71;3,0;A93;A101;4,0;A123;27,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,18774724006652832;0,382277766764164;1,0;1,39;100,0;0,0
43;A12;12,0;A32;A40;1329,153837195942;A61;A74;3,0;A93;A101;4,0;A122;30,0;A143;A151;1,0;A173;2,0;A192;A201;0;ok;0,19774174690246582;0,382277766764164;1,0;1,39;100,0;0,0
44;A11;12,0;A31;A40;586,4961896178679;A61;A72;4,0;A93;A101;2,0;A123;46,0;A141;A152;2,0;A173;1,0;A192;A201;1;ok;0,032475829124450684;0,382277766764164;1,0;1,39;100,0;0,0
45;A14;24,0;A34;A40;2463,0;A62;A74;4,0;A94;A101;3,0;A122;19,390217622247754;A143;A152;2,0;A173;1,0;A192;A201;0;ok;0,6551464796066284;0,382277766764164;1,0;1,39;100,0;0,0
46;A14;36,0;A33;A40;12436,924849336081;A65;A73;4,0;A93;A101;2,0;A123;30,0;A143;A152;1,0;A174;1,0;A192;A201;0;ok;0,8181076645851135;0,382277766764164;3,0;1,39;100,0;0,0
47;A14;12,0;A32;A46;610,1403598555007;A61;A75;4,0;A93;A101;4,0;A123;41,0;A141;A152;1,0;A172;2,0;A191;A201;1;ok;0,03199261426925659;0,382277766764164;1,0;1,39;100,0;0,0
48;A14;12,0;A32;A40;601,9335266695571;A65;A72;2,0;A93;A101;3,0;A122;45,0;A143;A152;1,0;A174;2,0;A192;A201;0;ok;0,8596434593200684;0,382277766764164;1,0;1,39;100,0;0,0
49;A14;36,0;A33;A43;9566,0;A61;A73;2,0;A92;A101;2,0;A123;31,0;A142;A152;2,0;A173;1,0;A191;A201;0;ok;0,48671919107437134;0,382277766764164;1,0;1,39;100,0;0,0
50;A12;31,474984142159272;A34;A46;8065,0;A61;A73;2,2292445031074153;A92;A101;2,0;A124;25,577479071735127;A143;A152;2,0;A174;1,0;A192;A201;1;ok;0,9017005562782288;0,382277766764164;4,0;1,39;100,0;0,0
51;A14;15,0;A32;A40;3186,0;A64;A74;2,0;A92;A101;3,0;A123;19,43425500534442;A143;A151;1,0;A173;1,0;A191;A201;0;ok;0,0487065315246582;0,382277766764164;1,0;1,39;100,0;0,0
52;A14;12,0;A32;A40;605,1361196836847;A61;A73;3,0;A94;A101;2,0;A121;27,0;A143;A152;2,0;A173;1,0;A192;A201;0;ok;0,1457287073135376;0,382277766764164;1,0;1,39;100,0;0,0
53;A11;10,0;A31;A43;2315,0;A61;A75;3,0;A93;A101;4,0;A121;52,0;A143;A152;1,0;A172;1,0;A191;A201;0;ok;0,4862564206123352;0,382277766764164;1,0;1,39;100,0;0,0
54;A12;24,0;A34;A42;12296,7700082981;A61;A73;2,0;A93;A102;3,0;A123;39,0;A143;A152;2,0;A174;2,0;A192;A201;1;ok;0,2240329533815384;0,382277766764164;2,0;1,39;100,0;0,0
55;A12;6,0;A32;A43;589,9999896535551;A61;A72;3,0;A94;A101;3,0;A121;26,0;A143;A152;1,0;A172;1,0;A191;A202;0;ok;0,0;0,382277766764164;1,0;1,39;100,0;0,0
56;A12;48,0;A31;A43;4202,336253357653;A65;A74;4,0;A93;A101;1,0;A123;42,7000438691471;A143;A152;2,0;A173;2,0;A192;A201;0;ok;0,5299025177955627;0,382277766764164;3,0;1,39;100,0;0,0
57;A12;24,0;A32;A42;4058,9391637259064;A61;A72;2,0;A92;A101;4,0;A123;25,454442643153698;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,4305558502674103;0,382277766764164;3,0;1,39;100,0;0,0
58;A12;12,0;A34;A43;3573,0;A61;A73;0,9999999999999998;A92;A101;1,0;A121;19,48399094927084;A143;A152;1,0;A172;1,0;A191;A201;0;ok;0,3027026653289795;0,382277766764164;1,0;1,39;100,0;0,0
59;A14;15,0;A34;A40;606,5584778778757;A65;A75;0,9999999999999998;A92;A101;4,0;A123;59,0;A143;A152;1,0;A173;1,0;A192;A201;0;ok;1,304407000541687;0,382277766764164;1,0;1,39;100,0;0,0
60;A11;21,0;A33;A46;2732,9868748609315;A61;A72;2,0;A93;A101;1,0;A122;25,18723193092545;A143;A152;2,0;A173;1,0;A191;A201;1;ok;0,2120213806629181;0,382277766764164;2,0;1,39;100,0;0,0
61;A11;12,0;A34;A40;733,2317166474822;A61;A73;3,0;A93;A101;2,0;A121;41,76011724682975;A143;A151;2,0;A172;2,0;A191;A202;0;ok;0,47227829694747925;0,382277766764164;2,0;1,39;100,0;0,0
62;A11;28,0;A32;A41;4006,0;A61;A73;3,0;A93;A101;2,0;A123;45,0;A143;A152;1,0;A172;1,0;A191;A201;1;ok;0,19037330150604248;0,382277766764164;1,0;1,39;100,0;0,0
63;A11;12,0;A32;A43;586,5842705169694;A61;A73;4,0;A94;A101;2,0;A121;40,0;A143;A152;1,0;A172;1,0;A191;A201;0;ok;0,03362548351287842;0,382277766764164;1,0;1,39;100,0;0,0
64;A12;9,0;A32;A42;798,6298800737331;A61;A73;4,0;A92;A101;1,0;A122;30,0;A143;A152;1,0;A173;1,0;A191;A201;1;ok;0,03508150577545166;0,382277766764164;1,0;1,39;100,0;0,0
65;A12;12,0;A32;A42;2762,0;A65;A75;0,9999999999999998;A92;A101;2,0;A122;19,17905210452431;A141;A152;1,0;A173;1,0;A192;A201;1;ok;0,5011409521102905;0,382277766764164;1,0;1,39;100,0;0,0
