;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;A14;30,0;A32;A42;524,8469299943854;A62;A75;4,0;A93;A101;2,0;A123;20,75599577875121;A141;A152;1,0;A174;1,0;A191;A201;0;ok;1,1330523490905762;0,8799580290303033;4,0;3,595;100,0;0,0
1;A12;12,0;A32;A40;1330,0;A61;A72;4,0;A93;A101;1,0;A121;24,465158216352673;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,5190190076828003;0,8799580290303033;2,0;3,595;100,0;0,0
2;A13;42,0;A30;A48;6289,0;A61;A72;2,0;A91;A101;1,0;A122;33,85960299857329;A143;A152;2,0;A173;1,0;A191;A201;0;ok;0,1992063969373703;0,8799580290303033;3,0;3,595;100,0;0,0
3;A12;28,194443380275114;A32;A42;3714,3161634001103;A61;A72;2,0;A94;A101;1,0;A122;23,689641608981617;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,21199823915958405;0,8799580290303033;3,0;3,595;100,0;0,0
4;A11;24,0;A32;A40;1675,4714589163577;A65;A73;4,0;A92;A101;4,0;A121;25,0;A143;A151;1,0;A173;1,0;A191;A201;1;ok;0,09216165542602539;0,8799580290303033;1,0;3,595;100,0;0,0
5;A12;13,732773483181877;A34;A43;700,0;A64;A75;4,0;A93;A101;4,0;A124;36,0;A143;A153;2,0;A173;1,0;A191;A201;0;ok;1,7703406810760498;0,8799580290303033;3,0;3,595;100,0;0,0
6;A12;12,0;A31;A42;983,0;A64;A72;0,9999999999999998;A92;A101;4,0;A122;19,0;A143;A151;1,0;A172;1,0;A191;A201;0;ok;0,7940529584884644;0,8799580290303033;2,0;3,595;100,0;0,0
7;A13;27,0;A30;A49;8318,0;A61;A75;2,0;A92;A101;4,0;A123;42,0;A143;A153;2,0;A174;1,0;A192;A201;1;ok;0,74012690782547;0,8799580290303033;2,0;3,595;100,0;0,0
8;A14;25,601328658844203;A32;A40;1741,9822967963303;A61;A72;4,0;A94;A101;2,0;A121;21,542631703618625;A143;A152;1,0;A173;1,0;A191;A201;0;ok;0,5641893744468689;0,8799580290303033;3,0;3,595;100,0;0,0
9;A13;16,267822618449348;A34;A43;730,0;A65;A73;4,0;A93;A101;2,0;A124;40,297019066308884;A142;A151;2,0;A172;1,0;A192;A201;0;ok;2,807436943054199;0,8799580290303033;6,0;3,595;100,0;0,0
10;A12;13,86416789576014;A31;A43;4229,675474185762;A61;A73;2,0;A93;A101;4,0;A123;52,0;A143;A152;1,0;A173;1,0;A192;A201;0;ok;1,6981287002563477;0,8799580290303033;4,0;3,595;100,0;0,0
11;A11;42,0;A32;A43;7174,0;A65;A74;4,0;A92;A101;3,0;A124;27,61836811774921;A143;A152;1,0;A174;1,0;A192;A201;1;ok;0,518373429775238;0,8799580290303033;2,0;3,595;100,0;0,0
12;A12;30,0;A34;A41;3837,124634815831;A61;A71;4,0;A94;A101;2,0;A123;29,7131148395263;A143;A152;2,0;A174;1,0;A191;A201;1;ok;0,2692180871963501;0,8799580290303033;3,0;3,595;100,0;0,0
13;A14;22,45704083807875;A34;A49;4643,41204306927;A61;A73;3,0;A93;A101;2,0;A121;74,0;A143;A152;1,0;A174;1,0;A192;A201;0;ok;0,13902631402015686;0,8799580290303033;2,0;3,595;100,0;0,0
14;A12;30,0;A32;A41;2150,0;A61;A73;4,0;A92;A103;2,0;A124;24,0;A141;A152;1,0;A173;1,0;A191;A201;1;ok;0,18868935108184814;0,8799580290303033;1,0;3,595;100,0;0,0
