;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;1,0;0,0;0,0;1,0;0,04422589406052563;0,0;0,0;0,008863496881829303;0,0;0,0;0,0;0,0;0,024550726212628993;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
2;0,0;0,2454387867100929;0,0;0,0;0,2440277214522466;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,05494644703757007;0,0;0,0;0,27066682185679203;1,0;0,0;0,0;0,0
3;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;0,0;0,0;0,0;0,0;0,0059179579185295594;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
5;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,2965669236978126e-08;1,0;0,0;0,0;0,0;0,0;0,0;0,0
6;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,17724807694587463;1,0;0,0;0,0;0,0;0,07206655360921177;0,0;0,0;1,0;0,0
8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
9;1,0;0,4192881470722898;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0013334284186536927;0,0;0,0;1,0;0,0
10;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
11;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0548487860972955e-08;1,0;0,0;0,0;1,0;0,0;0,0;0,0
12;1,0;5,887547671612481e-08;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;3,731191000611034e-08;0,0;0,0;0,0;0,0;1,2036754282185314e-07;0,0;0,0;0,0;0,0
13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
14;0,0;6,513395389706744e-08;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;4,232069927834203e-08;0,0;3,045873908646968e-08;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,2074839517151048e-08;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0
16;0,0;3,437940887529578e-08;1,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,3876692277203784e-07;0,0;0,0;0,0;0,0;0,0;0,0;1,0
17;0,0;0,13686672591216892;1,0;1,0;0,0762465080639888;1,0;1,0;0,0;1,0;0,0;0,056768890688552176;1,0;0,11935968366676342;0,0;1,0;0,0;1,0;0,0;0,0;0,0
18;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0
19;1,0;1,0206052336592109e-07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;1,1270252286976756e-07;1,0;0,0;0,0;0,0
20;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21;1,0;6,253924222932028e-08;1,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;3,4804786996911474e-08;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;4,12745924105451e-08;0,0;7,944130908654756e-09;0,0;0,0;0,0;1,0;0,0;0,0;0,0
23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,6554106913323494e-08;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
24;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
25;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
26;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
27;0,0;3,5453500357718326e-08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
28;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0237785162968702e-09;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
29;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;1,0;1,6557424362129147e-08;1,0;0,0;0,0;0,0;0,0;0,0;0,0
30;1,0;0,0;0,0;0,0;0,07189270490915292;1,0;1,0;0,02292427943344741;0,0;0,0;0,0;1,0;0,09198813682923063;1,0;0,0;0,0;0,0;0,0;0,0;0,0
31;1,0;0,1845044674939178;1,0;0,0;0,18511505384013982;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
32;1,0;0,2568140308231144;1,0;0,0;0,6127347568835774;0,0;0,0;0,0;0,0;0,0;0,03865071316948265;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
33;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
34;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
35;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0
36;1,0;0,059725039061231056;0,0;1,0;0,11400965757400128;0,0;0,0;0,0;0,0;0,0;0,0930989081658109;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0
37;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0581233939331867e-08;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
38;1,0;0,20297837519967224;1,0;0,0;0,09188446292968988;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
39;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
40;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,10505264213738386;1,0;0,0;0,0;0,0;0,0;0,0;0,0
41;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
42;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
43;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1844283553941182e-08;1,0;0,0;0,0;0,0;0,0;0,0;0,0
44;0,0;3,569611339848677e-08;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,274668458619345e-08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
