;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0,0;0,0;0,0;1,0;0,6020275593694974;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8438780508987578;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1401145284902634;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,07847249802367112;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;0,0;0,14678473192776031;0,0;0,0;0,0391830283070284;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1542460857414265;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;0,0;0,0;0,0;0,0;0,10137427651991637;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;1,0;0,6286444137984961;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;0,0;0,13018179288805748;0,0;0,0;0,16413927220870872;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5894881959659686;0,0;0,0;0,0;0,0;0,0;0,0;0,0
9;1,0;0,7534379391605023;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,5206207525926347;1,0;0,0;0,0;0,0;0,0;0,0;0,0
10;1,0;0,15154960074815182;1,0;0,0;0,3837852082218778;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,21741734670915458;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;1,0;0,13713458499698575;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1563889389429437;0,0;0,0;0,0;0,0;0,0;0,0;0,0
13;0,0;0,1254365797692911;0,0;0,0;0,039092534200856954;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16;1,0;0,0;1,0;0,0;0,29869029027052607;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,5969610857556422;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17;0,0;0,4072620099208491;0,0;0,0;0,4113039090975941;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18;1,0;0,0;0,0;0,0;0,06662797953573354;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,19419362253126765;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1032011449048511;0,0;0,0;0,0;0,0;0,0;0,0;0,0
20;0,0;0,19151237109189567;0,0;0,0;0,16043726716932782;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21;1,0;0,0;1,0;0,0;0,2693439929072199;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,25960173211974247;0,0;0,0;0,0;0,0;0,0;0,0;0,0
