;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;1,0;0,0;0,0;1,0;132,82977643586946;0,0;0,0;0,009809192394818922;0,0;0,0;0,0;0,0;0,26893342764699213;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
2;0,0;3,019071672248238;0,0;0,0;732,9223834411569;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,6018940625567453;0,0;0,0;0,16012865127427922;1,0;0,0;0,0;0,0
3;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;0,0;0,0;0,0;0,0;17,774225800825434;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
5;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5157040539625086e-07;1,0;0,0;0,0;0,0;0,0;0,0;0,0
6;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,1979393645084233;1,0;0,0;0,0;0,0;0,04263514808451219;0,0;0,0;1,0;0,0
8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
9;1,0;5,157542474452546;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0007888668909807883;0,0;0,0;1,0;0,0
10;1,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
11;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1555018630815539e-07;1,0;0,0;0,0;1,0;0,0;0,0;0,0
12;1,0;7,242102455506938e-07;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;4,166756495393997e-08;0,0;0,0;0,0;0,0;7,121039868884793e-08;0,0;0,0;0,0;0,0
13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
14;0,0;8,011939662821987e-07;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;4,7261061730807796e-08;0,0;3,33650948647346e-07;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,3484411809372432e-08;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0
16;0,0;4,22891185181129e-07;1,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;1,5200798486603162e-06;0,0;0,0;0,0;0,0;0,0;0,0;1,0
17;0,0;1,6835580904450467;1,0;1,0;229,00173835479472;1,0;1,0;0,0;1,0;0,0;0,06339588186432898;1,0;1,3074891786643406;0,0;1,0;0,0;1,0;0,0;0,0;0,0
18;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0
19;1,0;1,2554170396583686e-06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;6,66757116185579e-08;1,0;0,0;0,0;0,0
20;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21;1,0;7,692771664125075e-07;1,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;3,812584026263721e-07;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;4,609283621448412e-08;0,0;8,70215544068742e-08;0,0;0,0;0,0;1,0;0,0;0,0;0,0
23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,9653935529339037e-08;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
24;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
25;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
