;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0,0;1,9219746996221474;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;0,0;0,0;0,0;0,0;736,3749728976095;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,5349007278868214;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;0,0;0,0;0,0;0,0;218,73861459645195;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;0,0;0,0;0,0;1,0;168,05282768739903;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;0,0;0,0;0,0;0,0;261,97497505346564;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5230231249533581;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,89827860082778;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;0,0;0,0;0,0;0,0;645,3141041643221;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
9;0,0;0,0;0,0;0,0;294,7613499736108;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10;0,0;0,0;0,0;0,0;2645,7129694262712;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;0,0;201,36552421940087;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
13;0,0;7,616743414646983;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
14;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;0,0;0,0;0,0;0,0;15,477633804764764;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16;0,0;0,0;0,0;0,0;805,6624305120131;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17;1,0;0,0;0,0;0,0;1082,2777159918858;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0286252102881903;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18;1,0;0,0;0,0;0,0;195,77961959432378;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19;1,0;0,0;0,0;0,0;287,5919441187534;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
20;0,0;0,5165580674365362;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21;0,0;0,0;0,0;0,0;940,8589490164686;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,7614101353564635;0,0;0,0;0,0;0,0;0,0;0,0;0,0
23;0,0;0,0;0,0;0,0;323,53165886481884;0,0;0,0;0,5156272118376721;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
24;0,0;1,7988779119292069;1,0;1,0;1445,6029442244617;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0
25;0,0;0,0;0,0;1,0;1151,0455181248917;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,806871189671352;0,0;0,0;0,0;0,0;0,0;0,0;0,0
27;0,0;0,0;0,0;0,0;211,62182367444075;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
28;0,0;0,0;0,0;0,0;8,541569426819933;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
29;0,0;0,0;1,0;1,0;1515,5714406704137;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,6254600999071087;0,0;0,0;0,0;0,0;0,0;0,0;0,0
30;0,0;0,0;0,0;0,0;2132,196977705023;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
31;0,0;0,0;0,0;0,0;741,8606941889011;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
32;0,0;0,0;0,0;0,0;2222,7646783934374;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
33;0,0;0,0;0,0;0,0;1035,6566978189717;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
34;0,0;0,0;0,0;0,0;322,3843576097488;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
35;0,0;0,0;0,0;0,0;793,6097398795448;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
36;0,0;0,0;0,0;0,0;977,1290087980217;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
37;0,0;0,0;0,0;0,0;2,5951553825475457;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
38;0,0;0,0;0,0;0,0;388,51452767413275;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
39;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5042452063222136;0,0;0,0;0,0;0,0;0,0;0,0;0,0
40;0,0;0,0;0,0;0,0;954,4649815151392;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
41;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,660466368746359;0,0;0,0;0,0;0,0;0,0;0,0;0,0
42;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
43;0,0;0,0;0,0;0,0;672,8461628040579;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
44;0,0;0,0;0,0;0,0;110,50381038213209;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,609782377752246;0,0;0,0;0,0;0,0;0,0;0,0;0,0
46;0,0;0,0;1,0;1,0;1382,924849336081;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
47;0,0;0,0;0,0;0,0;108,85964014449928;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
48;0,0;0,0;0,0;0,0;2925,066473330443;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
49;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
50;1,0;4,525015857840728;0,0;0,0;0,0;0,0;0,0;0,7707554968925847;0,0;0,0;0,0;0,0;0,5774790717351266;0,0;0,0;0,0;0,0;0,0;0,0;0,0
51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5657449946555815;0,0;0,0;0,0;0,0;0,0;0,0;0,0
52;0,0;0,0;0,0;0,0;495,8638803163153;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
53;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
54;0,0;0,0;0,0;1,0;358,7700082980991;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
55;0,0;0,0;0,0;0,0;1,0346444923925446e-05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
56;0,0;0,0;1,0;0,0;223,33625335765282;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,7000438691471018;0,0;0,0;0,0;0,0;0,0;0,0;0,0
57;1,0;0,0;0,0;0,0;309,9391637259064;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5455573568463024;0,0;0,0;0,0;0,0;0,0;0,0;0,0
58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,51600905072916;0,0;0,0;0,0;0,0;0,0;0,0;0,0
59;0,0;0,0;0,0;0,0;4438,441522122124;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
60;0,0;0,0;0,0;0,0;681,0131251390685;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8127680690745507;0,0;0,0;0,0;0,0;0,0;0,0;0,0
61;0,0;0,0;0,0;0,0;1388,7682833525178;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,7601172468297506;0,0;0,0;0,0;0,0;0,0;0,0;0,0
62;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
63;0,0;0,0;0,0;0,0;114,41572948303065;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
64;0,0;0,0;0,0;0,0;119,37011992626685;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
65;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,82094789547569;0,0;0,0;0,0;0,0;0,0;0,0;0,0
66;0,0;2,5615289664200454;0,0;0,0;501,3261922339975;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8616441109149378;0,0;0,0;0,0;0,0;0,0;0,0;0,0
67;1,0;0,0;0,0;0,0;1200,4301025349278;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
68;0,0;0,0;0,0;0,0;876,2498188999439;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,6390416787080255;0,0;0,0;0,0;0,0;0,0;0,0;0,0
70;0,0;0,0;0,0;0,0;1255,185337539308;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,608865884588905;0,0;0,0;0,0;0,0;0,0;0,0;0,0
71;0,0;1,574887031205101;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
72;0,0;0,0;0,0;0,0;275,4164982596167;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
