;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0,0;0,0;0,0;1,0;1808,1530700056146;1,0;0,0;0,0;0,0;0,0;0,0;0,0;9,24400422124879;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,5348417836473267;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8596029985732869;0,0;0,0;0,0;0,0;0,0;0,0;0,0
3;0,0;1,8055566197248858;0,0;0,0;117,68383659988967;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,689641608981617;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;0,0;0,0;0,0;0,0;304,4714589163575;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;1,0;7,732773483181877;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;0,0;1,6013286588442028;0,0;0,0;492,9822967963303;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,457368296381375;0,0;0,0;0,0;0,0;0,0;0,0;0,0
9;1,0;9,267822618449348;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;5,702980933691116;1,0;0,0;0,0;0,0;0,0;0,0;0,0
10;1,0;1,86416789576014;1,0;0,0;1152,6754741857621;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,3816318822507903;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12;0,0;0,0;0,0;1,0;411,8753651841689;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,7131148395262983;0,0;0,0;0,0;0,0;0,0;0,0;0,0
13;0,0;1,5429591619212495;0,0;0,0;117,41204306927011;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
14;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16;1,0;0,0;1,0;0,0;897,0980762062495;0,0;0,0;0,0;1,0;0,0;0,0;0,0;6,53922778388327;0,0;0,0;0,0;0,0;0,0;0,0;0,0
17;0,0;5,009612432558342;0,0;0,0;1235,326214499219;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
18;1,0;0,0;0,0;0,0;200,11307434493483;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1272346928644055;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,130485403811747;0,0;0,0;0,0;0,0;0,0;0,0;0,0
