;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome;label;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;43,0;admin.;married;tertiary;no;386,0;yes;no;cellular;13,0;jul;220,0;3,0;529,0;1,0;failure;0,2308;ok;2,862480401992798;2,7546135120689867;4,0;4,542;100,0;0,0
1;32,0;services;married;secondary;no;-21,5625;no;yes;cellular;25,0;may;204,25;1,125;181,0;1,0;failure;0,652144704487905;ok;3,4436917304992676;2,7546135120689867;7,0;4,542;100,0;0,0
2;23,0;student;single;secondary;no;287,0;yes;no;telephone;3,0;jan;700,0;2,9375;207,125;1,0;other;0,2308;ok;2,190922975540161;2,7546135120689867;4,0;4,542;100,0;0,0
3;49,6875;management;married;secondary;no;14258,9375;no;no;cellular;22,0;may;404,0;1,5;178,25;7,0;other;0,652144704487905;ok;3,4464170932769775;2,7546135120689867;9,0;4,542;100,0;0,0
4;32,0;self-employed;married;tertiary;no;1074,0;yes;no;cellular;23,0;apr;226,5;1,0;329,0;1,9375;success;0,652144704487905;ok;3,7375025749206543;2,7546135120689867;5,0;4,542;100,0;0,0
5;33,9375;technician;single;secondary;no;2085,0;no;no;cellular;10,0;aug;356,0;3,0;176,8125;2,0;success;0,2308;ok;0,041998881846666336;2,7546135120689867;2,0;4,542;100,0;0,0
6;36,0;management;married;tertiary;no;17,4375;no;no;cellular;11,0;jan;228,75;3,0;96,00000000000001;3,9375;other;0,652144704487905;ok;0,5756067037582397;2,7546135120689867;3,0;4,542;100,0;0,0
7;39,0;admin.;single;secondary;no;522,0;yes;no;telephone;14,0;may;633,375;7,0;350,0;2,0;failure;0,652144704487905;ok;1,8761436939239502;2,7546135120689867;2,0;4,542;100,0;0,0
8;36,0;blue-collar;married;primary;no;4693,0;no;no;cellular;20,0;apr;192,75;6,0;152,0;21,0;success;0,652144704487905;ok;2,415501832962036;2,7546135120689867;3,0;4,542;100,0;0,0
9;81,125;retired;married;primary;no;1203,375;no;no;cellular;27,0;jan;340,0;1,0;92,0;3,0;success;0,2308;ok;0,703404426574707;2,7546135120689867;3,0;4,542;100,0;0,0
