;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;label;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;A11;36,0;A32;A42;3959,0;A61;A71;4,0;A93;A101;4,0;A122;30,0;A143;A151;1,0;A174;2,0;A192;A201;1,158257569495584;ok;2,9715521335601807;3,314954100809991;3,0;5,22;100,0;0,0
1;A14;9,0;A32;A40;11542,125;A62;A73;0,9999999999999998;A94;A102;2,0;A121;26,0;A143;A151;1,0;A173;2,0;A192;A202;0,7;ok;4,02695369720459;3,314954100809991;4,0;5,22;100,0;0,0
2;A14;18,375;A32;A40;2515,0;A65;A75;3,0625;A91;A101;3,8125;A122;43,0;A141;A152;1,0;A173;1,0625;A192;A201;0,7;ok;4,7481560707092285;3,314954100809991;10,0;5,22;100,0;0,0
3;A12;18,5625;A34;A40;1995,0;A62;A72;4,0;A92;A101;1,0;A123;27,0;A143;A152;1,0;A173;1,0;A192;A201;0,7;ok;2,431790351867676;3,314954100809991;3,0;5,22;100,0;0,0
4;A11;59,62499999999999;A32;A40;10366,0;A62;A75;2,0;A91;A102;4,0;A122;42,0;A143;A152;1,0;A174;1,0;A192;A201;0,7;ok;3,952503204345703;3,314954100809991;5,0;5,22;100,0;0,0
5;A14;24,0;A32;A40;7393,0;A61;A73;1,0624999999999998;A93;A101;4,0;A122;43,0;A142;A152;1,0;A171;2,0;A191;A201;0,7;ok;1,144219994544983;3,314954100809991;2,0;5,22;100,0;0,0
6;A13;12,0;A31;A43;409,0;A61;A73;3,0625;A92;A101;3,0;A122;42,0;A142;A151;2,0;A173;1,0625;A191;A201;0,7;ok;2,446052074432373;3,314954100809991;5,0;5,22;100,0;0,0
7;A14;9,0;A32;A40;2538,71875;A63;A75;2,0;A94;A101;4,0;A124;35,25;A141;A153;1,0;A171;1,0;A191;A201;0,7;ok;3,0138518810272217;3,314954100809991;4,0;5,22;100,0;0,0
8;A12;33,0;A32;A41;2856,9375;A61;A74;3,0;A92;A101;4,0;A122;24,0;A143;A151;1,0;A171;2,0;A191;A201;0,7;ok;4,205641269683838;3,314954100809991;7,0;5,22;100,0;0,0
9;A12;48,0;A33;A40;6560,0;A65;A74;3,0;A93;A101;2,0;A121;24,0;A143;A152;1,0;A173;1,0;A191;A201;1,158257569495584;ok;2,308704376220703;3,314954100809991;3,0;5,22;100,0;0,0
10;A13;36,0;A32;A42;9034,0;A65;A72;3,8125;A93;A102;1,0;A124;29,0;A143;A153;1,0;A171;1,0;A192;A201;1,158257569495584;ok;4,49304723739624;3,314954100809991;5,0;5,22;100,0;0,0
11;A11;24,0;A31;A42;3480,375;A61;A72;3,0;A93;A101;4,0;A123;27,0;A141;A152;1,0;A173;1,0;A191;A201;0,7;ok;1,6375956535339355;3,314954100809991;2,0;5,22;100,0;0,0
12;A12;19,125;A31;A41;6468,0;A62;A71;3,0;A91;A102;4,0;A123;60,0;A143;A153;1,0;A173;1,0625;A191;A201;0,7;ok;4,817419528961182;3,314954100809991;10,0;5,22;100,0;0,0
13;A11;21,25;A33;A40;2139,5;A61;A75;0,9999999999999998;A91;A103;1,875;A122;38,75;A143;A152;1,0;A171;2,0;A191;A201;0,7;ok;3,4445252418518066;3,314954100809991;8,0;5,22;100,0;0,0
14;A12;36,0;A34;A40;2820,0;A61;A72;3,9375;A94;A101;4,0;A123;29,25;A143;A152;2,0;A173;1,0;A191;A201;1,158257569495584;ok;3,6378228664398193;3,314954100809991;3,0;5,22;100,0;0,0
15;A11;6,375000000000002;A34;A40;783,0;A62;A72;0,9999999999999998;A92;A103;2,0;A121;26,0;A142;A151;1,0;A171;2,0;A191;A201;0,7;ok;4,479820728302002;3,314954100809991;7,0;5,22;100,0;0,0
16;A11;21,0;A32;A40;2843,5;A65;A73;2,0;A92;A102;1,9375;A121;25,0;A143;A152;1,0;A171;1,0;A191;A201;0,7;ok;5,318268299102783;3,314954100809991;6,0;5,22;100,0;0,0
17;A11;48,75;A31;A41;8013,75;A62;A72;3,9375;A92;A101;1,0;A124;53,0;A142;A151;2,0;A174;1,0625;A191;A201;0,7;ok;5,608120441436768;3,314954100809991;12,0;5,22;100,0;0,0
18;A11;15,0;A32;A43;1403,0000000000002;A61;A73;2,0;A92;A101;4,0;A123;28,0;A141;A151;1,0;A173;1,0;A191;A201;1,158257569495584;ok;2,707618474960327;3,314954100809991;2,0;5,22;100,0;0,0
19;A14;11,0;A31;A43;4785,28125;A61;A73;2,0;A93;A102;4,0;A123;52,4375;A143;A152;1,0;A174;1,0625;A192;A201;0,7;ok;4,041065216064453;3,314954100809991;10,0;5,22;100,0;0,0
20;A11;24,0;A32;A42;4020,0;A61;A73;2,0;A93;A101;1,9375;A123;27,1875;A142;A152;1,0;A173;1,0;A191;A201;1,158257569495584;ok;0,058223556727170944;3,314954100809991;2,0;5,22;100,0;0,0
