;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;label;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;A11;36,0;A32;A42;3959,0;A61;A71;4,0;A93;A101;4,0;A122;30,0;A143;A151;1,0;A174;2,0;A192;A201;1,158257569495584;ok;3,0969109535217285;3,4043896621465684;3,0;5,075;100,0;0,0
1;A14;9,0;A32;A40;11542,125;A62;A73;0,9999999999999998;A94;A102;2,0;A121;26,0;A143;A151;1,0;A173;2,0;A192;A202;0,7;ok;4,060392379760742;3,4043896621465684;4,0;5,075;100,0;0,0
2;A14;18,375;A32;A40;2515,0;A65;A75;3,0625;A91;A101;3,8125;A122;43,0;A141;A152;1,0;A173;1,0625;A192;A201;0,7;ok;4,83155632019043;3,4043896621465684;10,0;5,075;100,0;0,0
3;A12;18,5625;A34;A40;1995,0;A62;A72;4,0;A92;A101;1,0;A123;27,0;A143;A152;1,0;A173;1,0;A192;A201;0,7;ok;2,462714672088623;3,4043896621465684;3,0;5,075;100,0;0,0
4;A11;59,62499999999999;A32;A40;10366,0;A62;A75;2,0;A91;A102;4,0;A122;42,0;A143;A152;1,0;A174;1,0;A192;A201;0,7;ok;3,9816935062408447;3,4043896621465684;5,0;5,075;100,0;0,0
5;A14;24,0;A32;A40;7393,0;A61;A73;1,0624999999999998;A93;A101;4,0;A122;43,0;A142;A152;1,0;A171;2,0;A191;A201;0,7;ok;1,131686806678772;3,4043896621465684;2,0;5,075;100,0;0,0
6;A13;12,0;A31;A43;409,0;A61;A73;3,0625;A92;A101;3,0;A122;42,0;A142;A151;2,0;A173;1,0625;A191;A201;0,7;ok;2,5254716873168945;3,4043896621465684;5,0;5,075;100,0;0,0
7;A14;9,0;A32;A40;2539,1875;A63;A75;2,0;A93;A101;3,875;A124;34,125;A142;A153;1,0;A171;1,0;A191;A201;0,7;ok;1,993125081062317;3,4043896621465684;4,0;5,075;100,0;0,0
8;A12;30,0;A32;A41;8205,0625;A62;A74;2,125;A94;A101;4,0;A122;24,0;A142;A151;1,0;A174;1,0;A191;A201;0,7;ok;4,668961048126221;3,4043896621465684;6,0;5,075;100,0;0,0
9;A12;48,0;A32;A40;6560,0;A62;A74;3,0;A92;A101;4,0;A122;24,0;A143;A152;1,0;A173;1,0;A192;A201;1,158257569495584;ok;2,985442876815796;3,4043896621465684;3,0;5,075;100,0;0,0
10;A12;36,0;A32;A42;9034,0;A62;A72;3,9375;A94;A101;1,0;A124;29,0;A143;A151;1,0;A174;1,0;A191;A201;1,158257569495584;ok;2,976167678833008;3,4043896621465684;4,0;5,075;100,0;0,0
11;A11;23,4375;A31;A43;3552,0;A61;A73;2,875;A93;A101;3,8125;A123;27,25;A143;A152;1,0;A173;1,0;A191;A201;0,7;ok;2,434117555618286;3,4043896621465684;7,0;5,075;100,0;0,0
12;A12;20,0;A31;A42;6468,0;A61;A71;0,9999999999999998;A91;A101;4,0;A121;60,0;A143;A153;1,0;A174;1,0;A191;A201;0,7;ok;3,9094972610473633;3,4043896621465684;5,0;5,075;100,0;0,0
13;A12;30,0;A32;A49;2309,5;A61;A72;1,1874999999999998;A91;A103;3,0;A122;39,0;A143;A151;1,0;A174;2,0;A192;A201;0,7;ok;4,9447126388549805;3,4043896621465684;9,0;5,075;100,0;0,0
14;A12;36,0;A34;A43;2820,0;A61;A72;4,0;A92;A103;4,0;A123;27,0;A143;A152;2,0;A173;1,0;A192;A201;1,158257569495584;ok;4,478058815002441;3,4043896621465684;4,0;5,075;100,0;0,0
15;A11;6,0;A31;A40;783,0;A65;A73;0,9999999999999998;A92;A101;2,0;A121;26,4375;A142;A153;1,0;A171;2,0;A191;A201;0,7;ok;4,747248649597168;3,4043896621465684;5,0;5,075;100,0;0,0
16;A11;21,0;A30;A40;4320,3125;A62;A74;2,0;A94;A102;1,9375;A124;24,0625;A143;A151;1,0;A171;1,0;A192;A202;0,7;ok;4,895339488983154;3,4043896621465684;9,0;5,075;100,0;0,0
17;A12;30,0;A30;A49;7485,0;A65;A71;4,0;A92;A101;1,0;A121;53,0;A141;A151;1,0;A174;1,0;A192;A201;0,7;ok;3,7180161476135254;3,4043896621465684;4,0;5,075;100,0;0,0
18;A11;14,8125;A32;A40;1403,96875;A62;A75;2,0;A94;A103;4,0;A123;28,0;A141;A152;1,0;A173;1,0;A191;A201;1,158257569495584;ok;5,407810688018799;3,4043896621465684;8,0;5,075;100,0;0,0
19;A12;11,0;A32;A43;4785,28125;A62;A75;1,9375;A93;A102;3,8125;A122;50,5;A143;A153;1,0625;A173;2,0;A191;A201;0,7;ok;3,7068891525268555;3,4043896621465684;11,0;5,075;100,0;0,0
20;A13;24,0;A33;A42;4020,0;A61;A73;2,0;A93;A101;2,0;A123;27,0;A142;A152;1,0;A173;1,0;A191;A201;1,158257569495584;ok;1,8495484590530396;3,4043896621465684;2,0;5,075;100,0;0,0
21;A12;24,0;A32;A40;1201,0;A61;A72;4,0;A93;A103;1,0;A122;26,0625;A143;A152;1,0;A173;1,0;A191;A201;1,158257569495584;ok;3,5094523429870605;3,4043896621465684;2,0;5,075;100,0;0,0
22;A12;48,0;A32;A410;5381,0;A65;A73;3,0;A93;A101;4,0;A123;40,0;A141;A151;1,0625;A171;1,0;A191;A201;0,7;ok;4,245087623596191;3,4043896621465684;5,0;5,075;100,0;0,0
23;A14;21,75;A32;A42;5511,0;A62;A73;4,0;A93;A101;2,0;A123;26,0;A143;A151;2,0;A173;1,0;A192;A201;0,7;ok;3,4185311794281006;3,4043896621465684;7,0;5,075;100,0;0,0
24;A14;17,625;A34;A40;1105,40625;A62;A75;3,9375;A91;A101;4,0;A122;65,0;A141;A152;1,9375;A171;2,0;A191;A201;0,7;ok;5,166609764099121;3,4043896621465684;11,0;5,075;100,0;0,0
25;A11;46,875;A33;A46;6224,0;A61;A74;4,0;A93;A101;4,0;A123;50,0;A143;A153;1,0;A174;1,0;A191;A201;1,158257569495584;ok;2,0347867012023926;3,4043896621465684;5,0;5,075;100,0;0,0
