;age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country
0;0;1;0,001958517;0;0;0;0;1;0;0;0;0;0;0
1;0;0;0;0;0;0;1;0;0;0;0,992765268;0;0;0
2;0,440455135;0;0;0;0;1;0;1;0;0;1,484545821;0;0;0
3;0,055056892;0;0;0;0;1;0;0;0;0;1,462772149;0;0;0
4;1,174547026;0;0,006506618;0;1;1;0;0;0;1;0;0;0;1
5;1,101137837;0;0;0;1;0;0;0;0;0;0;0;1,204972728;0
6;0;0;0,052544675;0;0;1;0;1;0;0;0;4,367829079;0,040165758;1
7;0;0;0;0;1;0;0;0;0;0;0;4,402549501;0;0
8;0;0;0,130913205;0;0;1;0;0;0;0;1,65460878;4,402549501;0;0
9;0,367045946;0;0;1;0;0;0;1;0;0;0;4,367829079;0,32634678;0
10;0;0;0;1;1;0;0;0;0;0;1,388568047;0;0;0
11;0,041292669;0;0,024898444;0;1;0;0;0;0;0;0,253007449;0;0;0
12;1,468183783;0;0;1;0;0;0;1;0;0;1,462772149;0;0;0
13;0;1;0;0;1;0;0;0;0;0;0;0;0;0
14;0,009176149;0;0,032881133;0;1;1;1;1;0;0;0;4,094839762;0;0
15;0,55745103;0;0,004720527;0;1;0;0;0;0;0;0;0;1,958080683;0
16;0;0;0,008466586;0;1;1;0;0;0;0;0;0;0;0
17;0,229403716;1;0;1;0;0;0;0;0;1;0;0;0;0
18;1,541592972;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0,160582601;1;0;1;0;1;0;0;0;0;0;0;0;0
20;0;0;0;1;1;0;0;0;0;0;0,985202158;0;0,025103598;0
21;0,545980844;0;0,008338282;1;0;1;0;0;0;0;0;0;0;0
22;0,022940372;0;0;0;0;1;0;0;0;0;1,43408941;0;0;0
23;0;1;0;1;0;0;1;0;0;0;0;0;0,251035985;0
24;0,03211652;0;0;1;0;0;0;1;0;0;0;0,219172663;0,010041439;0
25;0,059644966;1;0;1;1;1;0;0;0;0;0;0,370206499;0;0
26;0,009176149;0;0,000970114;0;1;0;0;0;0;0;1,65460878;0;0;0
27;0,178934899;0;0;0;0;0;1;1;0;0;0;0;0,803315152;0
28;0;0;0;0;1;1;0;0;1;1;1,388568047;0;0;0
29;0;1;0;1;0;0;0;1;0;0;0;0;0,100414394;0
30;0;0;0;1;0;0;1;1;0;0;0;4,277555982;0;0
31;0;0;0;1;0;1;0;0;0;0;0;0;0;0
32;0;1;0,117056127;0;0;0;1;0;0;0;1,189156414;0,408543631;0;0
33;0;0;0;0;0;1;1;1;0;1;1,462772149;0;0;0
34;0,88091027;0;0;0;1;0;0;0;0;0;0;0;0,050207197;0
35;0,004588074;0;0;0;1;1;1;1;0;0;0;0;0,025103598;0
36;0;0;0;1;1;0;0;1;0;0;0;4,402549501;0;0
37;0,385398243;0;0;0;0;0;0;0;0;0;0,425151453;0;0,010041439;0
38;0;0;0;0;1;0;0;1;0;1;0,069471212;0;0,32634678;0
39;0,367045946;0;0,023384345;0;1;1;0;1;1;0;0;4,277555982;0,010041439;0
40;0,481747804;0;0,002665638;1;0;0;0;0;0;1;1,453936629;0;0,010041439;0
41;0;0;4,64E-06;0;0;0;0;0;0;0;0,033641571;0,272989317;0,025103598;0
42;0,036704595;0;0;0;0;0;0;0;0;0;1,236592338;0;0;0
43;0;0;0,005132724;0;0;0;0;0;0;0;1,388568047;0;0,080331515;0
44;0;0;0,033228888;0;1;1;0;0;0;0;1,005655853;4,426853797;0;0
45;0,454219358;1;0,325953241;0;0;1;0;0;0;0;0,059613007;0;0;0
46;0,454219358;0;0;1;0;0;0;0;0;0;1,388568047;0;0;0
47;0;0;0;1;0;0;1;0;0;0;0;0;0,025103598;0
48;0,03211652;0;0;1;0;0;1;0;0;0;0;0;0;0
49;0,013764223;0;1,873341574;0;1;1;0;0;0;0;0;4,402549501;0,050207197;0
50;0,183522973;0;0;0;0;1;0;1;0;0;0;0;0,246015265;0
51;0;0;0;0;0;0;0;0;0;0;1,005655853;0;0;0
52;0;1;0,039536664;0;0;0;0;1;1;1;0;0;0;0
53;0,160582601;0;0;0;0;0;0;1;0;0;1,388568047;0;0;0
54;0;0;0;0;0;0;0;0;0;0;1,005655853;0;0;0
55;0,133054155;1;0,276841413;0;0;1;0;0;0;0;0;4,367829079;0,080331515;0
56;0;0;0;0;0;0;0;0;0;0;0,035805858;0;0,025103598;0
57;0;0;0;1;0;1;0;0;0;1;0;0;0;0
58;0,88091027;1;0;1;0;1;1;1;0;0;0;5,452263591;0;0
59;0,229403716;0;0,004049401;0;0;0;0;0;0;0;1,462772149;0;0;0
60;0;0;0;1;0;1;0;0;0;0;0;0;0;0
61;0;0;0,0136623;0;0;1;1;0;0;0;0,985202158;0;0;0
62;0,302812905;0;0;0;0;0;0;0;0;0;0;0;0;0
63;0;1;0;0;0;1;0;0;0;1;1,453936629;0;0;0
64;0,022940372;1;0;0;0;0;0;0;0;1;1,450190749;0,274074331;0;1
65;0;1;0;0;0;0;0;0;0;0;0;4,277555982;0;0
66;0;0;0;1;1;0;1;1;0;1;0;0,545978635;0,025103598;0
67;1,156194729;1;0;0;0;0;1;0;0;0;1,007011505;0;0,562320606;0
68;0;1;0;0;0;1;0;0;0;0;0;0;0;0
69;0;1;0;0;0;0;0;1;0;0;1,071963877;0;0;0
70;0;0;0;1;1;0;1;1;0;1;1,65460878;0,226261416;0;0
71;0,238579865;0;0;1;1;0;0;0;1;1;0;4,402549501;0;1
72;0;0;0;1;0;0;0;1;0;1;1,507342177;0;0,020082879;0
73;0,082585338;1;0;0;1;0;0;0;1;0;0;4,291733488;0,040165758;0
74;0;0;0,02428189;0;0;0;0;0;0;0;0;4,277555982;0;0
75;0,367045946;1;0;0;0;0;0;0;0;0;0,037435018;0;0;0
76;0,041292669;0;0,03290842;0;1;0;0;1;1;0;1,507342177;0;0;0
77;0;0;0;1;1;0;0;1;0;0;1,453936629;0,275159344;0,025103598;1
78;0;0;0;0;0;1;0;1;0;0;1,462772149;0;0;0
79;0;1;0,000788109;0;0;0;0;1;0;1;1,069252574;0;0;0
80;0;0;0;0;0;0;0;0;0;0;1,069252574;0;0;0
81;0,298224831;0;0;1;0;0;1;1;0;0;1,65460878;0;0;0
82;0;0;0;0;1;0;1;0;0;0;0;0;0;0
83;0;0;1,379674639;0;1;0;0;0;0;0;0;4,402549501;0;0
84;0,454219358;0;0;1;0;0;0;0;0;0;0;0;0;0
85;0;1;0;0;1;1;0;1;0;0;1,462772149;0,267347249;0,020082879;0
86;0;0;0;0;1;0;1;0;0;1;0;0;0;0
87;0,027528446;1;0;0;1;0;0;0;0;1;0,034569123;0,142787735;0;0
88;1,192899324;0;0;1;0;0;0;0;0;0;1,453936629;0;0;0
89;0;0;0;0;0;0;1;0;0;0;1,041426035;0;0;0
90;0,03211652;0;0;0;0;0;0;0;0;0;1,462772149;0;0;0
91;0;1;0;1;1;0;1;1;0;1;1,65460878;0;0,753107955;0
92;0;0;0;0;1;1;0;0;0;0;0;0;0;0
93;0,073409189;0;0;0;1;1;1;0;0;0;0;0;0;0
94;0;1;0;0;0;0;0;0;0;1;1,462772149;0,020253579;0;0
95;0,022940372;0;0;0;1;0;0;0;0;0;0,03730421;0;0;0
96;0,220227567;0;0;1;1;1;0;0;0;0;0;0;0;1
97;0;1;0;0;1;0;0;0;0;0;1,501206069;0,275159344;0;0
98;0;0;0;0;0;1;0;1;0;0;1,000804046;0;0;0
99;0;0;0;1;0;0;1;0;0;0;0;0;0;0
100;0;0;0,06072069;1;0;0;0;0;0;0;0;4,277555982;0;0
101;0,100937635;0;0;0;1;0;1;0;0;0;0;0;0;0
102;0;0;0;0;1;0;0;0;0;1;1,189156414;0;0;0
103;0,454219358;0;0,053543817;0;0;0;0;0;1;0;0;0;0,100414394;0
104;0,458807432;0;0;0;0;0;1;0;0;0;1,388568047;0;0;0
105;0,022940372;1;0;1;1;1;0;0;0;0;1,462772149;0;0;0
106;0,807501081;0;0;0;0;0;0;1;0;0;1,388568047;0;0;0
107;0;0;0,416204657;1;0;0;0;1;0;1;0;4,402549501;0;0
108;0,013764223;1;0;0;0;0;0;0;0;0;0,632637539;0,572018951;0,195808068;0
109;0,37163402;0;0;0;0;0;0;0;0;0;0;0;0,080331515;0
110;0,481747804;0;0;0;0;0;0;0;1;1;1,388568047;0;0;0
111;0;0;0,31180211;1;0;1;0;0;0;0;0;0;0,020082879;0
112;0;0;0,006728101;0;1;0;0;0;0;1;1,43408941;0;0;0
113;0;0;0;0;1;0;1;0;0;0;0;0;0;0
114;0,302812905;0;0;1;0;1;0;0;0;1;0;0;0;0
115;0;0;0,005398911;0;0;0;0;0;0;0;18,07269451;0;0;0
116;0;0;0;0;0;1;0;0;0;0;1,005655853;0;0,010041439;0
117;0;0;0;0;0;1;0;0;0;0;0;0;0,010041439;0
118;0;0;0;0;0;0;0;1;0;0;1,413974628;0;0;0
119;0,041292669;1;0;0;1;1;1;0;0;1;0,867855029;4,367829079;0;0
120;0,009176149;1;0,008921454;1;1;0;0;0;0;0;0;0,275159344;0,100414394;0
121;0,022940372;0;0;1;0;0;0;0;0;1;1,005655853;0;0;0
122;0;0;0,072695305;1;0;0;0;1;0;0;0;4,367829079;0;0
123;0;0;0;0;0;0;0;0;0;0;1,45995382;0;0;0
124;0;0;0;0;0;0;1;1;0;0;0;0;0;0
125;0;0;0;0;1;0;1;0;0;1;0,837412321;0;0,602486364;0
126;0;0;0;1;0;0;1;0;0;1;1,000804046;4,290142135;0;0
127;0,013764223;0;0;1;0;0;0;0;0;0;0;0;0;0
128;0;0;0;1;1;0;0;1;0;0;1,42928517;0,226261416;0;0
129;0,022940372;1;0,033545874;1;1;0;0;1;0;0;1,041426035;0;0;0
130;0,706563446;0;0;0;1;0;0;0;0;0;1,419153456;0;0;0
131;0;0;0;0;0;0;0;0;1;0;1,42928517;0;0,16568375;1
132;0;0;0;1;0;0;0;1;0;0;1,024349578;4,367829079;0,040165758;0
133;0;1;0;0;0;1;1;0;0;0;1,007011505;0;0;0
134;0;0;0,002960272;0;0;0;0;0;1;0;1,005655853;0;0,010041439;0
135;0;0;0;0;0;1;0;1;0;0;1,005655853;0;0;0
136;0,220227567;0;0;0;0;0;0;0;0;0;1,388568047;0;0;0
137;0;0;0,031710145;0;0;0;1;0;0;0;0,985202158;0;0;0
138;0;1;0;0;0;0;0;1;1;1;1,43408941;0;0;0
139;0,03211652;1;0;0;0;1;0;1;0;0;0;0;0;0
140;0,050468818;0;0;0;0;0;0;0;0;0;0,013247335;0;0;0
141;0;1;0,089616285;1;0;0;0;1;0;0;1,65460878;0;0;0
142;0;1;0;0;0;1;0;0;0;0;0,921914621;0;0;0
143;0;0;0,008215203;0;1;0;0;0;0;0;0,034307506;0;0;0
144;0;0;0;0;0;0;0;0;0;0;1,041426035;0;0;0
145;0,045880743;0;0,351476367;0;0;0;1;1;1;0;0;0;2,153888751;1
146;0;0;0;0;0;1;0;1;0;0;1,388568047;0;0;0
147;0;0;0;0;1;0;1;0;0;1;0;0;0;0
148;0;0;0,152870536;0;1;1;0;1;0;0;0;4,402549501;0;0
149;0;0;0;0;0;0;0;0;0;0;1,005655853;0;0;0
150;0,50927625;1;0;0;0;0;0;1;0;0;0;0;0;0
151;0;0;0,051683125;1;0;1;0;0;1;1;1,43408941;0,330133345;0;1
152;0,378516132;0;0;0;1;0;0;0;0;1;0;0,35356963;0;0
153;0;0;0;0;1;0;1;1;0;1;1,407404473;0;0,050207197;0
154;0;0;0;0;0;1;0;0;1;0;0;0;0;0
155;0;1;0;1;1;0;0;0;0;0;0;0;0;0
156;0,004588074;0;0;0;0;1;0;0;0;0;1,419153456;4,367829079;0,050207197;0
157;0;0;0;0;0;0;0;0;0;0;0,985202158;0;0;0
158;0,151406453;1;0;0;0;0;1;1;0;0;0;0;0,025103598;0
159;0;0;0,082862059;0;1;0;0;0;0;0;0;0;0;0
160;0,660682702;1;0,003205848;1;0;1;1;0;0;0;0;0;0;0
161;0,229403716;0;0;0;0;0;0;0;0;0;1,038524465;0;0;0
162;0;1;1,193207141;0;0;0;0;0;1;0;0;5,71961084;0,652693561;0
163;0,041292669;0;0;0;1;0;1;0;0;0;1,000804046;0,806092463;0,010041439;0
164;0,036704595;0;0;1;1;0;1;0;0;0;0;0;0;0
165;0,009176149;1;0;0;0;0;0;0;1;0;1,005655853;0;0;0
166;0,697387297;0;0;1;0;1;1;0;0;1;0;0;0;0
167;0;0;0;0;0;1;1;1;0;0;0,985202158;0;0;0
168;0;0;0,035054167;0;0;1;0;0;0;0;1,65460878;0;0;0
169;0,13764223;0;0;0;0;0;0;0;0;0;0;3,641014914;0;0
170;0,440455135;0;0;1;0;1;0;0;0;1;0;0;0;0
171;0;0;0;0;0;0;0;0;0;0;1,041426035;0;0;0
172;0;0;0,009818998;0;0;1;0;0;1;0;1,388568047;0;0;0
173;0,073409189;0;0;1;0;0;0;0;1;0;0;4,094839762;0;0
174;0;0;0;1;0;0;0;1;0;1;0;0;0;0
175;0;1;0;0;1;1;0;1;1;0;1,388568047;0;0;0
176;0;1;0,030233203;0;1;1;0;0;0;0;0;0;0,903729546;0
177;0;1;0;0;0;0;0;0;0;0;1,462772149;0;0;0
178;0;0;0;0;0;0;1;0;1;0;0;0;0;0
179;0,029822483;1;0,008515933;1;0;0;1;0;1;1;1,388568047;0;0;0
180;0,367045946;1;0;0;0;0;0;0;0;0;1,388568047;0;0;0
181;0;0;0;1;1;0;0;1;0;1;0;0;0;0
182;0;1;0;0;0;0;0;0;0;0;1,462772149;0,275159344;0,050207197;0
183;0;0;0,031111589;1;1;1;0;1;1;1;0;0,317691861;0;0
184;0;1;0;0;1;0;0;1;0;1;1,024349578;0;0,065269356;0
185;0,036704595;1;0,010574306;1;0;0;1;1;0;0;0;0,572018951;0;0
186;0,013764223;0;0;0;0;0;0;0;0;0;1,041426035;0;0;0
187;0;0;0,00727702;0;1;0;0;0;0;1;1,462772149;0;0;0
188;1,174547026;0;0;1;0;1;0;0;1;0;0;0;0;0
189;1,101137837;0;0;0;0;1;0;1;0;1;0;0;0,32634678;0
190;0;0;0,98542441;0;1;1;1;1;0;1;0;0;0;0
191;0;0;0;1;1;0;0;0;0;0;1,425670098;0;0;0
192;0;0;0;1;0;0;0;1;0;0;0;0;0;0
193;0;1;0;0;0;0;0;0;1;0;0;0;0;0
194;0,40375054;0;0;1;0;0;0;1;0;0;0;0;0,080331515;0
195;0,220227567;0;0;1;0;1;0;0;0;0;0;0;0,100414394;0
196;0,027528446;0;0;0;0;0;0;0;0;0;1,388568047;0;0;0
197;0;0;1,714606229;0;0;0;0;0;0;0;0;0;0;0
198;0,03211652;0;0;0;0;1;1;0;0;0;0;0;0;0
199;0;0;0;0;1;0;0;0;0;0;0,985202158;0;0;0
200;0;0;0;1;1;0;1;0;0;0;1,147880382;0;0;0
201;0;0;0;0;0;0;0;1;0;0;1,124382416;0;0;0
202;0,77538456;0;0;0;0;0;1;0;0;0;1,484545821;0;0;0
