;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome
0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0
1;0;0;1;0;0;0,00060861;0;1;0;1;0;0,084903693;0,080240652;1,065006761;0;0
2;0;0;0;0;0;0;1;0;0;0;1;0;0,040120326;0,232970229;0;0
3;1,092412545;0;1;1;0;0,326453002;1;0;0;1;0;1,045307808;0,32096261;0,036502248;0;0
4;0;0;0;1;0;0;0;0;0;1;0;0,831394606;0;0;0,018049119;1
5;0,005841778;0;0;0;0;0;0;0;0;0;0;0;0;0,044554214;0;0
6;0;0;0;0;0;0,031991706;0;0;0;0;0;0,559041201;0;0;0,018049119;0
7;0;1;0;0;0;0;0;0;0;0;0;1,801171206;0;0;0;0
8;0;0;0;0;0;0;1;0;0;0;0;0,783980856;0;0;0;1
9;0,011683557;0;0;0;0;0,406604266;0;0;0;0;0;0;0;0;0,57757181;0
10;0;0;0;1;0;0;0;0;0;1;1;0,084076709;0;0;0,126343834;1
11;0;0;0;0;0;0,535206161;0;0;0;0;1;0,247268223;0,040120326;0,27108287;0,126343834;0
12;0;0;0;0;0;0;0;0;0;0;0;0,138933316;0,040120326;0;0;1
13;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0;0;0,019571955;0,040120326;0;0,036098238;0
15;0;0;0;0;0;0;1;0;1;1;1;0;0;0,002952388;0;0
16;0,075943118;0;0;0;0;0;0;0;0;1;1;0;0;1,247518;0,018049119;0
17;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
18;0;0;0;0;0;0;1;0;0;0;0;0,56703538;0;0,083740451;0;1
19;0;0;0;0;0;0,084464455;0;0;1;0;0;0;0;0,069246911;0,090245595;0
20;0,011683557;0;1;0;0;0;0;0;0;0;0;0;0,080240652;0;0;1
21;0,020446224;0;0;1;0;0,042390995;0;0;0;0;1;0;0;0;0;1
22;0;0;0;0;0;0;0;0;0;0;1;0;0;0,469698042;0;0
23;0;1;0;1;0;0;1;0;1;1;1;0;0;0;0,054147357;0
24;0;1;0;1;0;7,94E-05;0;1;0;1;0;0,757517367;0;0;0;0
25;0,093468453;0;1;0;0;0,071763033;1;0;0;0;1;0;0;0;0;0
26;0,040892448;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
27;0;0;1;1;0;0;0;0;0;0;0;0,233485156;0;0;0;1
28;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1
29;0,03505067;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
30;0,017525335;0;0;0;0;0;0;0;0;0;1;0,275937003;0;0,330130624;0;0
31;0,040892448;0;0;1;0;0;0;0;0;0;1;0;0;0;0,018049119;0
32;0;1;0;1;0;0,017914297;1;1;0;0;0;0;0;0,665629225;0,018049119;0
33;0;0;0;1;0;0;0;0;0;0;0;2,006814567;0;0;0;1
34;0,210304019;0;0;0;0;0;1;1;0;0;1;0;0;1,382791036;0;1
35;0,005841778;0;0;0;0;0;0;0;0;0;0;1,032076063;0;0;0,018049119;1
36;0;0;0;0;0;0;1;0;0;1;1;0,068364013;0;0;0;0
37;0;1;0;0;0;0,328649289;0;1;0;0;1;0,144722204;0,040120326;0;0,018049119;0
38;0;0;1;0;0;0;0;0;0;0;1;0,527202316;0;0,85887642;0;0
39;0;1;0;1;0;0;1;0;0;0;0;0;0,040120326;0;0,018049119;0
40;0,420608039;0;0;1;0;0,720170616;0;0;0;1;0;0;0;0,94046968;0;0
41;0;0;0;0;0;0,004789494;1;0;0;0;0;0;0;0;0;1
42;0,005841778;1;0;0;0;0;0;0;0;0;0;0;0,040120326;0;0;1
43;0;0;0;0;0;0;0;1;0;0;0;0,062712955;0;0,249074162;0;1
44;0;0;0;1;0;0;1;1;0;1;0;1,384371258;0;0;0;1
45;0,817848964;0;0;0;0;0;1;1;0;0;1;0;0,040120326;0;0;1
46;0;1;1;0;0;0;1;1;0;0;1;0,493433802;0;1,583553399;0;0
47;0;0;0;1;0;0;0;0;0;1;0;0;0;0,267325286;0;0
48;0;1;0;0;0;0,203963665;0;0;0;0;0;0,299230386;0;0;0;1
49;0;1;0;0;0;0;0;0;0;0;1;0,463111054;0;0;0,018049119;0
50;0;0;0;0;0;0,006443325;0;0;0;0;0;0,305984089;0;0;0,288785905;1
51;0,17525335;0;1;0;0;0;0;1;1;1;1;0;0,64192522;0;0,018049119;0
52;0;0;0;0;0;0,09416252;1;0;0;0;0;0;0,64192522;0;0;0
53;0;0;0;1;0;0,185917062;0;0;0;0;1;0,35946239;0;0;0;0
54;0;0;0;0;0;0,001918444;0;0;0;0;1;0;0;0,129099862;0;0
55;0;0;0;0;0;0,230530806;0;1;1;0;0;0;0;1,127275301;0;1
56;0;0;0;0;0;0,314995261;1;0;0;0;0;0;0;0;0,144392953;0
57;0;0;0;0;0;0,142599921;0;1;1;0;0;0,028117457;0;0;0;0
58;0;0;1;0;0;0;0;1;1;1;1;0;0,040120326;0,011272753;0,57757181;1
59;0,005841778;0;0;0;0;0,066047393;1;0;0;0;0;0,376277731;1,323970766;0;0;1
