;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0;0;0;0;0;0;0;0;0;0;0,867509573;0;0;0;1;0;0;2,66217434;0;0
1;0;0;0;0;2,861471115;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
2;0;0,031132566;0;1;0;1;1;0,054698441;1;0;0,162658045;1;0;1;0;0;0;0,166385896;0;0
3;0;0,544819911;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
4;1;0,031132566;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0,054698441;0;0;0;0;0;1;0;0;0;0;0;0
6;0;0;0;0;0;1;0;0,054698441;0;0;0;1;0;1;0;0;0;0,166385896;0;0
7;0;0;0;0;0,011394961;0;0;0;1;0;0;0;1,542044011;1;0;0;0;0;0;0
8;1;0,249060531;0;0;0,701996943;1;0;0,875175053;0;0;0;0;0;1;0;0;0;2,66217434;0;0
9;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10;1;0;0;0;0;1;0;0,164095322;0;0;0;0;0;0;1;0;1;0;0;0
11;0;0;0;0;0,025731281;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0,072642655;1;0;0;1;0;1,750350105;0;1;0;1;0;0;1;0;1;0,166385896;1;0
13;0;0,726426548;1;1;0,137413123;0;0;0;1;0;0,975948269;0;0,024476889;0;0;0;1;0;0;0
14;0;0;0;0;0;0;0;0,054698441;1;0;0;0;0,220292002;0;0;0;0;0;0;0
15;1;0,031132566;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
16;0;0;0;0;0,33033037;0;1;0;1;0;0,054219348;0;0,097907556;0;0;0;0;0;0;1
17;1;1,556628316;0;0;0,189953435;1;1;0,054698441;0;0;0;1;0;1;1;1,641828077;0;0,166385896;1;0
18;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;1;0;1;0;0,005130539;0;1;0;0;1;0;1;0,140742112;0;0;0;1;0,166385896;1;0
20;0;0;0;0;0;0;0;0;0;0;0,054219348;0;0,018357667;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0,054698441;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
23;0;0;1;0;0;0;1;0;0;0;0;0;0,006119222;0;1;1,641828077;0;0;0;0
24;1;0;1;0;0;0;0;0;0;0;0,054219348;0;0;0;0;0;0;0;0;0
25;0;0,373590796;1;1;0,087275296;0;0;0;1;1;0,054219348;1;0;0;0;0;0;0;0;0
26;1;0,025943805;1;0;0,006230742;1;0;0;1;0;0;1;0;0;1;0;1;0,166385896;0;0
27;0;0,031132566;0;1;0,242044684;1;1;0;1;0;0;0;0,018357667;0;0;0;0;0;0;0
28;0;0;0;0;0,663557193;1;1;0,164095322;1;1;0,054219348;1;1,37682501;1;1;0,102614255;0;0;0;0
29;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;1,079262299;0;0;0;0;0;0,109396882;0;0;0;0;0;0;0;0,102614255;0;0;0;0
31;0;0;0;1;0;0;0;0;0;0;0;0;0,006119222;0;0;0;0;0;0;0
32;0;0;1;1;0,031030218;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
33;0;0;0;0;0;0;0;0;0;0;0;0;0,128503668;0;0;0,102614255;0;0;0;0
34;0;0,996242122;0;0;0;0;1;0;0;0;1,735019145;1;0;0;1;1,641828077;0;2,66217434;1;0
35;1;0;0;0;0;0;0;0;1;0;0;1;0,018357667;0;0;0;0;0;0;0
36;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0,102614255;1;0;1;0
37;1;2,490605306;1;0;0,024855609;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0
38;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
39;0;0;0;0;0,262611746;0;0;0,054698441;0;0;0;0;0;0;0;0;0;0;0;0
40;0;0;1;0;1,54414629;0;0;0,054698441;1;0;0;1;0;0;0;0;1;0;1;0
41;0;0;1;0;0,633178116;1;0;0;0;1;0,108438697;1;0;0;1;0,102614255;1;2,66217434;1;0
42;1;0,373590796;0;1;0,011653172;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0
43;0;1,260868936;0;0;0,031209843;0;1;0;0;0;0;0;0;1;1;0,102614255;0;0;0;0
44;0;0;0;1;0,745623364;0;0;1,805048546;1;0;0,054219348;1;0;0;1;0,20522851;0;0;0;0
45;0;0;0;0;0,01257375;0;1;0,164095322;0;0;0;1;0;1;0;0,102614255;0;0;1;0
46;0;0;0;0;0,000561328;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
47;0;0,996242122;1;0;0;0;0;0,984571934;1;0;0;0;0;0;0;0;1;0;1;0
48;0;0;0;1;0,004737609;1;0;0,109396882;0;0;0;0;0;0;1;0;0;0;0;0
49;0;0,373590796;0;1;0;0;0;0,109396882;0;1;0,054219348;0;0,012238445;0;0;0,102614255;1;0;0;0
50;1;0;0;0;0;0;0;0,054698441;0;0;0;1;0,006119222;0;0;0;1;0;0;0
51;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,166385896;0;0
52;0;0;0;0;0;0;0;0,054698441;0;0;0;1;0;0;0;0;0;0;0;0
53;0;0,34245823;0;1;0;0;0;0;0;0;1,789238493;0;0,006119222;0;1;0;1;2,66217434;1;0
54;0;0;0;0;0;1;0;0,054698441;0;0;0;0;0;0;0;0;0;0;0;0
55;0;0;0;0;0;1;1;0;0;0;0;0;0,214172779;0;0;0,307842764;0;2,66217434;0;0
56;0;0;0;0;3,004228081;0;0;0;0;0;0;0;0,012238445;1;1;0;1;0;0;0
57;0;0;0;0;0;0;1;0;0;0;0;0;0,030596111;1;0;0;1;0;0;0
58;1;0;1;1;0;0;0;0;1;0;0;1;0,012238445;1;1;0;0;0;0;0
59;0;0;0;1;0,007162547;0;0;0,875175053;0;0;0;0;0;1;0;0;1;0;0;0
60;0;0;0;0;0,969907627;1;0;0;0;1;0,108438697;1;0;0;0;0;1;0;1;0
61;0;0,031132566;1;0;0;1;1;0;0;1;0;1;0;1;0;0,102614255;1;0;1;0
62;0;0,015566283;0;0;0;0;0;0;0;0;0,054219348;0;0;0;0;0;0;0;0;0
63;0;0;0;0;0;1;0;0;0;0;0;0;0,018357667;1;0;0;1;0;0;0
64;0;0,513687344;0;0;0;1;0;0;0;1;0;0;0,067311445;1;0;0;0;0;0;0
65;0;0,166040354;0;1;0;1;1;2,625525158;0;0;0,867509573;1;0,495657004;1;1;0,102614255;0;2,66217434;1;0
66;0;0,020755044;0;0;0,002593336;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1
67;1;0;0;0;0;1;0;0;0;0;0;1;0,048953778;1;0;0;0;0;0;0
68;0;0,062265133;0;0;0;0;0;0;0;1;0;0;0,036715334;0;0;0;0;0;0;0
69;0;0;1;0;0,220265153;0;0;1,750350105;0;0;0,975948269;1;0,042834556;0;1;0,102614255;1;0,166385896;1;0
70;0;0,015566283;1;0;0;0;1;0;0;0;0,867509573;0;0;0;0;0;0;0;0;0
71;0;2,241544775;0;0;0;1;0;0,875175053;0;0;0;0;0;0;0;0;0;0;0;0
72;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
