;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0;0,871711857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
1;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0,102614255;1;0;0;1
2;0;0;0;1;0,022048968;0;1;0;1;1;0;0;0;1;1;0,102614255;0;0;1;0
3;0;0;0;0;0,001335961;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
5;1;0;0;0;0;0;0;0;0;0;1,789238493;0;0,006119222;0;1;0;0;0;0;0
6;0;0;0;1;0;0;0;0,109396882;1;0;0,054219348;0;0,428345559;0;0;0;0;0;0;0
7;1;0,077831416;0;0;0,461276993;0;0;0;0;0;0;0;0,214172779;0;0;0;0;0;0;0
8;1;0,249060531;0;0;0,701996943;1;0;0,875175053;0;0;0;0;0;1;0;0;0;2,66217434;0;0
9;0;0;1;0;0;0;0;0;0;0;0,081329022;0;0;0;1;0;0;0;0;0
10;1;0;0;0;0;1;0;0,164095322;0;0;0;0;0;0;1;0;1;0;0;0
11;0;0,373590796;0;1;0,025125047;1;0;0,875175053;0;0;0;0;0,214172779;1;0;0;1;0;1;0
12;0;0,072642655;1;0;0;1;0;1,750350105;0;1;0;1;0;0;1;0;1;0,166385896;1;0
13;0;0,726426548;1;1;0,137413123;0;0;0;1;0;0,975948269;0;0,024476889;0;0;0;1;0;0;0
14;0;0;0;0;0;0;0;0,054698441;1;0;0;0;0,220292002;0;0;0;0;0;0;0
15;1;0,031132566;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
16;0;0;0;0;0,326917495;0;1;0;1;0;0,054219348;0;0,097907556;0;0;0;0;0;0;1
17;1;1,556628316;0;0;0,189953435;1;1;0,054698441;0;0;0;1;0;1;1;1,641828077;0;0,166385896;1;0
18;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;1;0;1;0;0,005130539;0;1;0;0;1;0;1;0,140742112;0;0;0;1;0,166385896;1;0
20;0;0;0;0;0;0;0;0;0;0;0,054219348;0;0,018357667;0;0;0;0;0;0;0
21;1;0,062265133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
23;0;0,031132566;1;0;0;1;0;0;0;0;0;1;0;0;1;1,641828077;0;2,66217434;0;0
24;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;1;0;1;1;0;0;0;0;0;0,085669112;1;0;0;0;0;1;0
26;1;0,025943805;1;0;0,006230742;1;0;0;1;0;0;1;0;0;1;0;1;0,166385896;0;0
27;0;0,031132566;0;1;0,242044684;1;1;0;1;0;0;0;0,018357667;0;0;0;0;0;0;0
28;0;0;0;0;0,663557193;1;1;0,164095322;1;1;0,054219348;1;1,37682501;1;1;0,102614255;0;0;0;0
29;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;1,079262299;0;0;0;0;0;0,109396882;0;0;0;0;0;0;0;0,102614255;0;0;0;0
31;0;0;0;1;0;0;0;0;0;0;0;0;0,006119222;0;0;0;0;0;0;0
32;0;0;0;0;0;0;1;0;0;0;0,867509573;0;0;0;1;0;0;0;0;0
33;0;0;0;0;0;0;0;0;0;0;0;0;0,128503668;0;0;0,102614255;0;0;0;0
34;1;0;0;1;0;0;0;0,054698441;0;0;0;0;0;0;0;1,641828077;0;0;1;0
35;0;0,062265133;0;0;0,384801651;0;0;0;1;0;0,054219348;0;0;0;0;0,102614255;0;0;1;0
