;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0;0;0;0;0;0;0;0;0;0;0,867509573;0;0;0;1;0;0;2,66217434;0;0
1;0;0;0;0;2,861471115;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
2;0;0,031132566;0;1;0;1;1;0,054698441;1;0;0,162658045;1;0;1;0;0;0;0,166385896;0;0
3;0;0,544819911;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
4;1;0,031132566;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0,054698441;0;0;0;0;0;1;0;0;0;0;0;0
6;0;0;0;0;0;1;0;0,054698441;0;0;0;1;0;1;0;0;0;0,166385896;0;0
7;0;0;0;0;0,011563359;0;0;0;0;0;0,108438697;0;1,652190012;1;0;0;0;0;0;0
8;1;0;0;0;1,219316935;1;0;0,109396882;1;0;0;0;0;0;0;0;1;0;0;0
9;0;0;0;0;0;0;0;0;1;0;1,735019145;0;0;0;0;0;0;0;1;0
10;0;0;0;0;0;0;0;0,054698441;1;1;0;0;0;0;0;0;0;0;1;0
11;0;0,046698849;0;1;0;0;1;0,109396882;0;0;0,162658045;0;0,024476889;1;0;0;0;0;0;0
12;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
13;1;0;0;1;0,076340624;0;1;0,164095322;1;0;0;0;0;0;1;0;1;0;1;0
14;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
15;1;0;0;0;0;0;0;0;1;1;0;0;0,042834556;0;1;0;0;0;0;0
16;0;0;1;0;0,200214513;1;0;0;1;0;0,054219348;1;0,006119222;0;1;0;0;0;1;0
17;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
18;0;0,015566283;0;0;0,000348023;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0
19;0;0;1;0;0,005130539;1;1;0,054698441;0;1;0,162658045;0;0,048953778;0;1;0,102614255;0;2,66217434;0;0
20;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;1;0;0;0,006119222;0;0;0;0;0;0;0
22;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0,102614255;0;0;1;0
23;0;0,186795398;0;0;0;0;0;0;0;0;0,867509573;0;0,097907556;1;1;1,641828077;0;0;1;0
24;0;0,031132566;0;1;0,002660695;1;1;0,054698441;1;0;0;1;0;1;0;0,102614255;0;2,66217434;0;0
25;1;0,093397699;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
26;1;0,005188761;0;0;0;1;0;0;0;0;0,108438697;0;0;0;0;0;0;0,166385896;0;0
27;0;0,778314158;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
28;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
29;0;0;0;1;0,04163932;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
30;0;0,083020177;0;0;0;0;0;1,805048546;0;0;0;0;0;1;1;0;1;0;0;0
31;0;0;0;1;0,010923445;0;1;0,984571934;1;0;0,054219348;0;0;0;0;0;0;0;1;0
32;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
33;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
34;0;0,996242122;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2,66217434;1;0
35;1;0;0;0;0,091900639;0;0;0,164095322;1;0;0;1;0,685352894;0;0;0;1;0;1;0
36;1;0,607085043;0;0;0;1;0;0;1;0;0,162658045;1;0;1;0;0,102614255;1;0;0;0
37;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
38;0;0;0;0;0;0;0;0;0;1;0;0;0,018357667;0;0;0;0;0;0;0
39;0;0;0;0;0;0;0;0;0;0;0,867509573;0;0,012238445;1;0;0;1;0;1;0
40;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0,102614255;1;0;1;0
41;0;1,556628316;0;0;0;0;0;0;0;0;0;0;0;0;0;0,20522851;0;0;0;0
42;0;0,015566283;1;1;0;1;1;0;0;0;0;1;0,954598673;0;1;0;0;0,166385896;1;0
43;0;0;0;1;1,12E-05;0;0;0,054698441;0;0;0;0;0;1;0;0;0;0;0;0
44;0;0;0;0;0,639105741;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0
45;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
46;0;0;0;0;0;0;0;0,054698441;1;0;0;0;0;0;0;0;0;0;0;0
47;0;0;1;0;0;0;0;0;0;0;0,054219348;1;0,018357667;0;1;0;0;0;0;0
48;0;0;1;0;0;0;1;0,054698441;0;1;0;0;0;0;1;0,102614255;1;0;0;0
49;0;0,012971903;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;0;0,015566283;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
51;1;0,062265133;1;1;1,308119043;0;1;0,054698441;1;0;0;0;0;1;1;0,20522851;1;0;1;0
52;1;0;0;0;1,033831672;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
53;0;0;1;0;0;0;0;0;0;0;0,054219348;0;0,006119222;0;0;0;0;0;0;0
54;1;0;0;1;0;0;0;0;0;0;0,162658045;0;0;0;0;0;0;0;0;0
55;1;0,622651327;0;1;0,021442734;0;1;0,054698441;0;0;0;0;0;1;0;0;1;0,166385896;1;0
56;0;0;1;0;0,600845616;1;0;0,109396882;0;1;0;0;0,030596111;0;1;0;0;0;0;0
57;1;0;0;1;0;1;1;0,984571934;0;1;0,108438697;0;0,030596111;0;1;0;0;0;1;0
58;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
59;0;0;0;1;0;0;1;1,750350105;0;0;0;0;0,599683782;0;0;0;0;0;0;0
60;0;0,155662832;1;0;0,096458624;1;0;0,054698441;1;1;0,054219348;1;0,042834556;1;1;0,102614255;0;0;1;0
61;1;0,031132566;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
62;1;0,015566283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;0;0,046698849;0;1;0;0;1;0,054698441;1;0;0,108438697;0;0;1;0;0;0;0,166385896;0;0
64;1;0,010377522;1;0;0;0;0;0,875175053;1;1;0;0;0;0;1;1,641828077;1;0,166385896;1;1
65;0;0;1;1;0;0;0;0,054698441;0;0;0;0;0;0;0;0;0;0;0;0
66;0;0,010377522;1;0;0,013965844;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
67;1;0,015566283;0;0;0;0;0;0;1;0;0;1;0,030596111;1;0;0,102614255;0;0;1;0
68;0;0;0;0;0,001538039;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
69;0;0,171229115;0;1;0,550662883;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
70;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;0;0,083020177;0;1;0;1;0;0;0;0;0,054219348;0;0;0;0;0;1;0;1;0
72;0;0;0;1;0;0;0;0;0;0;0;0;0,042834556;0;0;0;0;0;0;0
73;0;0;0;0;0;0;0;0;0;0;0;0;0,006119222;1;0;0;0;0;0;0
74;0;0;0;0;0,132765326;1;0;0;0;0;0;0;0,012238445;0;0;0;0;0;0;0
75;1;0,34245823;0;0;0;0;0;0;1;0;0;0;1,860243569;0;0;0;0;0;0;0
