;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome
0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
1;0,0;0,0;1,0;0,0;0,0;1,4375;0,0;1,0;0,0;1,0;0,0;19,25;0,125;124,0;0,0;0,0
2;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0625;27,125;0,0;0,0
3;11,6875;0,0;1,0;1,0;0,0;771,0625;1,0;0,0;0,0;1,0;0,0;237,0;0,5;4,25;0,0;0,0
4;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;188,5;0,0;0,0;0,0625;1,0
5;0,0625;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,1875;0,0;0,0
6;0,0;0,0;0,0;0,0;0,0;75,5625;0,0;0,0;0,0;0,0;0,0;126,75;0,0;0,0;0,0625;0,0
7;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;408,375;0,0;0,0;0,0;0,0
8;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;177,75;0,0;0,0;0,0;1,0
9;0,125;0,0;0,0;0,0;0,0;960,375;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0
10;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;19,0625;0,0;0,0;0,4375;1,0
11;0,0;0,0;0,0;0,0;0,0;1264,125;0,0;0,0;0,0;0,0;1,0;56,0625;0,0625;31,5625;0,4375;0,0
12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,5;0,0625;0,0;0,0;1,0
13;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,4375;0,0625;0,0;0,12499999999999911;0,0
15;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;0,0;0,0;0,3437500000000142;0,0;0,0
16;0,8125;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;145,25;0,0625;0,0
17;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0
18;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;128,5625;0,0;9,750000000000014;0,0;1,0
19;0,0;0,0;0,0;0,0;0,0;199,5;0,0;0,0;1,0;0,0;0,0;0,0;0,0;8,062500000000014;0,3125;0,0
20;0,125;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,125;0,0;0,0;1,0
21;0,21875;0,0;0,0;1,0;0,0;100,12499999999977;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0
22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;54,6875;0,0;0,0
23;0,0;1,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,1875;0,0
24;0,0;1,0;0,0;1,0;0,0;0,1875;0,0;1,0;0,0;1,0;0,0;171,75;0,0;0,0;0,0;0,0
25;1,0;0,0;1,0;0,0;0,0;169,5;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
26;0,4375;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
27;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;52,9375;0,0;0,0;0,0;1,0
28;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;1,0
29;0,375;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
30;0,1875;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;62,5625;0,0;38,4375;0,0;0,0
31;0,4375;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0625;0,0
32;0,0;1,0;0,0;1,0;0,0;42,3125;1,0;1,0;0,0;0,0;0,0;0,0;0,0;77,5;0,0625;0,0
33;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;455,0;0,0;0,0;0,0;1,0
34;2,25;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;161,0;0,0;1,0
35;0,0625;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;234,0;0,0;0,0;0,0625;1,0
36;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;15,5;0,0;0,0;0,0;0,0
37;0,0;1,0;0,0;0,0;0,0;776,25;0,0;1,0;0,0;0,0;1,0;32,8125;0,0625;0,0;0,0625;0,0
38;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;119,53124999999997;0,0;100,0;0,0;0,0
39;0,0;1,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0625;0,0;0,0625;0,0
40;4,5;0,0;0,0;1,0;0,0;1701,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;109,5;0,0;0,0
41;0,0;0,0;0,0;0,0;0,0;11,3125;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0
42;0,0625;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0625;0,0;0,0;1,0
43;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;14,21875;0,0;28,999999999999986;0,0;1,0
44;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;313,875;0,0;0,0;0,0;1,0
45;8,75;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0625;0,0;0,0;1,0
46;0,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;111,875;0,0;184,375;0,0;0,0
47;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;31,125;0,0;0,0
48;0,0;1,0;0,0;0,0;0,0;481,75;0,0;0,0;0,0;0,0;0,0;67,84375;0,0;0,0;0,0;1,0
49;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;105,0;0,0;0,0;0,0625;0,0
50;0,0;0,0;0,0;0,0;0,0;15,21875;0,0;0,0;0,0;0,0;0,0;69,375;0,0;0,0;1,0;1,0
51;1,875;0,0;1,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;0,0;0,0625;0,0
52;0,0;0,0;0,0;0,0;0,0;222,40625;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
53;0,0;0,0;0,0;1,0;0,0;439,125;0,0;0,0;0,0;0,0;1,0;81,5;0,0;0,0;0,0;0,0
54;0,0;0,0;0,0;0,0;0,0;4,53125;0,0;0,0;0,0;0,0;1,0;0,0;0,0;15,03125;0,0;0,0
55;0,0;0,0;0,0;0,0;0,0;544,5;0,0;1,0;1,0;0,0;0,0;0,0;0,0;131,25;0,0;1,0
