;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0
1;0,0;0,0;0,0;0,0;7965,125;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0
2;0,0;0,375;0,0;1,0;0,0;1,0;1,0;0,0625;1,0;0,0;0,1875;1,0;0,0;1,0;0,0;0,0;0,0;0,0625;0,0;0,0
3;0,0;6,5625;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0
4;1,0;0,3750000000000071;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0625;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
6;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0625;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0625;0,0;0,0
7;0,0;0,0;0,0;0,0;31,71875;0,0;0,0;0,0;1,0;0,0;0,0;0,0;15,75;1,0;0,0;0,0;0,0;0,0;0,0;0,0
8;1,0;3,0;0,0;0,0;1954,0625;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0
9;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,1875;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
