;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0,0;10,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
1;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;0,0;1,0;0,0;1,0;0,0;0,0625;1,0;0,0;0,0;1,0
2;0,0;0,0;0,0;1,0;61,375;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;0,0625;0,0;0,0;1,0;0,0
3;0,0;0,0;0,0;0,0;3,71875;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
4;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0
5;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0625;0,0;0,0625;0,0;1,0;0,0;0,0;0,0;0,0;0,0
6;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,125;1,0;0,0;0,0625;0,0;4,375;0,0;0,0;0,0;0,0;0,0;0,0;0,0
7;1,0;0,9375;0,0;0,0;1284,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1875;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;1,0;3,0;0,0;0,0;1954,0625;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0
9;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,09375;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
10;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,1875;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
11;0,0;4,5;0,0;1,0;69,9375;1,0;0,0;1,0;0,0;0,0;0,0;0,0;2,1875;1,0;0,0;0,0;1,0;0,0;1,0;0,0
12;0,0;0,875;1,0;0,0;0,0;1,0;0,0;2,0;0,0;1,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;0,0625;1,0;0,0
13;0,0;8,75;1,0;1,0;382,5;0,0;0,0;0,0;1,0;0,0;1,125;0,0;0,25;0,0;0,0;0,0;1,0;0,0;0,0;0,0
14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0625;1,0;0,0;0,0;0,0;2,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0
15;1,0;0,3750000000000018;1,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
16;0,0;0,0;0,0;0,0;910,0;0,0;1,0;0,0;1,0;0,0;0,0625;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0
17;1,0;18,75;0,0;0,0;528,75;1,0;1,0;0,0625;0,0;0,0;0,0;1,0;0,0;1,0;1,0;1,0;0,0;0,0625;1,0;0,0
18;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
19;1,0;0,0;1,0;0,0;14,28125;0,0;1,0;0,0;0,0;1,0;0,0;1,0;1,4375;0,0;0,0;0,0;1,0;0,0625;1,0;0,0
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0625;0,0;0,1875;0,0;0,0;0,0;0,0;0,0;0,0;0,0
21;1,0;0,75;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0
23;0,0;0,375;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;0,0;1,0;0,0;0,0
24;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
25;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,875;1,0;0,0;0,0;0,0;0,0;1,0;0,0
26;1,0;0,3125;1,0;0,0;17,343750000000227;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0;1,0;0,0625;0,0;0,0
27;0,0;0,375;0,0;1,0;673,75;1,0;1,0;0,0;1,0;0,0;0,0;0,0;0,1875;0,0;0,0;0,0;0,0;0,0;0,0;0,0
28;0,0;0,0;0,0;0,0;1847,0625;1,0;1,0;0,1875;1,0;1,0;0,0625;1,0;14,0625;1,0;1,0;0,0625;0,0;0,0;0,0;0,0
29;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
30;0,0;13,0;0,0;0,0;0,0;0,0;0,0;0,125;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0625;0,0;0,0;0,0;0,0
31;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0625;0,0;0,0;0,0;0,0;0,0;0,0;0,0
32;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3125;0,0;0,0;0,0625;0,0;0,0;0,0;0,0
34;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0625;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0
35;0,0;0,75;0,0;0,0;1071,125;0,0;0,0;0,0;1,0;0,0;0,0625;0,0;0,0;0,0;0,0;0,0625;0,0;0,0;1,0;0,0
36;0,0;3,375;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;18,125;1,0;1,0;0,0;0,0;0,0;1,0;0,0
37;0,0;0,375;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
38;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0
39;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
