;age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
1;38,0;2,0;234901,0;15,0;10,0;2,0;9,0;0,0;4,0;1,0;0,0;0,0;40,0;31,0;0;ok;10,828697204589844;11,25277314430628;14,0;14,0;31,2;0,0
2;45,0;0,9999999999999998;374450,0;11,0;9,0;2,0;13,0;5,0;4,0;0,0;5178,0;0,0;40,0;31,0;1;ok;12,111327171325684;11,25277314430628;14,0;14,0;31,2;0,0
3;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
4;30,0;2,0;36383,0;9,0;13,0;2,0;11,0;0,0;4,0;1,0;0,0;0,0;40,0;20,0;1;ok;10,75374984741211;11,25277314430628;14,0;14,0;31,2;0,0
5;37,0;4,0;42044,0;15,0;10,0;2,0;4,0;0,0;4,0;1,0;0,0;0,0;84,0;31,0;1;ok;12,547444343566895;11,25277314430628;14,0;14,0;31,2;0,0
6;25,0;2,0;263773,0;15,0;10,0;2,0;0,0;5,0;4,0;0,0;0,0;0,0;40,0;31,0;1;ok;12,22400951385498;11,25277314430628;14,0;14,0;31,2;0,0
7;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
8;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
9;25,0;2,0;263773,0;15,0;10,0;2,0;0,0;5,0;4,0;0,0;0,0;0,0;40,0;31,0;1;ok;10,916363716125488;11,25277314430628;14,0;14,0;31,2;0,0
10;45,0;2,0;114774,0;12,0;14,0;0,0;9,0;1,0;4,0;0,0;0,0;2258,0;55,0;31,0;0;ok;13,466793060302734;11,25277314430628;14,0;14,0;31,2;0,0
11;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
12;51,0;2,0;231230,0;11,0;9,0;2,0;6,0;0,0;4,0;1,0;0,0;0,0;45,0;31,0;0;ok;10,844963073730469;11,25277314430628;14,0;14,0;31,2;0,0
13;49,0;2,0;204629,0;9,0;13,0;2,0;3,0;0,0;4,0;1,0;0,0;0,0;40,0;31,0;1;ok;11,042702674865723;11,25277314430628;14,0;14,0;31,2;0,0
14;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
15;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
16;35,0;2,0;422933,0;9,0;13,0;4,0;7,0;1,0;4,0;1,0;0,0;0,0;37,0;31,0;0;ok;11,153039932250977;11,25277314430628;14,0;14,0;31,2;0,0
17;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
18;59,0;0,0;98984,0;9,0;13,0;0,0;0,0;1,0;4,0;1,0;0,0;0,0;40,0;31,0;0;ok;10,829113006591797;11,25277314430628;14,0;14,0;31,2;0,0
19;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
20;32,0;2,0;353994,0;9,0;13,0;2,0;3,0;2,0;1,0;0,0;0,0;0,0;40,0;1,9999999999999964;1;ok;9,170028686523438;11,25277314430628;14,0;14,0;31,2;0,0
21;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
22;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
23;49,0;2,0;116927,0;9,0;13,0;2,0;11,0;0,0;4,0;1,0;0,0;0,0;60,0;31,0;0;ok;11,435356140136719;11,25277314430628;14,0;14,0;31,2;0,0
24;45,0;2,0;170846,0;8,0;11,0;2,0;3,0;5,0;4,0;0,0;0,0;0,0;40,0;31,0;1;ok;11,034698486328125;11,25277314430628;14,0;14,0;31,2;0,0
25;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
26;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
27;32,0;2,0;353994,0;9,0;13,0;2,0;3,0;2,0;1,0;0,0;0,0;0,0;40,0;1,9999999999999964;1;ok;10,477996826171875;11,25277314430628;14,0;14,0;31,2;0,0
28;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
29;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
30;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
31;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
32;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
33;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
34;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
35;57,0;4,0;149168,0;15,0;10,0;2,0;3,0;0,0;4,0;1,0;0,0;0,0;55,0;31,0;0;ok;11,859844207763672;11,25277314430628;14,0;14,0;31,2;0,0
36;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
37;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
38;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
39;36,0;2,0;209609,0;9,0;13,0;2,0;9,0;0,0;4,0;1,0;0,0;0,0;38,0;31,0;1;ok;10,4730806350708;11,25277314430628;14,0;14,0;31,2;0,0
40;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
41;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
42;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
43;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
44;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
45;51,0;5,0;152810,0;8,0;11,0;2,0;12,0;0,0;4,0;1,0;0,0;0,0;40,0;31,0;1;ok;11,260300636291504;11,25277314430628;14,0;14,0;31,2;0,0
46;32,0;2,0;353994,0;9,0;13,0;2,0;3,0;2,0;1,0;0,0;0,0;0,0;40,0;1,9999999999999964;1;ok;10,029154777526855;11,25277314430628;14,0;14,0;31,2;0,0
47;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
48;43,0;2,0;174575,0;15,0;10,0;0,0;0,0;1,0;4,0;1,0;0,0;0,0;45,0;31,0;0;ok;10,930907249450684;11,25277314430628;14,0;14,0;31,2;0,0
49;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
50;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
51;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
52;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
53;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
54;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
55;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
56;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
57;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
58;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
59;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
60;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
61;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
62;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
63;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
64;45,0;4,0;31478,0;9,0;13,0;2,0;11,0;0,0;4,0;1,0;2829,0;0,0;60,0;31,0;0;ok;11,175291061401367;11,25277314430628;14,0;14,0;31,2;0,0
65;64,0;2,0;391121,0;5,0;4,0;2,0;4,0;0,0;4,0;1,0;0,0;0,0;40,0;31,0;1;ok;10,733696937561035;11,25277314430628;14,0;14,0;31,2;0,0
66;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
67;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
68;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
69;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
70;35,0;2,0;115792,0;9,0;13,0;2,0;9,0;0,0;4,0;1,0;0,0;0,0;55,0;31,0;0;ok;10,921682357788086;11,25277314430628;14,0;14,0;31,2;0,0
71;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
72;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
73;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
74;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
75;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
76;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
77;25,0;2,0;257910,0;9,0;13,0;4,0;3,0;1,0;4,0;1,0;0,0;0,0;50,0;31,0;0;ok;12,601006507873535;11,25277314430628;14,0;14,0;31,2;0,0
78;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
79;39,0;2,0;225707,0;8,0;11,0;2,0;0,0;0,0;4,0;1,0;0,0;0,0;40,0;4,0;0;ok;9,332974433898926;11,25277314430628;14,0;14,0;31,2;0,0
80;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
81;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
82;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
83;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
84;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
85;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
86;;;;;;;;;;;;;;;0;nan;;11,25277314430628;14,0;14,0;31,2;0,0
87;;;;;;;;;;;;;;;1;nan;;11,25277314430628;14,0;14,0;31,2;0,0
