;age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
1;38,0;Private;234901,0;Some-college;10,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,828697204589844;11,25277314430628;14,0;14,0;31,2;0,0
2;45,0;Federal-gov;374450,0;HS-grad;9,0;Married-civ-spouse;Transport-moving;Wife;White;Female;5178,0;0,0;40,0;United-States;>50K;ok;12,111327171325684;11,25277314430628;14,0;14,0;31,2;0,0
4;30,0;Private;36383,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;40,0;Mexico;>50K;ok;10,75374984741211;11,25277314430628;14,0;14,0;31,2;0,0
5;37,0;Self-emp-not-inc;42044,0;Some-college;10,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;84,0;United-States;>50K;ok;12,547444343566895;11,25277314430628;14,0;14,0;31,2;0,0
6;25,0;Private;263773,0;Some-college;10,0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0,0;0,0;40,0;United-States;>50K;ok;12,22400951385498;11,25277314430628;14,0;14,0;31,2;0,0
9;25,0;Private;263773,0;Some-college;10,0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0,0;0,0;40,0;United-States;>50K;ok;10,916363716125488;11,25277314430628;14,0;14,0;31,2;0,0
10;45,0;Private;114774,0;Masters;14,0;Divorced;Prof-specialty;Not-in-family;White;Female;0,0;2258,0;55,0;United-States;<=50K;ok;13,466793060302734;11,25277314430628;14,0;14,0;31,2;0,0
12;51,0;Private;231230,0;HS-grad;9,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;0,0;45,0;United-States;<=50K;ok;10,844963073730469;11,25277314430628;14,0;14,0;31,2;0,0
13;49,0;Private;204629,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;11,042702674865723;11,25277314430628;14,0;14,0;31,2;0,0
16;35,0;Private;422933,0;Bachelors;13,0;Never-married;Other-service;Not-in-family;White;Male;0,0;0,0;37,0;United-States;<=50K;ok;11,153039932250977;11,25277314430628;14,0;14,0;31,2;0,0
18;59,0;Federal-gov;98984,0;Bachelors;13,0;Divorced;Adm-clerical;Not-in-family;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;10,829113006591797;11,25277314430628;14,0;14,0;31,2;0,0
20;32,0;Private;353994,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Other-relative;Asian-Pac-Islander;Female;0,0;0,0;40,0;Canada;>50K;ok;9,170028686523438;11,25277314430628;14,0;14,0;31,2;0,0
23;49,0;Private;116927,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;60,0;United-States;<=50K;ok;11,435356140136719;11,25277314430628;14,0;14,0;31,2;0,0
