;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome;y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
1;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
2;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
3;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
4;57,0;5,0;1,0;2,0;0,0;1458,0;0,0;0,0;0,0;19,0;1,0;250,0;1,0;107,0;5,0;0,0;0;ok;8,116154670715332;8,331288801112645;16,0;16,0;28,4;0,0
5;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
6;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
7;32,0;4,0;1,0;2,0;0,0;937,0;0,0;0,0;0,0;26,0;8,0;61,0;1,0;190,0;1,0;0,0;1;ok;7,614280700683594;8,331288801112645;16,0;16,0;28,4;0,0
8;33,0;7,0;1,0;1,0;0,0;386,0;0,0;0,0;0,0;12,0;9,0;253,0;1,0;92,0;4,0;0,0;0;ok;6,8739333152771;8,331288801112645;16,0;16,0;28,4;0,0
9;52,0;1,0;0,0;0,0;0,0;3990,0;0,0;0,0;0,0;19,0;9,0;1548,0;1,0;153,0;1,0;1,0;1;ok;9,01384162902832;8,331288801112645;16,0;16,0;28,4;0,0
10;37,0;10,0;1,0;1,0;0,0;2424,0;0,0;0,0;0,0;20,0;9,0;633,0;2,0;156,0;2,0;1,0;0;ok;7,5741400718688965;8,331288801112645;16,0;16,0;28,4;0,0
11;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
12;38,0;10,0;1,0;0,0;0,0;7005,0;1,0;0,0;0,0;7,0;5,0;370,0;1,0;412,0;1,0;0,0;1;ok;6,902229309082031;8,331288801112645;16,0;16,0;28,4;0,0
13;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
14;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
15;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
16;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
17;29,0;7,0;2,0;1,0;0,0;102,0;0,0;0,0;0,0;12,0;5,0;154,0;1,0;182,0;5,0;0,0;1;ok;5,615897178649902;8,331288801112645;16,0;16,0;28,4;0,0
18;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
19;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
20;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
21;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
22;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
23;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
24;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
25;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
26;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
27;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
28;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
29;29,0;4,0;2,0;2,0;0,0;92,0;0,0;0,0;0,0;2,0;6,0;101,0;1,0;92,0;5,0;2,0;0;ok;6,841602802276611;8,331288801112645;16,0;16,0;28,4;0,0
30;59,0;0,0;1,0;1,0;0,0;3735,0;0,0;0,0;0,0;18,0;7,0;203,0;4,0;121,0;2,0;0,0;1;ok;8,613036155700684;8,331288801112645;16,0;16,0;28,4;0,0
31;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
32;;;;;;;;;;;;;;;;;0;nan;;8,331288801112645;16,0;16,0;28,4;0,0
33;34,0;0,0;0,0;1,0;0,0;479,0;1,0;0,0;0,0;12,0;8,0;515,0;1,0;350,0;5,0;0,0;1;ok;7,563502788543701;8,331288801112645;16,0;16,0;28,4;0,0
34;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
35;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
36;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
37;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
38;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
39;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
40;32,0;1,0;1,0;1,0;0,0;10287,0;1,0;0,0;0,0;27,0;8,0;281,0;4,0;188,0;1,0;0,0;1;ok;7,331320285797119;8,331288801112645;16,0;16,0;28,4;0,0
41;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
42;33,0;4,0;2,0;2,0;0,0;2465,0;0,0;0,0;0,0;16,0;9,0;139,0;2,0;95,00000000000001;1,0;2,0;0;ok;6,9823760986328125;8,331288801112645;16,0;16,0;28,4;0,0
43;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
44;48,0;1,0;1,0;1,0;0,0;480,0;1,0;0,0;0,0;15,0;8,0;830,0;1,0;352,0;2,0;0,0;1;ok;8,502507209777832;8,331288801112645;16,0;16,0;28,4;0,0
45;;;;;;;;;;;;;;;;;0;nan;;8,331288801112645;16,0;16,0;28,4;0,0
46;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
47;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
48;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
49;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
50;;;;;;;;;;;;;;;;;0;nan;;8,331288801112645;16,0;16,0;28,4;0,0
51;47,0;4,0;0,0;2,0;0,0;428,0;1,0;0,0;0,0;18,0;9,0;116,0;1,0;167,0;1,0;1,0;1;ok;7,073916435241699;8,331288801112645;16,0;16,0;28,4;0,0
52;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
53;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
54;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
55;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
56;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
57;42,0;2,0;1,0;1,0;0,0;706,9999999999999;0,0;0,0;0,0;1,0;6,0;233,0;1,0;348,0;1,0;2,0;0;ok;6,50778341293335;8,331288801112645;16,0;16,0;28,4;0,0
58;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
59;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
60;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
61;59,0;0,0;1,0;1,0;0,0;3735,0;0,0;0,0;0,0;18,0;7,0;203,0;4,0;121,0;2,0;0,0;1;ok;9,140349388122559;8,331288801112645;16,0;16,0;28,4;0,0
62;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
63;59,0;0,0;1,0;1,0;0,0;3735,0;0,0;0,0;0,0;18,0;7,0;203,0;4,0;121,0;2,0;0,0;1;ok;12,556129455566406;8,331288801112645;16,0;16,0;28,4;0,0
64;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
65;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
66;34,0;0,0;0,0;1,0;0,0;479,0;1,0;0,0;0,0;12,0;8,0;515,0;1,0;350,0;5,0;0,0;1;ok;7,614023685455322;8,331288801112645;16,0;16,0;28,4;0,0
67;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
68;47,0;3,0;2,0;2,0;0,0;3232,0;0,0;0,0;1,0;6,0;10,0;541,0;1,0;204,0;3,0;0,0;1;ok;10,669246673583984;8,331288801112645;16,0;16,0;28,4;0,0
69;37,0;1,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;21,0;9,0;169,0;1,0;113,0;5,0;1,0;1;ok;6,420090675354004;8,331288801112645;16,0;16,0;28,4;0,0
70;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
71;;;;;;;;;;;;;;;;;0;nan;;8,331288801112645;16,0;16,0;28,4;0,0
72;56,0;5,0;1,0;2,0;0,0;839,0;0,0;1,0;0,0;18,0;9,0;630,0;1,0;187,0;2,0;1,0;0;ok;9,757186889648438;8,331288801112645;16,0;16,0;28,4;0,0
73;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
74;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
75;52,0;1,0;1,0;1,0;0,0;568,0;1,0;0,0;1,0;17,0;0,0;246,0;1,0;317,0;1,0;0,0;0;ok;9,814509391784668;8,331288801112645;16,0;16,0;28,4;0,0
76;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
77;;;;;;;;;;;;;;;;;0;nan;;8,331288801112645;16,0;16,0;28,4;0,0
78;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
79;;;;;;;;;;;;;;;;;1;nan;;8,331288801112645;16,0;16,0;28,4;0,0
80;34,0;9,0;1,0;1,0;0,0;0,0;1,0;0,0;0,0;3,0;1,0;261,0;1,0;470,0;2,0;0,0;1;ok;6,816389560699463;8,331288801112645;16,0;16,0;28,4;0,0
81;55,0;10,0;0,0;0,0;0,0;-53,0;0,0;0,0;1,0;3,0;3,0;225,0;4,0;6,0;3,0;1,0;0;ok;8,833949089050293;8,331288801112645;16,0;16,0;28,4;0,0
