;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome;y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
4;57,0;retired;married;tertiary;no;1458,0;no;no;cellular;19,0;aug;250,0;1,0;107,0;5,0;failure;no;ok;8,116154670715332;8,331288801112645;16,0;16,0;28,4;0,0
7;32,0;management;married;tertiary;no;937,0;no;no;cellular;26,0;may;61,0;1,0;190,0;1,0;failure;yes;ok;7,614280700683594;8,331288801112645;16,0;16,0;28,4;0,0
8;33,0;services;married;secondary;no;386,0;no;no;cellular;12,0;nov;253,0;1,0;92,0;4,0;failure;no;ok;6,8739333152771;8,331288801112645;16,0;16,0;28,4;0,0
9;52,0;blue-collar;divorced;primary;no;3990,0;no;no;cellular;19,0;nov;1548,0;1,0;153,0;1,0;other;yes;ok;9,01384162902832;8,331288801112645;16,0;16,0;28,4;0,0
10;37,0;unemployed;married;secondary;no;2424,0;no;no;cellular;20,0;nov;633,0;2,0;156,0;2,0;other;no;ok;7,5741400718688965;8,331288801112645;16,0;16,0;28,4;0,0
12;38,0;unemployed;married;primary;no;7005,0;yes;no;cellular;7,0;jul;370,0;1,0;412,0;1,0;failure;yes;ok;6,902229309082031;8,331288801112645;16,0;16,0;28,4;0,0
17;29,0;services;single;secondary;no;102,0;no;no;cellular;12,0;jul;154,0;1,0;182,0;5,0;failure;yes;ok;5,615897178649902;8,331288801112645;16,0;16,0;28,4;0,0
29;29,0;management;single;tertiary;no;92,0;no;no;cellular;2,0;jun;101,0;1,0;92,0;5,0;success;no;ok;6,841602802276611;8,331288801112645;16,0;16,0;28,4;0,0
30;59,0;admin.;married;secondary;no;3735,0;no;no;cellular;18,0;mar;203,0;4,0;121,0;2,0;failure;yes;ok;8,613036155700684;8,331288801112645;16,0;16,0;28,4;0,0
33;34,0;admin.;divorced;secondary;no;479,0;yes;no;cellular;12,0;may;515,0;1,0;350,0;5,0;failure;yes;ok;7,563502788543701;8,331288801112645;16,0;16,0;28,4;0,0
40;32,0;blue-collar;married;secondary;no;10287,0;yes;no;cellular;27,0;may;281,0;4,0;188,0;1,0;failure;yes;ok;7,331320285797119;8,331288801112645;16,0;16,0;28,4;0,0
42;33,0;management;single;tertiary;no;2465,0;no;no;cellular;16,0;nov;139,0;2,0;95,00000000000001;1,0;success;no;ok;6,9823760986328125;8,331288801112645;16,0;16,0;28,4;0,0
44;48,0;blue-collar;married;secondary;no;480,0;yes;no;cellular;15,0;may;830,0;1,0;352,0;2,0;failure;yes;ok;8,502507209777832;8,331288801112645;16,0;16,0;28,4;0,0
51;47,0;management;divorced;tertiary;no;428,0;yes;no;cellular;18,0;nov;116,0;1,0;167,0;1,0;other;yes;ok;7,073916435241699;8,331288801112645;16,0;16,0;28,4;0,0
57;42,0;entrepreneur;married;secondary;no;706,9999999999999;no;no;cellular;1,0;jun;233,0;1,0;348,0;1,0;success;no;ok;6,50778341293335;8,331288801112645;16,0;16,0;28,4;0,0
61;59,0;admin.;married;secondary;no;3735,0;no;no;cellular;18,0;mar;203,0;4,0;121,0;2,0;failure;yes;ok;9,140349388122559;8,331288801112645;16,0;16,0;28,4;0,0
63;59,0;admin.;married;secondary;no;3735,0;no;no;cellular;18,0;mar;203,0;4,0;121,0;2,0;failure;yes;ok;12,556129455566406;8,331288801112645;16,0;16,0;28,4;0,0
66;34,0;admin.;divorced;secondary;no;479,0;yes;no;cellular;12,0;may;515,0;1,0;350,0;5,0;failure;yes;ok;7,614023685455322;8,331288801112645;16,0;16,0;28,4;0,0
68;47,0;housemaid;single;tertiary;no;3232,0;no;no;telephone;6,0;oct;541,0;1,0;204,0;3,0;failure;yes;ok;10,669246673583984;8,331288801112645;16,0;16,0;28,4;0,0
69;37,0;blue-collar;married;secondary;no;0,0;yes;no;cellular;21,0;nov;169,0;1,0;113,0;5,0;other;yes;ok;6,420090675354004;8,331288801112645;16,0;16,0;28,4;0,0
72;56,0;retired;married;tertiary;no;839,0;no;yes;cellular;18,0;nov;630,0;1,0;187,0;2,0;other;no;ok;9,757186889648438;8,331288801112645;16,0;16,0;28,4;0,0
75;52,0;blue-collar;married;secondary;no;568,0;yes;no;telephone;17,0;apr;246,0;1,0;317,0;1,0;failure;no;ok;9,814509391784668;8,331288801112645;16,0;16,0;28,4;0,0
80;34,0;technician;married;secondary;no;0,0;yes;no;cellular;3,0;aug;261,0;1,0;470,0;2,0;failure;yes;ok;6,816389560699463;8,331288801112645;16,0;16,0;28,4;0,0
81;55,0;unemployed;divorced;primary;no;-53,0;no;no;telephone;3,0;feb;225,0;4,0;6,0;3,0;other;no;ok;8,833949089050293;8,331288801112645;16,0;16,0;28,4;0,0
83;48,0;blue-collar;married;secondary;no;480,0;yes;no;cellular;15,0;may;830,0;1,0;352,0;2,0;failure;yes;ok;7,407558441162109;8,331288801112645;16,0;16,0;28,4;0,0
86;32,0;blue-collar;married;secondary;no;10287,0;yes;no;cellular;27,0;may;281,0;4,0;188,0;1,0;failure;no;ok;7,780311107635498;8,331288801112645;16,0;16,0;28,4;0,0
89;75,0;retired;married;primary;no;1765,0;no;no;telephone;14,0;sep;808,0;1,0;187,0;4,0;failure;yes;ok;12,384860038757324;8,331288801112645;16,0;16,0;28,4;0,0
90;49,0;management;married;tertiary;no;5887,0;no;no;cellular;2,0;jun;181,0;3,0;293,0;2,0;failure;yes;ok;7,874610424041748;8,331288801112645;16,0;16,0;28,4;0,0
93;61,0;retired;married;tertiary;no;5267,0;no;no;cellular;18,0;aug;212,0;7,0;188,0;3,0;success;no;ok;9,679693222045898;8,331288801112645;16,0;16,0;28,4;0,0
95;31,0;technician;married;tertiary;no;3192,0;yes;no;cellular;7,0;sep;179,0;1,0;186,0;2,0;failure;yes;ok;6,264481067657471;8,331288801112645;16,0;16,0;28,4;0,0
97;46,0;technician;married;secondary;no;9299,0;no;no;cellular;21,0;oct;201,0;5,0;94,00000000000001;3,0;success;no;ok;13,64372444152832;8,331288801112645;16,0;16,0;28,4;0,0
98;55,0;management;single;tertiary;no;-350,0;no;no;telephone;3,0;feb;87,0;4,0;6,0;1,0;other;yes;ok;9,325963973999023;8,331288801112645;16,0;16,0;28,4;0,0
99;50,0;management;married;tertiary;no;346,0;no;no;cellular;4,0;may;76,0;2,0;87,0;1,0;success;yes;ok;6,741448879241943;8,331288801112645;16,0;16,0;28,4;0,0
101;25,0;admin.;single;secondary;no;507,0;yes;no;cellular;15,0;may;832,0;1,0;367,0;3,0;failure;yes;ok;6,924160003662109;8,331288801112645;16,0;16,0;28,4;0,0
102;41,0;unemployed;single;tertiary;no;79,0;no;no;telephone;9,0;nov;394,0;1,0;390,0;2,0;success;no;ok;11,198254585266113;8,331288801112645;16,0;16,0;28,4;0,0
105;54,0;admin.;married;secondary;no;3729,0;no;yes;cellular;18,0;nov;597,0;2,0;116,0;1,0;other;no;ok;9,67935562133789;8,331288801112645;16,0;16,0;28,4;0,0
109;53,0;admin.;divorced;secondary;no;0,0;yes;yes;cellular;6,0;aug;1452,0;1,0;98,00000000000001;2,0;failure;yes;ok;9,235154151916504;8,331288801112645;16,0;16,0;28,4;0,0
113;45,0;admin.;married;secondary;yes;1,0;no;no;telephone;2,0;feb;1028,0;2,0;207,0;1,0;other;yes;ok;17,69418716430664;8,331288801112645;16,0;16,0;28,4;0,0
115;33,0;management;single;tertiary;no;131,0;yes;no;cellular;12,0;oct;209,0;3,0;427,0;2,0;failure;yes;ok;6,789839267730713;8,331288801112645;16,0;16,0;28,4;0,0
116;33,0;admin.;single;secondary;no;572,0;yes;no;cellular;14,0;apr;344,0;1,0;74,0;2,0;failure;yes;ok;4,863140106201172;8,331288801112645;16,0;16,0;28,4;0,0
117;28,0;services;single;secondary;no;1347,0;no;no;telephone;11,0;oct;317,0;2,0;108,0;14,0;other;no;ok;9,811930656433105;8,331288801112645;16,0;16,0;28,4;0,0
122;42,0;technician;married;secondary;no;994,0;yes;no;cellular;12,0;nov;227,0;3,0;92,99999999999999;6,0;success;no;ok;8,232099533081055;8,331288801112645;16,0;16,0;28,4;0,0
124;32,0;blue-collar;married;secondary;no;10287,0;yes;no;cellular;27,0;may;281,0;4,0;188,0;1,0;failure;yes;ok;10,698716163635254;8,331288801112645;16,0;16,0;28,4;0,0
132;40,0;admin.;married;tertiary;no;1108,0;no;no;cellular;11,0;aug;170,0;2,0;112,0;1,0;success;no;ok;5,92446756362915;8,331288801112645;16,0;16,0;28,4;0,0
