;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;Y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
1;20000,0;2,0;3,0;2,0;22,0;2,0;2,0;0,0;0,0;0,0;-2,0;19393,0;18801,0;19077,0;11993,0;0,0;0,0;0,0;1023,0;240,0;0,0;0,0;0,0;0;ok;9,49425220489502;8,430429444384218;23,0;23,0;26,8;0,0
6;20000,0;1,0;2,0;1,0;27,0;0,0;0,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;17062,0;19248,0;18181,0;18156,0;19102,0;17363,0;2850,0;0,0;514,0;2000,0;1000,0000000000005;1570,0;0;ok;7,755815029144287;8,430429444384218;23,0;23,0;26,8;0,0
9;360000,0;2,0;2,0;2,0;28,0;-2,0;-2,0;-2,0;-2,0;-2,0;-2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;ok;6,326394081115723;8,430429444384218;23,0;23,0;26,8;0,0
12;150000,0;2,0;2,0;2,0;24,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;108924,0;109705,0;108748,0;108116,0;108951,0;109901,0;4000,0;5500,0;4000,0;4100,0;4300,0;4000,0;0;ok;7,168140411376953;8,430429444384218;23,0;23,0;26,8;0,0
22;130000,0;2,0;0,9999999999999999;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;147582,0;138996,0;140558,0;90522,0;90917,0;92330,0;5394,0;4229,0;3211,0;3297,0;3312,0;3381,0;0;ok;8,47560977935791;8,430429444384218;23,0;23,0;26,8;0,0
24;180000,0;1,0;2,0;1,0;41,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;859,0;1811,0;1335,0;366,0;1811,0;1828,0;1811,0000000000005;1335,0;366,0;1811,0;1828,0;366,0;1;ok;8,591965675354004;8,430429444384218;23,0;23,0;26,8;0,0
25;40000,0;1,0;3,0;2,0;24,0;2,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;39149,0;39189,0;40543,0;38922,0;39901,0;40746,0;1658,0;2012,0;1392,0000000000005;1605,0;1668,0;1201,0;1;ok;6,803804397583008;8,430429444384218;23,0;23,0;26,8;0,0
26;130000,0;2,0;2,0;1,0;27,0;-1,0;-1,0;-1,0;-1,0;0,0;5,551115123125783e-17;791,9999999999927;0,0;396,0;485,0;46773,0;47313,0;0,0;396,0;485,0;46684,0;1700,0;1712,0;1;ok;9,690430641174316;8,430429444384218;23,0;23,0;26,8;0,0
29;110000,0;2,0;2,0;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;110950,0;111750,0;111227,0;110849,0;110575,0;110394,0;4088,0;3912,0;3888,0;3975,0;4162,0;3945,0;1;ok;8,734542846679688;8,430429444384218;23,0;23,0;26,8;0,0
33;80000,0;1,0;0,9999999999999999;2,0;31,0;0,9999999999999999;2,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;61241,0;62155,0;56049,0;50829,0;50687,0;47362,0;2515,0;16,0;2003,0;2013,0;5007,0;113,0;0;ok;7,61498498916626;8,430429444384218;23,0;23,0;26,8;0,0
35;360000,0;1,0;0,9999999999999999;2,0;30,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;11487,0;307,0;400,0;589,0;956,0;1383,0;307,0;400,0;589,0;956,0;1383,0;448,0;1;ok;7,873301982879639;8,430429444384218;23,0;23,0;26,8;0,0
40;240000,0;2,0;2,0;1,0;56,0;2,0;2,0;-2,0;-2,0;-2,0;-2,0;2500,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;ok;8,725029945373535;8,430429444384218;23,0;23,0;26,8;0,0
45;110000,0;2,0;2,0;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;110950,0;111750,0;111227,0;110849,0;110575,0;110394,0;4088,0;3912,0;3888,0;3975,0;4162,0;3945,0;1;ok;8,790983200073242;8,430429444384218;23,0;23,0;26,8;0,0
46;80000,0;1,0;2,0;1,0;29,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;78265,0;79364,0;73622,0;75092,0;75976,0;77511,0;3070,0;2623,0;2644,0;2743,0;2783,0;2909,0;1;ok;7,036832809448242;8,430429444384218;23,0;23,0;26,8;0,0
47;50000,0;2,0;3,0;1,0;53,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;46778,0;47770,0;49009,0;50593,0;20218,0;20645,0;1770,0;2009,0;2593,0;1000,0;752,0;1017,0;0;ok;8,006792068481445;8,430429444384218;23,0;23,0;26,8;0,0
