;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
1;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
2;3,0;28,0;1,0;1,0;7824,0;4,0;1,0000000000000002;3,0;2,0;2,0;4,0;0,0;40,0;2,220446049250313e-16;0,0;2,0;2,0;2,0;1,0;0,0;0;ok;15,003013610839844;12,539856126573351;20,0;20,0;45,0;0,0
3;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
4;2,0;6,0;4,0;0,0;1343,0;0,0;4,0;0,9999999999999998;2,0;0,0;4,0;0,0;46,0;2,0;1,0;2,0;2,0;2,0;0,0;1,0;1;ok;17,630659103393555;12,539856126573351;20,0;20,0;45,0;0,0
5;1,0;9,0;4,0;7,0;1136,0;3,0;4,0;4,0;2,0;0,0;3,0;3,0;32,0;2,0;2,0;2,0;2,0;2,0;0,0;0,0;0;ok;10,29841423034668;12,539856126573351;20,0;20,0;45,0;0,0
6;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
7;1,0;10,0;2,0;0,0;7308,0;0,0;0,0;2,0;2,0;0,0;4,0;3,0;70,0;2,220446049250313e-16;2,0;1,0;3,0;1,0;1,0;0,0;1;ok;11,352250099182129;12,539856126573351;20,0;20,0;45,0;0,0
8;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
9;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
10;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
11;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
12;2,0;10,0;4,0;4,0;1347,0;4,0;3,0;4,0;2,0;0,0;2,0;1,0;27,0;2,0;1,0;2,0;2,0;1,0;1,0;0,0;1;ok;9,917742729187012;12,539856126573351;20,0;20,0;45,0;0,0
13;1,0;60,0;2,0;0,0;7408,0;1,0;1,0000000000000002;4,0;1,0;0,0;2,0;1,0;24,0;2,0;1,0;1,0;3,0;1,0;0,0;0,0;0;ok;9,829318046569824;12,539856126573351;20,0;20,0;45,0;0,0
14;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
15;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
16;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
17;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
18;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
19;1,0;36,0;1,0;5,0;3990,0;4,0;1,0000000000000002;3,0;1,0;0,0;2,0;3,0;29,0;2,220446049250313e-16;1,0;1,0;0,0;1,0;0,0;0,0;0;ok;9,946823120117188;12,539856126573351;20,0;20,0;45,0;0,0
20;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
21;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
22;1,0;14,0;2,0;9,0;1410,0;2,0;4,0;0,9999999999999998;3,0;0,0;2,0;0,0;35,0;2,0;1,0;1,0;2,0;1,0;1,0;0,0;0;ok;12,566248893737793;12,539856126573351;20,0;20,0;45,0;0,0
23;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
24;2,220446049250313e-16;48,0;4,0;1,0;6143,0;0,0;4,0;4,0;1,0;0,0;4,0;3,0;58,0;1,0;2,0;2,0;0,9999999999999999;1,0;0,0;0,0;0;ok;11,490921020507812;12,539856126573351;20,0;20,0;45,0;0,0
25;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
26;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
27;1,0;15,0;2,0;6,0;1514,0;1,0;2,0;4,0;2,0;2,0;2,0;0,0;22,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;10,715094566345215;12,539856126573351;20,0;20,0;45,0;0,0
28;1,0;24,0;2,0;0,0;1246,0;0,0;1,0000000000000002;4,0;2,0;0,0;2,0;0,0;23,0;1,0;1,0;1,0;0,9999999999999999;1,0;0,0;0,0;0;ok;9,267268180847168;12,539856126573351;20,0;20,0;45,0;0,0
29;3,0;48,0;4,0;1,0;11590,0;1,0;2,0;2,0;1,0;0,0;4,0;2,0;24,0;2,220446049250313e-16;0,0;2,0;0,9999999999999999;1,0;0,0;0,0;0;ok;9,502593994140625;12,539856126573351;20,0;20,0;45,0;0,0
30;3,0;12,0;4,0;9,0;2292,0;0,0;0,0;4,0;2,0;0,0;2,0;2,0;42,0;1,0;1,0;2,0;3,0;1,0;1,0;0,0;0;ok;10,569405555725098;12,539856126573351;20,0;20,0;45,0;0,0
31;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
32;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
33;2,220446049250313e-16;9,0;2,0;4,0;1366,0;0,0;1,0000000000000002;3,0;1,0;0,0;4,0;1,0;22,0;2,0;0,0;1,0;2,0;1,0;0,0;0,0;0;ok;10,171271324157715;12,539856126573351;20,0;20,0;45,0;0,0
34;3,0;10,0;2,0;0,0;1309,0;4,0;2,0;4,0;2,0;2,0;4,0;1,0;27,0;2,0;1,0;1,0;0,9999999999999999;1,0;0,0;0,0;0;ok;13,776233673095703;12,539856126573351;20,0;20,0;45,0;0,0
35;1,0;18,0;3,0;3,0;4297,0;0,0;4,0;4,0;2,220446049250313e-16;0,0;3,0;3,0;40,0;2,0;1,0;1,0;3,0;1,0;1,0;0,0;0;ok;10,27456283569336;12,539856126573351;20,0;20,0;45,0;0,0
36;3,0;24,0;2,0;4,0;3621,0;1,0;4,0;2,0;2,0;0,0;4,0;2,0;31,0;2,0;1,0;2,0;2,0;1,0;0,0;0,0;0;ok;8,63675308227539;12,539856126573351;20,0;20,0;45,0;0,0
37;2,220446049250313e-16;9,0;2,0;4,0;1366,0;0,0;1,0000000000000002;3,0;1,0;0,0;4,0;1,0;22,0;2,0;0,0;1,0;2,0;1,0;0,0;0,0;1;ok;8,789985656738281;12,539856126573351;20,0;20,0;45,0;0,0
38;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
39;2,220446049250313e-16;24,0;2,0;3,0;2359,0;1,0;0,0;0,9999999999999998;2,220446049250313e-16;0,0;1,0;1,0;33,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;9,047054290771484;12,539856126573351;20,0;20,0;45,0;0,0
40;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
41;1,0;48,0;2,0;0,0;6560,0;1,0;3,0;3,0;2,0;0,0;2,0;1,0;24,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;10,259608268737793;12,539856126573351;20,0;20,0;45,0;0,0
42;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
43;2,220446049250313e-16;15,0;0,0;0,0;950,0;0,0;4,0;4,0;2,0;0,0;3,0;2,0;33,0;2,0;0,0;2,0;2,0;2,0;0,0;0,0;0;ok;9,892135620117188;12,539856126573351;20,0;20,0;45,0;0,0
44;2,220446049250313e-16;18,0;0,0;9,0;3104,0;0,0;3,0;3,0;2,0;0,0;1,0;1,0;31,0;2,220446049250313e-16;1,0;1,0;2,0;1,0;1,0;0,0;1;ok;9,251381874084473;12,539856126573351;20,0;20,0;45,0;0,0
45;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
46;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
47;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
48;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
49;3,0;24,0;2,0;1,0;2679,0;0,0;1,0000000000000002;4,0;1,0;0,0;1,0;3,0;29,0;2,0;1,0;1,0;3,0;1,0;1,0;0,0;0;ok;11,059769630432129;12,539856126573351;20,0;20,0;45,0;0,0
50;3,0;18,0;2,0;9,0;1950,0;0,0;3,0;4,0;2,0;0,0;1,0;2,0;34,0;1,0;1,0;2,0;2,0;1,0;1,0;0,0;1;ok;9,994316101074219;12,539856126573351;20,0;20,0;45,0;0,0
51;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
52;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
53;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
54;2,0;24,0;2,0;4,0;5152,0;0,0;3,0;4,0;2,0;0,0;2,0;2,0;25,0;2,220446049250313e-16;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;9,536190032958984;12,539856126573351;20,0;20,0;45,0;0,0
55;1,0;6,0;1,0;0,0;931,0;1,0;1,0000000000000002;0,9999999999999998;1,0;0,0;1,0;1,0;32,0;1,0;1,0;1,0;0,9999999999999999;1,0;0,0;0,0;0;ok;49,3587646484375;12,539856126573351;20,0;20,0;45,0;0,0
56;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
57;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
58;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
59;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
60;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
61;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
62;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
63;2,220446049250313e-16;12,0;2,0;4,0;1680,0000000000002;2,0;4,0;3,0;3,0;0,0;1,0;0,0;35,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;10,316973686218262;12,539856126573351;20,0;20,0;45,0;0,0
64;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
65;2,0;9,0;0,0;4,0;1337,0;0,0;1,0000000000000002;4,0;2,0;0,0;2,0;2,0;34,0;2,0;1,0;2,0;3,0;1,0;1,0;0,0;1;ok;13,110053062438965;12,539856126573351;20,0;20,0;45,0;0,0
66;2,220446049250313e-16;24,0;2,0;0,0;915,0;4,0;4,0;4,0;1,0;0,0;2,0;2,0;29,0;2,220446049250313e-16;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;9,336423873901367;12,539856126573351;20,0;20,0;45,0;0,0
67;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
68;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
69;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
70;2,220446049250313e-16;9,0;2,0;4,0;1366,0;0,0;1,0000000000000002;3,0;1,0;0,0;4,0;1,0;22,0;2,0;0,0;1,0;2,0;1,0;0,0;0,0;1;ok;9,782905578613281;12,539856126573351;20,0;20,0;45,0;0,0
71;3,0;36,0;4,0;0,0;3535,0;0,0;3,0;4,0;2,0;0,0;4,0;2,0;37,0;2,0;1,0;2,0;2,0;1,0;1,0;0,0;0;ok;9,469677925109863;12,539856126573351;20,0;20,0;45,0;0,0
72;3,0;18,0;2,0;3,0;3422,0;0,0;4,0;4,0;2,0;0,0;4,0;1,0;47,0;2,220446049250313e-16;1,0;3,0;2,0;2,0;1,0;0,0;1;ok;10,872398376464844;12,539856126573351;20,0;20,0;45,0;0,0
73;1,0;9,0;4,0;7,0;1136,0;3,0;4,0;4,0;2,0;0,0;3,0;3,0;32,0;2,0;2,0;2,0;2,0;2,0;0,0;0,0;0;ok;13,327740669250488;12,539856126573351;20,0;20,0;45,0;0,0
74;2,220446049250313e-16;36,0;2,0;2,0;15857,0;0,0;0,0;2,0;2,220446049250313e-16;1,0;3,0;2,0;43,0;2,0;1,0;1,0;3,0;1,0;0,0;0,0;1;ok;50,315635681152344;12,539856126573351;20,0;20,0;45,0;0,0
75;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
76;2,220446049250313e-16;24,0;1,0;3,0;3349,0;2,0;1,0000000000000002;4,0;2,0;0,0;4,0;3,0;30,0;2,0;2,0;1,0;2,0;2,0;1,0;0,0;0;ok;10,904009819030762;12,539856126573351;20,0;20,0;45,0;0,0
77;2,220446049250313e-16;12,0;2,0;1,0;3386,0;0,0;4,0;3,0;2,0;0,0;4,0;3,0;35,0;2,0;2,0;1,0;2,0;1,0;1,0;0,0;0;ok;12,986403465270996;12,539856126573351;20,0;20,0;45,0;0,0
78;1,0;48,0;0,0;0,0;8358,0;2,0;1,0000000000000002;0,9999999999999998;1,0;0,0;1,0;2,0;30,0;2,0;1,0;2,0;2,0;1,0;0,0;0,0;1;ok;10,511000633239746;12,539856126573351;20,0;20,0;45,0;0,0
79;2,220446049250313e-16;48,0;2,0;9,0;4308,0;0,0;1,0000000000000002;3,0;1,0;0,0;4,0;1,0;24,0;2,0;0,0;1,0;2,0;1,0;0,0;0,0;1;ok;12,191417694091797;12,539856126573351;20,0;20,0;45,0;0,0
80;3,0;60,0;4,0;0,0;13756,0;4,0;4,0;2,0;2,0;0,0;4,0;3,0;63,0;2,220446049250313e-16;2,0;1,0;3,0;1,0;1,0;0,0;1;ok;12,742403984069824;12,539856126573351;20,0;20,0;45,0;0,0
81;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
82;3,0;28,0;1,0;1,0;7824,0;4,0;1,0000000000000002;3,0;2,0;2,0;4,0;0,0;40,0;2,220446049250313e-16;0,0;2,0;2,0;2,0;1,0;0,0;1;ok;12,30327320098877;12,539856126573351;20,0;20,0;45,0;0,0
83;3,0;6,0;1,0;4,0;1750,0;2,0;4,0;2,0;2,0;0,0;4,0;1,0;45,0;2,220446049250313e-16;1,0;1,0;0,9999999999999999;2,0;0,0;0,0;1;ok;9,686923027038574;12,539856126573351;20,0;20,0;45,0;0,0
84;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
85;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
86;2,220446049250313e-16;24,0;2,0;0,0;915,0;4,0;4,0;4,0;1,0;0,0;2,0;2,0;29,0;2,220446049250313e-16;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;8,69575309753418;12,539856126573351;20,0;20,0;45,0;0,0
87;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
88;1,0;6,0;1,0;0,0;931,0;1,0;1,0000000000000002;0,9999999999999998;1,0;0,0;1,0;1,0;32,0;1,0;1,0;1,0;0,9999999999999999;1,0;0,0;0,0;0;ok;10,034263610839844;12,539856126573351;20,0;20,0;45,0;0,0
89;2,0;12,0;2,0;4,0;1881,0;0,0;2,0;2,0;1,0;0,0;2,0;2,0;44,0;2,0;0,0;1,0;0,9999999999999999;1,0;1,0;0,0;0;ok;9,252498626708984;12,539856126573351;20,0;20,0;45,0;0,0
90;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
91;;;;;;;;;;;;;;;;;;;;;1;nan;;12,539856126573351;20,0;20,0;45,0;0,0
92;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
93;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
94;2,220446049250313e-16;48,0;0,0;3,0;7119,0;0,0;2,0;3,0;2,0;0,0;4,0;3,0;53,0;2,0;2,0;2,0;2,0;2,0;0,0;0,0;0;ok;10,84304141998291;12,539856126573351;20,0;20,0;45,0;0,0
95;;;;;;;;;;;;;;;;;;;;;0;nan;;12,539856126573351;20,0;20,0;45,0;0,0
96;2,220446049250313e-16;18,0;3,0;7,0;8471,0;4,0;2,0;0,9999999999999998;1,0;0,0;2,0;2,0;23,0;2,0;0,0;2,0;2,0;1,0;1,0;0,0;1;ok;10,386894226074219;12,539856126573351;20,0;20,0;45,0;0,0
