;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
1;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
2;2,220446049250313e-16;24,0;2,0;3,0;2359,0;1,0;0,0;0,9999999999999998;2,220446049250313e-16;0,0;1,0;1,0;33,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;9,539525985717773;12,272939309306528;20,0;20,0;43,5;0,0
3;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
4;1,0;18,0;2,0;0,0;1042,0;4,0;2,0;4,0;1,0;0,0;2,0;1,0;33,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;10,457756996154785;12,272939309306528;20,0;20,0;43,5;0,0
5;2,220446049250313e-16;18,0;2,0;4,0;2600,0;0,0;2,0;4,0;2,0;0,0;4,0;3,0;65,0;2,0;2,0;2,0;2,0;1,0;0,0;0,0;0;ok;9,724600791931152;12,272939309306528;20,0;20,0;43,5;0,0
6;3,0;9,0;2,0;3,0;2301,0;1,0;1,0000000000000002;2,0;1,0;0,0;4,0;1,0;22,0;2,0;0,0;1,0;2,0;1,0;0,0;0,0;0;ok;11,300986289978027;12,272939309306528;20,0;20,0;43,5;0,0
7;2,220446049250313e-16;30,0;2,0;1,0;3857,0;0,0;2,0;4,0;2,220446049250313e-16;0,0;4,0;1,0;40,0;2,0;1,0;1,0;3,0;1,0;1,0;0,0;1;ok;9,893074989318848;12,272939309306528;20,0;20,0;43,5;0,0
8;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
9;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
10;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
11;;;;;;;;;;;;;;;;;;;;;1;nan;;12,272939309306528;20,0;20,0;43,5;0,0
12;3,0;24,0;2,0;4,0;1533,0;0,0;1,0000000000000002;4,0;1,0;0,0;3,0;2,0;38,0;1,0;1,0;1,0;2,0;1,0;1,0;0,0;1;ok;9,748762130737305;12,272939309306528;20,0;20,0;43,5;0,0
13;1,0;48,0;1,0;9,0;3566,0;1,0;3,0;4,0;2,0;0,0;2,0;2,0;30,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;10,601309776306152;12,272939309306528;20,0;20,0;43,5;0,0
14;2,220446049250313e-16;24,0;1,0;1,0;3632,0;0,0;2,0;0,9999999999999998;1,0;2,0;4,0;2,0;22,0;2,220446049250313e-16;0,0;1,0;2,0;1,0;0,0;1,0;1;ok;13,44926929473877;12,272939309306528;20,0;20,0;43,5;0,0
15;3,0;12,0;2,0;9,0;1542,0;0,0;3,0;2,0;2,0;0,0;4,0;2,0;36,0;2,0;1,0;1,0;2,0;1,0;1,0;0,0;1;ok;10,878253936767578;12,272939309306528;20,0;20,0;43,5;0,0
16;2,220446049250313e-16;12,0;2,0;0,0;1274,0;0,0;1,0000000000000002;3,0;1,0;0,0;1,0;0,0;37,0;2,0;1,0;1,0;0,9999999999999999;1,0;0,0;0,0;0;ok;35,43512725830078;12,272939309306528;20,0;20,0;43,5;0,0
17;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
18;1,0;36,0;2,0;1,0;9398,0;0,0;1,0000000000000002;0,9999999999999998;3,0;0,0;4,0;2,0;28,0;2,0;0,0;1,0;3,0;1,0;1,0;0,0;0;ok;12,154121398925781;12,272939309306528;20,0;20,0;43,5;0,0
19;1,0;42,0;4,0;9,0;5954,0;0,0;3,0;2,0;1,0;0,0;1,0;0,0;41,0;2,220446049250313e-16;1,0;2,0;0,9999999999999999;1,0;0,0;0,0;0;ok;11,36146068572998;12,272939309306528;20,0;20,0;43,5;0,0
20;2,220446049250313e-16;36,0;2,0;3,0;3959,0;0,0;0,0;4,0;2,0;0,0;3,0;1,0;30,0;2,0;1,0;1,0;3,0;1,0;1,0;0,0;1;ok;9,928828239440918;12,272939309306528;20,0;20,0;43,5;0,0
21;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
22;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
23;1,0;27,0;2,0;9,0;3915,0;0,0;2,0;4,0;2,0;0,0;2,0;2,0;36,0;2,0;1,0;1,0;2,0;2,0;1,0;0,0;1;ok;10,313261032104492;12,272939309306528;20,0;20,0;43,5;0,0
24;1,0;21,0;2,0;9,0;2767,0;1,0;4,0;4,0;2,220446049250313e-16;0,0;2,0;2,0;61,0;2,220446049250313e-16;0,0;2,0;0,9999999999999999;1,0;0,0;0,0;0;ok;9,934707641601562;12,272939309306528;20,0;20,0;43,5;0,0
25;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
26;1,0;39,0;3,0;7,0;11760,0;1,0;3,0;2,0;2,0;0,0;3,0;3,0;32,0;2,0;0,0;1,0;2,0;1,0;1,0;0,0;0;ok;10,740744590759277;12,272939309306528;20,0;20,0;43,5;0,0
27;2,220446049250313e-16;12,0;1,0;8,0;339,00000000000045;0,0;4,0;4,0;3,0;0,0;1,0;2,0;45,0;2,220446049250313e-16;1,0;1,0;0,9999999999999999;1,0;0,0;0,0;1;ok;10,562142372131348;12,272939309306528;20,0;20,0;43,5;0,0
28;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
29;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
30;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
31;2,220446049250313e-16;18,0;4,0;3,0;2124,0;0,0;2,0;4,0;1,0;0,0;4,0;0,0;24,0;2,0;0,0;2,0;2,0;1,0;0,0;0,0;0;ok;11,990225791931152;12,272939309306528;20,0;20,0;43,5;0,0
32;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
33;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
34;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
35;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
36;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
37;;;;;;;;;;;;;;;;;;;;;1;nan;;12,272939309306528;20,0;20,0;43,5;0,0
38;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
39;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
40;2,220446049250313e-16;18,0;4,0;3,0;2124,0;0,0;2,0;4,0;1,0;0,0;4,0;0,0;24,0;2,0;0,0;2,0;2,0;1,0;0,0;0,0;0;ok;10,953901290893555;12,272939309306528;20,0;20,0;43,5;0,0
41;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
42;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
43;1,0;18,0;4,0;4,0;1245,0;0,0;2,0;4,0;3,0;0,0;2,0;2,0;33,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;11,280702590942383;12,272939309306528;20,0;20,0;43,5;0,0
44;;;;;;;;;;;;;;;;;;;;;1;nan;;12,272939309306528;20,0;20,0;43,5;0,0
45;2,220446049250313e-16;12,0;4,0;0,0;4843,0;0,0;4,0;3,0;2,0;1,0;4,0;1,0;43,0;2,0;0,0;2,0;2,0;1,0;1,0;0,0;0;ok;9,885995864868164;12,272939309306528;20,0;20,0;43,5;0,0
46;;;;;;;;;;;;;;;;;;;;;0;nan;;12,272939309306528;20,0;20,0;43,5;0,0
47;;;;;;;;;;;;;;;;;;;;;1;nan;;12,272939309306528;20,0;20,0;43,5;0,0
