;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
2;A11;24,0;A32;A42;2359,0;A62;A71;0,9999999999999998;A91;A101;1,0;A122;33,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;9,539525985717773;12,272939309306528;20,0;20,0;43,5;0,0
4;A12;18,0;A32;A40;1042,0;A65;A73;4,0;A92;A101;2,0;A122;33,0;A143;A152;1,0;A173;1,0;A191;A201;1;ok;10,457756996154785;12,272939309306528;20,0;20,0;43,5;0,0
5;A11;18,0;A32;A43;2600,0;A61;A73;4,0;A93;A101;4,0;A124;65,0;A143;A153;2,0;A173;1,0;A191;A201;0;ok;9,724600791931152;12,272939309306528;20,0;20,0;43,5;0,0
6;A14;9,0;A32;A42;2301,0;A62;A72;2,0;A92;A101;4,0;A122;22,0;A143;A151;1,0;A173;1,0;A191;A201;0;ok;11,300986289978027;12,272939309306528;20,0;20,0;43,5;0,0
7;A11;30,0;A32;A41;3857,0;A61;A73;4,0;A91;A101;4,0;A122;40,0;A143;A152;1,0;A174;1,0;A192;A201;1;ok;9,893074989318848;12,272939309306528;20,0;20,0;43,5;0,0
12;A14;24,0;A32;A43;1533,0;A61;A72;4,0;A92;A101;3,0;A123;38,0;A142;A152;1,0;A173;1,0;A192;A201;1;ok;9,748762130737305;12,272939309306528;20,0;20,0;43,5;0,0
13;A12;48,0;A31;A49;3566,0;A62;A74;4,0;A93;A101;2,0;A123;30,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;10,601309776306152;12,272939309306528;20,0;20,0;43,5;0,0
14;A11;24,0;A31;A41;3632,0;A61;A73;0,9999999999999998;A92;A103;4,0;A123;22,0;A141;A151;1,0;A173;1,0;A191;A202;1;ok;13,44926929473877;12,272939309306528;20,0;20,0;43,5;0,0
15;A14;12,0;A32;A49;1542,0;A61;A74;2,0;A93;A101;4,0;A123;36,0;A143;A152;1,0;A173;1,0;A192;A201;1;ok;10,878253936767578;12,272939309306528;20,0;20,0;43,5;0,0
16;A11;12,0;A32;A40;1274,0;A61;A72;3,0;A92;A101;1,0;A121;37,0;A143;A152;1,0;A171;1,0;A191;A201;0;ok;35,43512725830078;12,272939309306528;20,0;20,0;43,5;0,0
