;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
2;A14;28,0;A31;A41;7824,0;A65;A72;3,0;A93;A103;4,0;A121;40,0;A141;A151;2,0;A173;2,0;A192;A201;0;ok;15,003013610839844;12,539856126573351;20,0;20,0;45,0;0,0
4;A13;6,0;A34;A40;1343,0;A61;A75;0,9999999999999998;A93;A101;4,0;A121;46,0;A143;A152;2,0;A173;2,0;A191;A202;1;ok;17,630659103393555;12,539856126573351;20,0;20,0;45,0;0,0
5;A12;9,0;A34;A46;1136,0;A64;A75;4,0;A93;A101;3,0;A124;32,0;A143;A153;2,0;A173;2,0;A191;A201;0;ok;10,29841423034668;12,539856126573351;20,0;20,0;45,0;0,0
7;A12;10,0;A32;A40;7308,0;A61;A71;2,0;A93;A101;4,0;A124;70,0;A141;A153;1,0;A174;1,0;A192;A201;1;ok;11,352250099182129;12,539856126573351;20,0;20,0;45,0;0,0
12;A13;10,0;A34;A43;1347,0;A65;A74;4,0;A93;A101;2,0;A122;27,0;A143;A152;2,0;A173;1,0;A192;A201;1;ok;9,917742729187012;12,539856126573351;20,0;20,0;45,0;0,0
13;A12;60,0;A32;A40;7408,0;A62;A72;4,0;A92;A101;2,0;A122;24,0;A143;A152;1,0;A174;1,0;A191;A201;0;ok;9,829318046569824;12,539856126573351;20,0;20,0;45,0;0,0
19;A12;36,0;A31;A44;3990,0;A65;A72;3,0;A92;A101;2,0;A124;29,0;A141;A152;1,0;A171;1,0;A191;A201;0;ok;9,946823120117188;12,539856126573351;20,0;20,0;45,0;0,0
22;A12;14,0;A32;A49;1410,0;A63;A75;0,9999999999999998;A94;A101;2,0;A121;35,0;A143;A152;1,0;A173;1,0;A192;A201;0;ok;12,566248893737793;12,539856126573351;20,0;20,0;45,0;0,0
24;A11;48,0;A34;A41;6143,0;A61;A75;4,0;A92;A101;4,0;A124;58,0;A142;A153;2,0;A171;1,0;A191;A201;0;ok;11,490921020507812;12,539856126573351;20,0;20,0;45,0;0,0
27;A12;15,0;A32;A45;1514,0;A62;A73;4,0;A93;A103;2,0;A121;22,0;A143;A152;1,0;A173;1,0;A191;A201;1;ok;10,715094566345215;12,539856126573351;20,0;20,0;45,0;0,0
28;A12;24,0;A32;A40;1246,0;A61;A72;4,0;A93;A101;2,0;A121;23,0;A142;A152;1,0;A171;1,0;A191;A201;0;ok;9,267268180847168;12,539856126573351;20,0;20,0;45,0;0,0
29;A14;48,0;A34;A41;11590,0;A62;A73;2,0;A92;A101;4,0;A123;24,0;A141;A151;2,0;A171;1,0;A191;A201;0;ok;9,502593994140625;12,539856126573351;20,0;20,0;45,0;0,0
30;A14;12,0;A34;A49;2292,0;A61;A71;4,0;A93;A101;2,0;A123;42,0;A142;A152;2,0;A174;1,0;A192;A201;0;ok;10,569405555725098;12,539856126573351;20,0;20,0;45,0;0,0
33;A11;9,0;A32;A43;1366,0;A61;A72;3,0;A92;A101;4,0;A122;22,0;A143;A151;1,0;A173;1,0;A191;A201;0;ok;10,171271324157715;12,539856126573351;20,0;20,0;45,0;0,0
34;A14;10,0;A32;A40;1309,0;A65;A73;4,0;A93;A103;4,0;A122;27,0;A143;A152;1,0;A171;1,0;A191;A201;0;ok;13,776233673095703;12,539856126573351;20,0;20,0;45,0;0,0
