;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
1;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
2;1,0;12,0;2,0;4,0;1158,0;2,0;2,0;3,0;2,220446049250313e-16;0,0;1,0;2,0;26,0;2,0;1,0;1,0;2,0;1,0;1,0;0,0;0;ok;10,381425857543945;11,013465857505798;20,0;20,0;40,0;0,0
3;2,220446049250313e-16;21,0;2,0;4,0;2606,0;0,0;1,0000000000000002;4,0;1,0;0,0;4,0;1,0;28,0;2,0;0,0;1,0;3,0;1,0;1,0;0,0;0;ok;11,428998947143555;11,013465857505798;20,0;20,0;40,0;0,0
4;1,0;15,0;2,0;6,0;2631,0;1,0;2,0;3,0;1,0;0,0;2,0;0,0;25,0;2,0;1,0;1,0;0,9999999999999999;1,0;0,0;0,0;1;ok;9,667647361755371;11,013465857505798;20,0;20,0;40,0;0,0
5;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
6;3,0;12,0;2,0;3,0;1123,0;2,0;2,0;4,0;1,0;0,0;4,0;2,0;29,0;2,0;0,0;1,0;0,9999999999999999;1,0;0,0;0,0;0;ok;11,511927604675293;11,013465857505798;20,0;20,0;40,0;0,0
7;3,0;60,0;3,0;4,0;15653,0;0,0;3,0;2,0;2,0;0,0;4,0;2,0;21,0;2,0;1,0;2,0;2,0;1,0;1,0;0,0;1;ok;11,568119049072266;11,013465857505798;20,0;20,0;40,0;0,0
8;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
9;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
10;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
11;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
12;3,0;9,0;4,0;3,0;2406,0;0,0;0,0;2,0;2,0;0,0;3,0;2,0;31,0;2,0;1,0;1,0;3,0;1,0;0,0;0,0;1;ok;8,606412887573242;11,013465857505798;20,0;20,0;40,0;0,0
13;3,0;12,0;4,0;9,0;2292,0;0,0;0,0;4,0;2,0;0,0;2,0;2,0;42,0;1,0;1,0;2,0;3,0;1,0;1,0;0,0;0;ok;10,34672737121582;11,013465857505798;20,0;20,0;40,0;0,0
14;1,0;12,0;2,0;0,0;6078,0;0,0;3,0;2,0;2,0;0,0;2,0;2,0;32,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;1;ok;13,085250854492188;11,013465857505798;20,0;20,0;40,0;0,0
15;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
16;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
17;2,220446049250313e-16;30,0;2,0;3,0;6350,0;4,0;4,0;4,0;2,0;0,0;4,0;1,0;31,0;2,0;1,0;1,0;2,0;1,0;0,0;0,0;0;ok;11,701108932495117;11,013465857505798;20,0;20,0;40,0;0,0
18;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
19;1,0;9,0;2,0;9,0;1390,9999999999998;0,0;2,0;2,0;3,0;0,0;1,0;0,0;27,0;2,220446049250313e-16;1,0;1,0;2,0;1,0;1,0;0,0;0;ok;10,534270286560059;11,013465857505798;20,0;20,0;40,0;0,0
20;2,0;9,0;0,0;4,0;1337,0;0,0;1,0000000000000002;4,0;2,0;0,0;2,0;2,0;34,0;2,0;1,0;2,0;3,0;1,0;1,0;0,0;1;ok;9,869912147521973;11,013465857505798;20,0;20,0;40,0;0,0
21;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
22;2,220446049250313e-16;48,0;2,0;4,0;6999,0;0,0;3,0;0,9999999999999998;3,0;2,0;1,0;0,0;34,0;2,0;1,0;2,0;2,0;1,0;1,0;0,0;0;ok;12,80709457397461;11,013465857505798;20,0;20,0;40,0;0,0
23;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
24;3,0;24,0;3,0;0,0;2538,0;0,0;4,0;4,0;2,0;0,0;4,0;2,0;47,0;2,0;1,0;2,0;0,9999999999999999;2,0;0,0;0,0;0;ok;11,724469184875488;11,013465857505798;20,0;20,0;40,0;0,0
25;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
26;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
27;;;;;;;;;;;;;;;;;;;;;1;nan;;11,013465857505798;20,0;20,0;40,0;0,0
28;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
29;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
30;;;;;;;;;;;;;;;;;;;;;0;nan;;11,013465857505798;20,0;20,0;40,0;0,0
31;2,220446049250313e-16;12,0;4,0;0,0;3499,0;0,0;2,0;3,0;1,0;1,0;2,0;0,0;29,0;2,0;1,0;2,0;2,0;1,0;0,0;0,0;0;ok;11,189764976501465;11,013465857505798;20,0;20,0;40,0;0,0
