;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
2;A12;12,0;A32;A43;1158,0;A63;A73;3,0;A91;A101;1,0;A123;26,0;A143;A152;1,0;A173;1,0;A192;A201;0;ok;10,381425857543945;11,013465857505798;20,0;20,0;40,0;0,0
3;A11;21,0;A32;A43;2606,0;A61;A72;4,0;A92;A101;4,0;A122;28,0;A143;A151;1,0;A174;1,0;A192;A201;0;ok;11,428998947143555;11,013465857505798;20,0;20,0;40,0;0,0
4;A12;15,0;A32;A45;2631,0;A62;A73;3,0;A92;A101;2,0;A121;25,0;A143;A152;1,0;A171;1,0;A191;A201;1;ok;9,667647361755371;11,013465857505798;20,0;20,0;40,0;0,0
6;A14;12,0;A32;A42;1123,0;A63;A73;4,0;A92;A101;4,0;A123;29,0;A143;A151;1,0;A171;1,0;A191;A201;0;ok;11,511927604675293;11,013465857505798;20,0;20,0;40,0;0,0
7;A14;60,0;A33;A43;15653,0;A61;A74;2,0;A93;A101;4,0;A123;21,0;A143;A152;2,0;A173;1,0;A192;A201;1;ok;11,568119049072266;11,013465857505798;20,0;20,0;40,0;0,0
12;A14;9,0;A34;A42;2406,0;A61;A71;2,0;A93;A101;3,0;A123;31,0;A143;A152;1,0;A174;1,0;A191;A201;1;ok;8,606412887573242;11,013465857505798;20,0;20,0;40,0;0,0
13;A14;12,0;A34;A49;2292,0;A61;A71;4,0;A93;A101;2,0;A123;42,0;A142;A152;2,0;A174;1,0;A192;A201;0;ok;10,34672737121582;11,013465857505798;20,0;20,0;40,0;0,0
14;A12;12,0;A32;A40;6078,0;A61;A74;2,0;A93;A101;2,0;A123;32,0;A143;A152;1,0;A173;1,0;A191;A201;1;ok;13,085250854492188;11,013465857505798;20,0;20,0;40,0;0,0
17;A11;30,0;A32;A42;6350,0;A65;A75;4,0;A93;A101;4,0;A122;31,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;11,701108932495117;11,013465857505798;20,0;20,0;40,0;0,0
19;A12;9,0;A32;A49;1390,9999999999998;A61;A73;2,0;A94;A101;1,0;A121;27,0;A141;A152;1,0;A173;1,0;A192;A201;0;ok;10,534270286560059;11,013465857505798;20,0;20,0;40,0;0,0
20;A13;9,0;A30;A43;1337,0;A61;A72;4,0;A93;A101;2,0;A123;34,0;A143;A152;2,0;A174;1,0;A192;A201;1;ok;9,869912147521973;11,013465857505798;20,0;20,0;40,0;0,0
