;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;
0;;;;;;;;;;;;;;;;;;;;;;;;
1;;1;1;;1;1;1;;1;;1;1;1;1;1;1;1;1;1;1;1;1;;18
2;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;
6;1;1;1;;1;1;;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;18
7;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;;
9;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;;;;;10
10;;;;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;;;;;
12;1;;;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
13;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;;;
22;;;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
23;;;;;;;;;;;;;;;;;;;;;;;;
24;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20
25;1;;;;1;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
26;1;;1;;1;1;;1;;1;;1;1;1;1;1;1;1;1;1;1;1;1;18
27;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;
29;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20
30;;;;;;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;;;;;;;;;;;
33;1;;;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
34;;;;;;;;;;;;;;;;;;;;;;;;
35;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20
36;;;;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;;;;;;;;;
40;1;;1;;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;19
41;;;;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;;;;;;;;;;
43;;;;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;;;;;;;;;;;
45;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
46;1;;;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
47;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
48;;;;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;;;;;;;;;;;
51;1;1;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
52;1;;;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
53;;;;;;;;;;;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;;;;;;;;;;;
56;1;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;13
57;;;;;;;;;;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;;;;;;;;;;;
62;;;;;;;;;;;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;;;;;;;;;;;
64;;;;;;;;;;;;;;;;;;;;;;;;
65;;;;;;;;;;;;;;;;;;;;;;;;
66;1;;;;1;1;;;;;;1;1;1;1;1;1;1;1;1;;1;1;14
67;;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;13
68;1;1;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
69;;;;;;;;;;;;;;;;;;;;;;;;
70;1;;;;1;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
71;;;;;;;;;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;;;;;;;;;;
73;1;;1;;1;1;1;1;1;;;1;1;1;1;1;1;1;;1;1;1;1;18
74;1;;1;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
75;;;;;;;;;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;;;;;;;;;;
81;1;1;;;1;1;1;;;;;1;;;;1;;;;;1;;;8
82;;;;;;;;;;;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;;;;;;;;;;;
88;1;;1;;1;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;17
89;;;;;;;;;;;;;;;;;;;;;;;;
90;1;1;;1;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;16
91;;;;;;;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;;;
93;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
94;;;;;;;;;;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;;;
101;;;;;;;;;;;;;;;;;;;;;;;;
102;;;;;;;;;;;;;;;;;;;;;;;;
103;;;;;;;;;;;;;;;;;;;;;;;;
104;;;;;;;;;;;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;;;;;;;
107;;;;;;;;;;;;;;;;;;;;;;;;
108;1;;1;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
109;;;;;;;;;;;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;;;;;;;;;;;
111;;;;;;;;;;;;;;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;;;;;;;;;;;
114;;;;;;;;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;;;;;;;;;;;
116;;;;;;;;;;;;;;;;;;;;;;;;
