;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;
0;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;
2;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;;;1;1;;16
3;;;;;;;;;;;;;;;;;;;;;
4;1;1;1;;1;1;1;1;1;;;;1;;1;1;;1;;1;13
5;1;1;;1;1;1;;;;;1;;1;;;;;1;;;8
6;;;;;;;;;;;;;;;;;;;;;
7;;1;1;1;1;;1;;1;;;;1;1;;1;;;;;9
8;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;;
12;1;1;;1;1;1;1;;1;;;1;1;;;;1;;1;;11
13;1;1;1;1;1;1;1;1;1;;;1;1;;;;;;1;;12
14;;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;
19;;1;1;1;1;1;1;1;;;1;1;1;1;;1;1;;;;13
20;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;
22;;1;1;1;1;1;1;;1;;1;1;1;1;;1;;;;;12
23;;;;;;;;;;;;;;;;;;;;;
24;1;1;;;1;1;;1;1;;;1;1;1;1;;1;;;;11
25;;;;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;;;;;
27;1;1;;1;1;1;1;;1;1;1;1;1;;;;;;;;11
28;;1;;1;1;;;1;1;;1;1;1;1;;;;;;;9
29;;1;;;1;1;1;1;1;;1;;1;1;1;;1;;1;;12
30;1;1;;1;1;1;1;1;;;;;1;1;;;1;;;;10
31;;;;;;;;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;;;;;;;;
33;1;1;;1;1;;;;;;1;1;1;;;;1;;;;8
34;;1;1;;1;1;1;1;1;1;1;;1;;;;1;;;;11
35;1;1;1;1;1;1;1;;1;;1;1;1;;;;;1;;;12
36;;1;1;;1;1;;1;;;;;1;;;;;;;;6
37;;1;;1;1;;;1;;;;;1;;1;;;;;;6
38;;;;;;;;;;;;;;;;;;;;;
39;1;1;;1;1;1;1;;1;;;1;1;;;;;;1;;10
40;;;;;;;;;;;;;;;;;;;;;
41;1;1;;1;1;;1;1;;;1;1;1;1;;;;;;;10
42;;;;;;;;;;;;;;;;;;;;;
43;1;1;1;;1;;1;1;;;1;1;1;;;1;;;1;;11
44;;1;1;1;1;;1;1;;;1;1;1;;;1;;;;;10
45;;;;;;;;;;;;;;;;;;;;;
