;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;
0;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;
2;1;1;1;1;1;1;1;1;;;;;;;;1;;;;;9
3;;;;;;;;;;;;;;;;;;;;;
4;1;1;;;1;;;;;;1;1;1;;1;;;;;;7
5;1;1;1;;1;1;1;;;;;;1;;;;;;;;7
6;1;1;;;1;1;;1;;;;1;1;;;;1;;;;8
7;1;1;1;1;1;;1;1;1;;;1;1;;1;1;;;;;12
8;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;;
12;1;1;1;1;1;;1;;1;;1;;1;1;;1;1;;1;;13
13;1;1;1;;1;1;1;1;;;;1;1;;;;1;;1;;11
14;1;1;1;1;1;;;1;;;1;1;1;;1;;;;;1;11
15;1;1;1;1;1;1;1;1;;;1;;1;1;;;1;;;;12
16;1;1;;;1;1;1;;1;;1;;1;;1;;;;;1;10
17;;;;;;;;;;;;;;;;;;;;;
18;;1;1;1;1;1;;1;1;;1;;1;;1;;1;;;;11
19;;1;1;;1;;1;;;;;1;1;1;;;1;;;;8
20;;1;;1;1;;1;1;;;1;1;1;;1;;;;;;9
21;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;
23;1;1;1;1;1;;1;1;;;;1;1;1;;1;;;;;11
24;1;1;1;1;1;1;;1;1;;1;;1;1;1;;1;;;;13
25;;;;;;;;;;;;;;;;;;;;;
26;1;1;;1;1;1;;1;;;1;1;1;1;1;;1;1;;;13
27;;;1;1;1;;1;;1;;1;1;1;1;;;1;;;;10
28;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;
31;1;1;1;1;1;1;;1;1;;;;1;;1;1;;;;;11
32;;;;;;;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;;;;;;
40;1;1;;1;1;;1;1;;;1;1;;;;;;;1;;9
41;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;;;;;;;
43;;1;1;1;1;;1;1;1;;1;1;1;;1;;;1;1;;13
44;;;;;;;;;;;;;;;;;;;;;
45;1;1;;;1;1;1;1;1;1;1;;1;;1;;;;;;11
