;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;hamming
0;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;
2;1;1;1;1;1;1;1;1;;;;1;1;;;1;;;1;;12
3;1;1;;1;1;;;1;1;;1;;1;;1;;1;;1;;11
4;1;1;;1;1;1;;1;;;1;;;;1;;1;;;;9
5;;;;;;;;;;;;;;;;;;;;;
6;1;;;;1;1;1;1;;;;1;1;;;;;;;;7
7;1;1;1;1;1;;1;;1;;;1;1;;1;;1;;;;11
8;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;;
12;1;1;;1;1;;;1;1;;1;;1;;;1;;;;;9
13;;1;;;1;;1;1;;;;1;1;1;;1;;;;;8
14;;1;;;1;;1;1;1;1;;1;1;1;;;;;;;9
15;;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;;
17;1;1;1;1;1;1;1;1;;;;1;1;1;;;;;;;11
18;;;;;;;;;;;;;;;;;;;;;
19;;1;1;;1;;;;1;;;1;1;1;;1;;;1;;9
20;1;;1;1;1;;;1;;;;1;1;;1;1;;;;;9
21;;;;;;;;;;;;;;;;;;;;;
22;1;1;1;1;1;;1;;1;1;1;1;1;1;;;;;;;12
23;;;;;;;;;;;;;;;;;;;;;
24;;1;1;1;1;1;;1;;;;;1;;;;1;1;;;9
25;;;;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;
31;1;1;1;1;1;1;;1;1;1;1;;1;;;1;;;;;12
32;;;;;;;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;
38;;1;1;1;1;1;1;;1;;;;1;;;1;;;1;;10
39;;;;;;;;;;;;;;;;;;;;;
40;1;;;1;1;;1;;1;;1;1;1;;;1;1;;;;10
41;;;;;;;;;;;;;;;;;;;;;
42;1;1;;1;1;1;1;;;1;1;1;1;;;1;;;;;11
43;;;;;;;;;;;;;;;;;;;;;
44;;;1;1;1;1;1;1;1;;1;1;1;1;;1;;;1;;13
45;;;;;;;;;;;;;;;;;;;;;
46;1;1;1;1;1;1;1;;1;;1;1;1;;;;;;;;11
47;;;;;;;;;;;;;;;;;;;;;
