;age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country
0;;;;;;;;;;;;;;
1;0,305447564;0;0,622380426;1;1;0;1;0;0;0;0;4,312918632;0;0
2;0,76361891;0;3,244870281;1;1;1;1;1;0;0;0,990006026;0;0;0
3;;;;;;;;;;;;;;
4;1,450875929;0;1,910764773;1;1;1;1;1;0;0;0;0;0;1
5;2,214494839;1;2,18953561;1;1;0;1;0;0;0;0;0;1,151347186;0
6;0,076361891;0;0,105628906;0;0;1;0;1;1;0;0;0;1,535129581;0
7;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;
9;0,381809455;0;0,7616714;0;0;1;0;1;0;0;0;0;1,918911977;0
10;0,076361891;1;0,992693001;1;1;1;1;1;0;1;0;0,637187243;0,767564791;0
11;;;;;;;;;;;;;;
12;0;0;0,085646402;0;0;0;0;0;0;0;0;0;0,383782395;0
13;0,534533237;0;0,84453417;1;1;0;1;0;0;0;0;3,580493439;0,153512958;0
14;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;
16;0,76361891;0;0,463663674;1;1;0;1;0;0;0;1,646950928;0;0,230269437;0
17;;;;;;;;;;;;;;
18;0,534533237;0;0,976309337;1;1;1;0;1;0;0;0;0;0,307025916;0
19;;;;;;;;;;;;;;
20;1,069066474;0;0,686264788;1;1;1;1;1;1;1;0;0;1,535129581;1
21;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;
23;0;1;1,078945838;0;0;0;0;0;0;0;0;0;0;0
24;1,145428365;0;0,024893626;0;0;1;1;1;0;0;0;0;0;0
25;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;
27;0,152723782;0;0,682974137;0;0;0;1;1;0;0;0;0;0;1
28;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;
35;0,152723782;1;0,206923299;0;0;0;0;0;0;0;2,872508793;0;0,383782395;0
36;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;
39;0,534533237;0;0,018620512;0;0;0;1;0;0;0;0;0;0,153512958;0
40;;;;;;;;;;;;;;
41;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;
43;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;
45;0,992704583;1;0,124995034;1;1;0;1;0;0;0;0;0;0;0
46;0,839980801;0;1,320604891;1;1;1;1;1;1;0;0;0;0,767564791;1
47;;;;;;;;;;;;;;
48;0,458171346;1;1,362945927;0;0;1;1;1;0;0;0;0;0,383782395;0
49;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;
56;;;;;;;;;;;;;;
57;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;
62;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;
64;0,305447564;1;3,894540245;1;1;0;0;0;0;0;18,57838654;0;1,535129581;0
65;0,229085673;0;1,927019197;0;0;0;1;0;0;0;0;0;0;0
66;;;;;;;;;;;;;;
67;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;
69;;;;;;;;;;;;;;
70;0,381809455;0;0,034139262;0;0;0;1;0;0;0;0;0;0,383782395;0
71;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;
73;;;;;;;;;;;;;;
74;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;
77;1,298152147;0;1,877868203;1;1;1;1;1;1;0;0;0;0,767564791;0
78;;;;;;;;;;;;;;
79;0,916342692;0;0,794985514;0;0;0;1;0;0;0;0;0;0;1
80;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;
89;1,450875929;0;1,250308233;1;1;1;0;1;0;0;2,872508793;0;0;0
90;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;
92;0,992704583;1;0,169085782;1;1;0;1;0;0;0;1,395338736;0;1,535129581;0
93;1,679961602;0;0,283483129;0;0;0;1;0;0;0;0;0;0;0
94;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;
101;0,610895128;0;0,223575385;0;0;1;0;1;0;0;0;0;1,535129581;1
102;;;;;;;;;;;;;;
103;0,687257019;0;0,670298668;1;1;0;0;0;0;0;1,395338736;0;0;0
104;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;
107;;;;;;;;;;;;;;
108;;;;;;;;;;;;;;
109;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;
111;0,839980801;1;2,625134306;1;1;1;1;1;1;0;2,872508793;0;0;1
112;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;
114;1,985409166;0;2,731071399;0;0;0;0;0;0;0;0,777015158;0;1,918911977;1
115;;;;;;;;;;;;;;
116;0,229085673;0;0,218704028;0;0;0;0;0;0;0;0;0;0;0
117;;;;;;;;;;;;;;
118;;;;;;;;;;;;;;
119;0,229085673;0;0,926104539;0;0;0;0;0;0;0;0;0;1,228103665;0
120;0,458171346;0;0,658746594;0;0;0;0;0;0;0;0;0;0,383782395;0
121;;;;;;;;;;;;;;
122;;;;;;;;;;;;;;
123;0,152723782;1;0,10694119;1;1;0;0;1;0;1;1,420576433;0;0,383782395;0
124;0,458171346;0;0,140255304;0;0;0;1;0;0;0;0;0;0;0
125;;;;;;;;;;;;;;
126;;;;;;;;;;;;;;
127;;;;;;;;;;;;;;
128;;;;;;;;;;;;;;
129;;;;;;;;;;;;;;
130;;;;;;;;;;;;;;
131;;;;;;;;;;;;;;
132;;;;;;;;;;;;;;
133;;;;;;;;;;;;;;
134;;;;;;;;;;;;;;
135;0,534533237;0;0,388704432;1;1;0;1;0;0;0;0,593277076;3,367341834;0;0
136;;;;;;;;;;;;;;
137;;;;;;;;;;;;;;
138;;;;;;;;;;;;;;
139;;;;;;;;;;;;;;
140;0,381809455;0;0,084532949;0;0;0;0;0;0;0;0,990006026;0;0;0
141;0,152723782;0;0,295581989;0;0;0;0;0;0;0;0;0;0,383782395;0
142;;;;;;;;;;;;;;
143;;;;;;;;;;;;;;
144;;;;;;;;;;;;;;
145;0,534533237;1;1,044687277;0;0;0;1;0;0;0;0;0;0,767564791;0
146;;;;;;;;;;;;;;
147;0,458171346;1;1,964558468;1;1;1;1;1;1;0;0;0;0;1
148;;;;;;;;;;;;;;
149;;;;;;;;;;;;;;
150;;;;;;;;;;;;;;
151;;;;;;;;;;;;;;
152;0,381809455;1;0,508142143;0;0;0;1;0;0;0;0;0;0,460538874;0
153;;;;;;;;;;;;;;
154;;;;;;;;;;;;;;
155;;;;;;;;;;;;;;
156;0,916342692;0;0,539060345;1;1;1;1;1;0;0;0;0;0;0
157;0,534533237;1;3,127778774;1;1;1;1;1;1;1;2,872508793;0;0,767564791;0
158;;;;;;;;;;;;;;
159;;;;;;;;;;;;;;
160;;;;;;;;;;;;;;
161;;;;;;;;;;;;;;
162;0,839980801;0;0,532111205;0;0;0;0;0;0;0;0;0;1,381616623;0
163;;;;;;;;;;;;;;
164;;;;;;;;;;;;;;
165;;;;;;;;;;;;;;
166;0,839980801;0;0,568507198;0;0;0;0;0;0;0;0;0;0;0
167;0,534533237;0;0,119517243;0;0;0;1;0;0;0;0;0;0,767564791;0
168;;;;;;;;;;;;;;
169;0,534533237;0;1,199228579;1;1;0;1;0;0;0;0;0;1,535129581;0
170;;;;;;;;;;;;;;
171;1,145428365;1;1,44196132;1;1;0;1;0;0;0;0;0;0,767564791;0
172;;;;;;;;;;;;;;
173;;;;;;;;;;;;;;
174;2,519942403;0;3,278850478;1;1;1;1;1;0;0;0;0;0;0
175;0,229085673;0;1,026126414;0;0;1;1;1;0;0;0;0;0;0
176;;;;;;;;;;;;;;
177;;;;;;;;;;;;;;
178;;;;;;;;;;;;;;
179;;;;;;;;;;;;;;
180;;;;;;;;;;;;;;
181;;;;;;;;;;;;;;
182;;;;;;;;;;;;;;
183;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;
185;;;;;;;;;;;;;;
186;;;;;;;;;;;;;;
187;0,76361891;1;2,764097209;0;0;1;1;1;1;0;0,990006026;0;0,383782395;0
188;0,458171346;1;0,644122583;1;1;0;0;0;0;0;0;0;0;0
189;;;;;;;;;;;;;;
190;;;;;;;;;;;;;;
191;;;;;;;;;;;;;;
192;0,305447564;0;0,17068637;0;0;0;1;0;0;0;0;0;0,767564791;0
193;;;;;;;;;;;;;;
