;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;1,138145558;1;1;0,511080792;1;0;0,90359089;1;1;2,686399606;1;0,639024628;1;1;0;0;2,523973287;1;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;1,463330004;1;0;0,009322646;1;1;2,710772669;1;0;0;0;1,917073883;0;1;1,690308509;0;2,523973287;0;1
5;1;0,243888334;0;1;0,145166922;1;0;0;0;0;0,895466535;0;0,36515693;0;0;0;0;2,523973287;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;1,382033892;1;1;0,336281173;0;1;0;1;0;0;0;2,556098511;1;0;1,690308509;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;1,625922226;0;1;0,966225706;1;1;0;1;0;0;1;0,091289233;0;0;0;1;0;1;0
13;1;2,926660007;1;1;0,959566673;1;1;0,90359089;1;0;0;1;4,564461627;0;0;0;0;0;1;0
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0,487776668;1;1;0,076911833;1;1;0,90359089;0;0;0,895466535;1;0,091289233;1;0;1,690308509;1;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0,325184445;1;1;0,610633338;1;1;0;1;0;1,790933071;1;0,182578465;1;0;1,690308509;0;0;0;0
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;1;1,463330004;0;0;0,483778756;1;0;2,710772669;1;0;0;1;0,456446163;1;1;0;1;0;0;0
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;1;0,243888334;0;1;0,239392241;1;1;0;1;1;1,790933071;1;2,829966209;0;0;0;0;0;0;0
28;0;1,463330004;0;1;0,263697712;0;0;0,90359089;1;0;0,895466535;1;0,091289233;1;0;0;0;0;0;0
29;0;1,21944167;0;0;1,444011333;1;1;0,90359089;1;0;1,790933071;0;1,004181558;1;1;0;1;0;1;0
30;1;0,731665002;0;1;0,1508271;1;1;0,90359089;0;0;0;0;0,912892325;1;0;0;1;0;0;0
31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;1;0,243888334;0;1;0,549703184;0;0;0;0;0;2,686399606;1;1,09547079;0;0;0;1;0;0;0
34;0;0,162592223;1;0;0,127520484;1;1;2,710772669;1;1;1,790933071;0;1,004181558;0;0;0;1;0;0;0
35;1;0,975553336;1;1;1,018499116;1;1;0;1;0;0,895466535;1;0,36515693;0;0;0;0;2,523973287;0;0
36;0;0,487776668;1;0;0,678888427;1;0;1,807181779;0;0;0;0;1,369338488;0;0;0;0;0;0;0
37;0;0,243888334;0;1;0,30564962;0;0;0,90359089;0;0;0;0;0,091289233;0;1;0;0;0;0;0
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;1;0,975553336;0;1;0,263697712;1;1;0;1;0;0;1;1,004181558;0;0;0;0;0;1;0
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;1;1,951106671;0;1;0,349266287;0;1;0,90359089;0;0;0,895466535;1;0,091289233;1;0;0;0;0;0;0
42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;1;0,243888334;1;0;0,350265142;0;1;0,90359089;0;0;0,895466535;1;0,273867698;0;0;1,690308509;0;0;1;0
44;0;0,487776668;1;1;0,801414637;0;1;0,90359089;0;0;0,895466535;1;1,369338488;0;0;1,690308509;0;0;0;0
45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
