;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;1,463330004;1;1;1,308500009;1;1;0,90359089;0;0;0;0;0;0;0;1,690308509;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;0,487776668;0;0;0,109541095;0;0;0;0;0;1,790933071;1;0,73031386;0;1;0;0;0;0;0
5;1;0,975553336;1;0;0,632608147;1;1;0;0;0;0;0;2,647387743;0;0;0;0;0;0;0
6;1;0,243888334;0;0;0,438830283;1;0;0,90359089;0;0;0;1;0,273867698;0;0;0;1;0;0;0
7;1;0,243888334;1;1;1,485297338;0;1;1,807181779;1;0;0;1;0,182578465;0;1;1,690308509;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;0,487776668;1;1;0,904296698;0;1;0;1;0;0,895466535;0;0,912892325;1;0;1,690308509;1;0;1;0
13;1;1,951106671;1;0;0,31963359;1;1;0,90359089;0;0;0;1;4,016726231;0;0;0;1;0;1;0
14;1;0,487776668;1;1;0,493434355;0;0;2,710772669;0;0;1,790933071;1;0,182578465;0;1;0;0;0;0;1
15;1;0,975553336;1;1;0,061263105;1;1;1,807181779;0;0;0,895466535;0;0,36515693;1;0;0;1;0;0;0
16;1;0,162592223;0;0;0,047945038;1;1;0;1;0;0,895466535;0;0,182578465;0;1;0;0;0;0;1
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0,975553336;1;1;1,837893142;1;0;2,710772669;1;0;1,790933071;0;0,821603093;0;1;0;1;0;0;0
19;0;0,975553336;1;0;0,57700522;0;1;0;0;0;0;1;1,186760023;1;0;0;1;0;0;0
20;0;2,194995005;0;1;0,844698352;0;1;0,90359089;0;0;0,895466535;1;0,273867698;0;1;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;1;1,21944167;1;1;0,151493004;0;1;0,90359089;0;0;0;1;0,912892325;1;0;1,690308509;0;0;0;0
24;1;0,731665002;1;1;1,607823548;1;0;2,710772669;1;0;1,790933071;0;0,182578465;1;1;0;1;0;0;0
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;0,243888334;0;1;0,936593009;1;0;0,90359089;0;0;0,895466535;1;0,091289233;1;1;0;1;2,523973287;0;0
27;0;0;1;1;0,151825955;0;1;0;1;0;2,686399606;1;0,73031386;1;0;0;1;0;0;0
28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;1;0,975553336;1;1;0,261700002;1;0;2,710772669;1;0;0;0;3,468990836;0;1;1,690308509;0;0;0;0
32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;1;0,975553336;0;1;0,189782444;0;1;2,710772669;0;0;1,790933071;1;0;0;0;0;0;0;1;0
41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;0;0,487776668;1;1;0,252044404;0;1;0,90359089;1;0;1,790933071;1;0,273867698;0;1;0;0;2,523973287;1;0
44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;1;0,975553336;0;0;0,792424942;1;1;0,90359089;1;1;0,895466535;0;1,460627721;0;1;0;0;0;0;0
46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
