;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;2,438883339;1;1;1,708374948;1;1;0,90359089;0;0;0;1;0,639024628;0;0;1,690308509;0;0;1;0
3;1;0,731665002;0;1;0,408198731;0;0;1,807181779;1;0;2,686399606;0;0,547735395;0;1;0;1;0;1;0
4;1;0,731665002;0;1;0,419519087;1;0;0,90359089;0;0;1,790933071;0;0;0;1;0;1;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;0;0;0;0,046613232;1;1;2,710772669;0;0;0;1;0,912892325;0;0;0;0;0;0;0
7;1;2,682771673;1;1;2,442200398;0;1;0;1;0;0;1;1,917073883;0;1;0;1;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;1,707218337;0;1;0,613629902;0;0;1,807181779;1;0;0,895466535;0;0,273867698;0;0;1,690308509;0;0;0;0
13;0;0,975553336;0;0;0,743814;0;1;0,90359089;0;0;0;1;2,921255441;1;0;1,690308509;0;0;0;0
14;0;1,463330004;0;0;1,307834106;0;1;1,807181779;1;1;0;1;0,73031386;1;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;1,21944167;1;1;1,339797465;1;1;1,807181779;0;0;0;1;0,36515693;1;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;1,707218337;1;0;0,942253187;0;0;0;1;0;0;1;0,091289233;1;0;1,690308509;0;0;1;0
20;1;0;1;1;0,028300891;0;0;0,90359089;0;0;0;1;0,639024628;0;1;1,690308509;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;1;2,438883339;1;1;1,250233469;0;1;0;1;1;2,686399606;1;0,091289233;1;0;0;0;0;0;0
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0,487776668;1;1;1,684069477;1;0;2,710772669;0;0;0;0;1,460627721;0;0;0;1;2,523973287;0;0
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;1;0,487776668;1;1;0,719508529;1;0;1,807181779;1;1;1,790933071;0;3,012544674;0;0;1,690308509;0;0;0;0
32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0;0,487776668;1;1;0,389553438;1;1;0;1;0;0;0;0,273867698;0;0;1,690308509;0;0;1;0
39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;1;0;0;1;0,609301531;0;1;0;1;0;1,790933071;1;1,825784651;0;0;1,690308509;1;0;0;0
41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;1;0,731665002;0;1;0,264696567;1;1;0;0;1;1,790933071;1;0,091289233;0;0;1,690308509;0;0;0;0
43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;0;0;1;1;0,327291478;1;1;0,90359089;1;0;0,895466535;1;1,004181558;1;0;1,690308509;0;0;1;0
45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;1;1,463330004;1;1;2,249754341;1;1;0;1;0;0,895466535;1;0,912892325;0;0;0;0;0;0;0
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
