;age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country
0;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
1;4,0;0,0;62604,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;1902,0;0,0;0,0
2;10,0;0,0;326395,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;5178,0;0,0;0,0;0,0
3;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
4;19,0;0,0;192200,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0
5;29,0;1,0;220241,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;15,0;0,0
6;1,0;0,0;10625,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0;20,0;0,0
7;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
8;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
9;5,0;0,0;76615,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;24,999999999999996;0,0
10;1,0;1,0;99853,0;1,0;1,0;1,0;1,0;1,0;0,0;1,0;0,0;281,0;10,0;0,0
11;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
12;0,0;0,0;8615,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0
13;7,0;0,0;84950,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;1579,0;2,0;0,0
14;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
15;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
16;10,0;0,0;46639,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;8614,0;0,0;3,0;0,0
17;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
18;7,0;0,0;98205,0;1,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;4,0;0,0
19;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
20;14,0;0,0;69030,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;20,0;1,0
21;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
22;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
23;0,0;1,0;108529,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
24;15,0;0,0;2504,0;0,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
25;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
26;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
27;2,0;0,0;68699,0;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0
28;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
29;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
30;;1,0;;1,0;1,0;1,0;1,0;1,0;1,0;1,0;;;;1,0
