;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome
0;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
1;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
2;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
3;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
4;12,0;0,0;0,0;1,0;0,0;1458,0;0,0;0,0;0,0;1,0;1,0;416,0;0,0;17,0;1,0;1,0
5;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
6;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
7;6,0;1,0;0,0;1,0;0,0;414,0;0,0;0,0;0,0;1,0;1,0;160,0;0,0;64,0;0,0;0,0
8;14,0;1,0;0,0;0,0;0,0;3329,0;0,0;0,0;0,0;0,0;1,0;82,0;1,0;90,0;0,0;1,0
9;17,0;1,0;1,0;0,0;0,0;3666,0;0,0;0,0;0,0;1,0;1,0;673,0;0,0;36,0;3,0;1,0
10;10,0;1,0;0,0;1,0;0,0;2136,0;0,0;0,0;0,0;1,0;1,0;440,0;1,0;25,0;1,0;1,0
11;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
12;5,0;1,0;0,0;1,0;0,0;6583,0;0,0;0,0;0,0;1,0;1,0;189,0;1,0;112,0;0,0;0,0
13;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
14;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
15;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
16;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
17;2,0;1,0;0,0;1,0;0,0;3865,0;1,0;0,0;0,0;1,0;1,0;705,0;0,0;0,0;4,0;0,0
18;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
19;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
20;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
21;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
22;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
23;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
24;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
25;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
26;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
27;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
28;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
29;1,0;1,0;0,0;1,0;0,0;178,0;0,0;0,0;0,0;1,0;1,0;336,0;0,0;12,0;4,0;0,0
30;1,0;1,0;0,0;1,0;0,0;2012,0;0,0;0,0;0,0;1,0;1,0;43,0;0,0;38,0;1,0;0,0
31;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
32;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
33;9,0;1,0;1,0;1,0;0,0;76,0;0,0;0,0;0,0;0,0;0,0;340,0;1,0;19,0;3,0;0,0
34;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
35;;1,0;1,0;1,0;1,0;;1,0;1,0;1,0;1,0;1,0;;;;;1,0
