;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
0;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
1;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
2;1,0;14,0;1,0;1,0;1535,0;1,0;0,0;1,0;1,0;1,0;3,0;1,0;7,0;1,0;1,0;0,0;0,0;1,0;1,0;0,0
3;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
4;1,0;18,0;1,0;0,0;28,000000000000227;1,0;1,0;3,0;1,0;0,0;0,0;0,0;21,0;0,0;1,0;1,0;0,0;1,0;0,0;1,0
5;1,0;3,0;0,0;1,0;436,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;4,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0
6;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
7;0,0;17,0;1,0;1,0;1010,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;28,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0
8;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
9;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
10;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
11;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
12;1,0;20,0;0,0;1,0;2902,0;1,0;1,0;0,0;1,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0
13;1,0;36,0;1,0;1,0;2882,0;1,0;1,0;1,0;1,0;0,0;0,0;1,0;50,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0
14;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
15;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
16;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
17;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
18;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
19;0,0;6,0;1,0;1,0;231,0;1,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;1,0;1,0;0,0;0,0;0,0
20;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
21;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
22;0,0;4,0;1,0;1,0;1834,0;1,0;1,0;0,0;1,0;0,0;2,0;1,0;2,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0
23;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
24;1,0;18,0;0,0;0,0;1453,0;1,0;0,0;3,0;1,0;0,0;0,0;1,0;5,0;1,0;1,0;0,0;1,0;0,0;0,0;0,0
25;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
26;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
27;1,0;3,0;0,0;1,0;719,0;1,0;1,0;0,0;1,0;1,0;2,0;1,0;31,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
28;0,0;18,0;0,0;1,0;792,0;0,0;0,0;1,0;1,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
29;0,0;15,0;0,0;0,0;4337,0;1,0;1,0;1,0;1,0;0,0;2,0;0,0;11,0;1,0;1,0;0,0;1,0;0,0;1,0;0,0
30;1,0;9,0;0,0;1,0;453,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;10,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0
31;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
32;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
33;1,0;3,0;0,0;1,0;1651,0;0,0;0,0;0,0;0,0;0,0;3,0;1,0;12,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
34;0,0;2,0;1,0;0,0;383,0;1,0;1,0;3,0;1,0;1,0;2,0;0,0;11,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
35;1,0;12,0;1,0;1,0;3059,0;1,0;1,0;0,0;1,0;0,0;1,0;1,0;4,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0
36;0,0;6,0;1,0;0,0;2038,9999999999998;1,0;0,0;2,0;0,0;0,0;0,0;0,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
37;0,0;3,0;0,0;1,0;918,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0
38;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
39;1,0;12,0;0,0;1,0;792,0000000000002;1,0;1,0;0,0;1,0;0,0;0,0;1,0;11,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0
40;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
41;1,0;24,0;0,0;1,0;1049,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
42;1,0;;1,0;1,0;;1,0;1,0;;1,0;1,0;;1,0;;1,0;1,0;;1,0;;1,0;1,0
43;1,0;3,0;1,0;0,0;1052,0;0,0;1,0;1,0;0,0;0,0;1,0;1,0;3,0;0,0;0,0;1,0;0,0;0,0;1,0;0,0
