;age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;income;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;27,0;Private;106562,0;Bachelors;13,0;Never-married;Prof-specialty;Not-in-family;White;Female;0,0;0,0;50,0;United-States;>50K;ok;13,083879470825195;12,845879241211774;14,0;14,0;29,2;0,0
1;29,0;Private;244473,0;Assoc-voc;11,0;Married-civ-spouse;Tech-support;Husband;White;Male;0,0;2050,9999999999995;40,0;United-States;<=50K;ok;12,759566307067871;12,845879241211774;14,0;14,0;29,2;0,0
5;51,0;Federal-gov;45487,0;HS-grad;9,0;Married-civ-spouse;Transport-moving;Husband;White;Male;0,0;0,0;80,0;United-States;>50K;ok;13,211783409118652;12,845879241211774;14,0;14,0;29,2;0,0
6;25,0;Private;263773,0;Some-college;10,0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0,0;0,0;40,0;United-States;>50K;ok;14,48185920715332;12,845879241211774;14,0;14,0;29,2;0,0
7;67,0;Private;186427,0;Bachelors;13,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;45,0;United-States;<=50K;ok;13,430384635925293;12,845879241211774;14,0;14,0;29,2;0,0
9;25,0;Private;263773,0;Some-college;10,0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0,0;0,0;40,0;United-States;>50K;ok;12,660874366760254;12,845879241211774;14,0;14,0;29,2;0,0
10;45,0;Self-emp-not-inc;31478,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;2829,0;0,0;60,0;United-States;<=50K;ok;13,111541748046875;12,845879241211774;14,0;14,0;29,2;0,0
12;51,0;Private;231230,0;HS-grad;9,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;0,0;45,0;United-States;<=50K;ok;12,445147514343262;12,845879241211774;14,0;14,0;29,2;0,0
16;35,0;Private;422933,0;Bachelors;13,0;Never-married;Other-service;Not-in-family;White;Male;0,0;0,0;37,0;United-States;<=50K;ok;13,171517372131348;12,845879241211774;14,0;14,0;29,2;0,0
18;43,0;Private;174575,0;Some-college;10,0;Divorced;Adm-clerical;Not-in-family;White;Male;0,0;0,0;45,0;United-States;<=50K;ok;12,443367958068848;12,845879241211774;14,0;14,0;29,2;0,0
23;49,0;Private;116927,0;Bachelors;13,0;Married-civ-spouse;Sales;Husband;White;Male;0,0;0,0;60,0;United-States;<=50K;ok;13,073097229003906;12,845879241211774;14,0;14,0;29,2;0,0
25;49,0;Self-emp-not-inc;155862,0;HS-grad;9,0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0,0;0,0;50,0;United-States;<=50K;ok;12,292342185974121;12,845879241211774;14,0;14,0;29,2;0,0
38;69,0;Private;135891,0;Bachelors;13,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;7,0;United-States;>50K;ok;12,660571098327637;12,845879241211774;14,0;14,0;29,2;0,0
39;39,0;Self-emp-not-inc;193689,0;HS-grad;9,0;Never-married;Exec-managerial;Not-in-family;White;Male;0,0;0,0;65,0;United-States;>50K;ok;13,271261215209961;12,845879241211774;14,0;14,0;29,2;0,0
43;34,0;Private;199539,0;Assoc-voc;11,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;48,0;United-States;>50K;ok;12,261286735534668;12,845879241211774;14,0;14,0;29,2;0,0
47;19,0;;200790,0;12th;8,0;Married-civ-spouse;;Other-relative;White;Female;15023,999999999998;0,0;40,0;United-States;>50K;ok;14,081099510192871;12,845879241211774;14,0;14,0;29,2;0,0
48;44,0;Private;277533,0;Some-college;10,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;12,727295875549316;12,845879241211774;14,0;14,0;29,2;0,0
49;46,0;Private;193047,0;HS-grad;9,0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;12,210197448730469;12,845879241211774;14,0;14,0;29,2;0,0
52;52,0;Federal-gov;290856,0;Bachelors;13,0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;13,14383602142334;12,845879241211774;14,0;14,0;29,2;0,0
53;34,0;Private;199539,0;Assoc-voc;11,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;48,0;United-States;<=50K;ok;12,269956588745117;12,845879241211774;14,0;14,0;29,2;0,0
56;45,0;Federal-gov;374450,0;HS-grad;9,0;Married-civ-spouse;Transport-moving;Wife;White;Female;5178,0;0,0;40,0;United-States;>50K;ok;14,818603515625;12,845879241211774;14,0;14,0;29,2;0,0
64;47,0;Private;100931,0;Masters;14,0;Divorced;Prof-specialty;Not-in-family;White;Male;0,0;0,0;45,0;United-States;<=50K;ok;12,581440925598145;12,845879241211774;14,0;14,0;29,2;0,0
70;29,0;Private;91189,0;Bachelors;13,0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0,0;0,0;48,0;United-States;<=50K;ok;12,283514022827148;12,845879241211774;14,0;14,0;29,2;0,0
72;50,0;;87263,0;HS-grad;9,0;Married-civ-spouse;;Husband;White;Male;0,0;0,0;55,0;United-States;>50K;ok;12,883131980895996;12,845879241211774;14,0;14,0;29,2;0,0
75;19,0;;200790,0;12th;8,0;Married-civ-spouse;;Other-relative;White;Female;15023,999999999998;0,0;40,0;United-States;>50K;ok;12,179069519042969;12,845879241211774;14,0;14,0;29,2;0,0
77;38,0;Private;340763,0;HS-grad;9,0;Never-married;Adm-clerical;Not-in-family;Asian-Pac-Islander;Male;0,0;2339,0;47,0;United-States;<=50K;ok;13,958538055419922;12,845879241211774;14,0;14,0;29,2;0,0
79;30,0;Private;342709,0;HS-grad;9,0;Married-civ-spouse;Tech-support;Husband;White;Male;0,0;0,0;40,0;United-States;<=50K;ok;13,232316017150879;12,845879241211774;14,0;14,0;29,2;0,0
89;19,0;;200790,0;12th;8,0;Married-civ-spouse;;Other-relative;White;Female;15023,999999999998;0,0;40,0;United-States;>50K;ok;13,03619384765625;12,845879241211774;14,0;14,0;29,2;0,0
93;46,0;Private;165937,0;HS-grad;9,0;Married-civ-spouse;Craft-repair;Husband;White;Male;0,0;0,0;40,0;United-States;>50K;ok;12,05490493774414;12,845879241211774;14,0;14,0;29,2;0,0
95;42,0;Self-emp-inc;23813,0;Some-college;10,0;Married-civ-spouse;Prof-specialty;Husband;Amer-Indian-Eskimo;Male;2885,0;0,0;30,0;United-States;<=50K;ok;12,013696670532227;12,845879241211774;14,0;14,0;29,2;0,0
97;28,0;Federal-gov;168524,0;Masters;14,0;Married-civ-spouse;Prof-specialty;Wife;White;Female;7688,0;0,0;35,0;United-States;>50K;ok;13,261457443237305;12,845879241211774;14,0;14,0;29,2;0,0
