;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome;y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;32,0;blue-collar;married;secondary;no;10287,0;yes;no;cellular;27,0;may;281,0;4,0;188,0;1,0;failure;yes;ok;8,091524124145508;9,194990344669508;16,0;16,0;32,2;0,0
3;49,0;admin.;single;tertiary;no;228,0;yes;no;cellular;2,0;jun;407,0;1,0;92,0;1,0;success;yes;ok;15,249513626098633;9,194990344669508;16,0;16,0;32,2;0,0
4;62,0;retired;married;secondary;no;243,0;no;no;cellular;25,0;jan;117,0;1,0;280,0;1,0;success;no;ok;7,892360210418701;9,194990344669508;16,0;16,0;32,2;0,0
8;42,0;management;married;primary;no;5310,0;yes;no;cellular;20,0;aug;273,0;1,0;90,0;3,0;success;no;ok;7,822605133056641;9,194990344669508;16,0;16,0;32,2;0,0
9;80,0;retired;married;secondary;no;2354,0;no;no;telephone;4,0;aug;199,0;2,0;181,0;3,0;success;yes;ok;10,567015647888184;9,194990344669508;16,0;16,0;32,2;0,0
10;49,0;management;married;tertiary;no;-969,0;no;no;cellular;30,0;jan;61,0;2,0;2,0;1,0;other;no;ok;7,355674743652344;9,194990344669508;16,0;16,0;32,2;0,0
15;33,0;admin.;single;secondary;no;572,0;yes;no;cellular;14,0;apr;344,0;1,0;74,0;2,0;failure;yes;ok;5,9900383949279785;9,194990344669508;16,0;16,0;32,2;0,0
17;32,0;management;single;tertiary;no;0,0;yes;no;cellular;18,0;nov;244,0;2,0;168,0;1,0;other;yes;ok;6,279419898986816;9,194990344669508;16,0;16,0;32,2;0,0
22;35,0;blue-collar;married;secondary;no;149,0;yes;no;cellular;29,0;apr;507,0;3,0;349,0;1,0;other;yes;ok;15,020513534545898;9,194990344669508;16,0;16,0;32,2;0,0
24;25,0;admin.;single;secondary;no;507,0;yes;no;cellular;15,0;may;832,0;1,0;367,0;3,0;failure;yes;ok;8,580214500427246;9,194990344669508;16,0;16,0;32,2;0,0
