;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;Y;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
0;210000,0;1,0;0,9999999999999999;2,0;31,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;326,0;326,0;326,0;326,0;326,0;326,0;326,0;326,0;326,0;326,0;326,0;133,0;1;ok;7,455752372741699;8,398373819166615;23,0;23,0;24,8;0,0
4;80000,0;2,0;3,0;1,0;25,0;0,0;-1,0;-1,0;-1,0;-1,0;-1,0;3525,0;1504,0;0,0;2332,0;4320,0;0,0;1654,0;0,0;2332,0;4320,0;0,0;0,0;1;ok;7,243160247802734;8,398373819166615;23,0;23,0;24,8;0,0
6;30000,0;2,0;2,0;1,0;31,0;0,0;0,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;29493,0;19433,0;18782,0;19006,0;19637,0;21251,0;3200,0;0,0;742,0;1000,0;2000,0;0,0;0;ok;8,06860065460205;8,398373819166615;23,0;23,0;24,8;0,0
9;360000,0;2,0;2,0;2,0;28,0;-2,0;-2,0;-2,0;-2,0;-2,0;-2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;ok;6,230710506439209;8,398373819166615;23,0;23,0;24,8;0,0
12;120000,0;2,0;2,0;2,0;30,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;116887,0;117419,0;116281,0;117392,0;117791,0;112505,0;4615,0;7175,0;4529,0;4625,0;4029,0;4237,0;0;ok;7,7136335372924805;8,398373819166615;23,0;23,0;24,8;0,0
14;240000,0;1,0;2,0;2,0;28,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;4882,0;5205,0;2747,0;4594,0;4092,0;4361,0;5220,0;2773,0;4614,0;4104,0;4374,0;2443,0;1;ok;8,341231346130371;8,398373819166615;23,0;23,0;24,8;0,0
15;130000,0;2,0;2,0;2,0;37,0;2,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;129677,0;131798,0;98083,0;92317,0;87375,0;87634,0;5940,0;4700,0;4433,0;3100,0;3300,0;3200,0;1;ok;7,698076248168945;8,398373819166615;23,0;23,0;24,8;0,0
26;230000,0;2,0;0,9999999999999999;1,0;34,0;-1,0;0,0;0,0;0,0;-1,0;5,551115123125783e-17;4358,0;6020,000000000007;9938,0;9865,0;6981,0;12157,0;3000,0;5000,0;5828,0;6981,0;6157,0;6342,0;1;ok;8,246637344360352;8,398373819166615;23,0;23,0;24,8;0,0
28;130000,0;2,0;0,9999999999999999;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;147582,0;138996,0;140558,0;90522,0;90917,0;92330,0;5394,0;4229,0;3211,0;3297,0;3312,0;3381,0;1;ok;8,564395904541016;8,398373819166615;23,0;23,0;24,8;0,0
33;100000,0;1,0;0,9999999999999999;2,0;32,0;0,9999999999999999;2,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;95794,0;97390,0;94110,0;92823,0;68136,0;53170,0;4000,0;0,0;2000,0;2000,0;3000,0;0,0;0;ok;7,881155014038086;8,398373819166615;23,0;23,0;24,8;0,0
41;320000,0;1,0;2,0;1,0;41,0;0,9999999999999999;-2,0;-2,0;-2,0;-2,0;-2,0;0,0;0,0;0,0;0,0;700,0;860,0;0,0;0,0;0,0;700,0000000000005;860,0000000000005;2420,0;0;ok;7,402220726013184;8,398373819166615;23,0;23,0;24,8;0,0
45;110000,0;2,0;2,0;1,0;46,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;110950,0;111750,0;111227,0;110849,0;110575,0;110394,0;4088,0;3912,0;3888,0;3975,0;4162,0;3945,0;1;ok;8,787765502929688;8,398373819166615;23,0;23,0;24,8;0,0
47;50000,0;2,0;3,0;1,0;53,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;46778,0;47770,0;49009,0;50593,0;20218,0;20645,0;1770,0;2009,0;2593,0;1000,0;752,0;1017,0;0;ok;7,934546947479248;8,398373819166615;23,0;23,0;24,8;0,0
54;360000,0;1,0;0,9999999999999999;2,0;35,0;0,9999999999999999;-1,0;-1,0;-2,0;-2,0;-2,0;0,0;1010,0;0,0;0,0;0,0;0,0;1010,0;0,0;0,0;0,0;0,0;0,0;1;ok;8,038355827331543;8,398373819166615;23,0;23,0;24,8;0,0
66;30000,0;2,0;3,0;1,0;43,0;0,9999999999999999;2,0;1,9999999999999998;2,0;2,0;2,0;12603,0;13103,0;13785,0;13911,0;13548,0;14465,0;1000,0;1200,0;646,0;0,0;1300,0;1000,0;1;ok;7,120052814483643;8,398373819166615;23,0;23,0;24,8;0,0
68;150000,0;2,0;0,9999999999999999;1,0;30,0;-2,0;-2,0;-2,0;-2,0;-2,0;-2,0;10427,0;-20,0;-20,0;-20,0;-20,0;-20,0;0,0;0,0;0,0;0,0;0,0;0,0;1;ok;4,433347702026367;8,398373819166615;23,0;23,0;24,8;0,0
74;170000,0;1,0;2,0;1,0;34,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;35923,0;37323,0;38420,0;40468,0;41793,0;43952,0;2000,0;2000,0;3000,0;2000,0;3000,0;2000,0;0;ok;8,158982276916504;8,398373819166615;23,0;23,0;24,8;0,0
75;20000,0;1,0;2,0;2,0;22,0;2,0;3,0000000000000004;1,9999999999999998;2,0;3,0;2,0;18292,0;17710,0;17137,0;19830,0;19240,0;18419,0;0,0;0,0;3000,0;0,0;0,0;2000,0;1;ok;6,460574150085449;8,398373819166615;23,0;23,0;24,8;0,0
78;20000,0;2,0;2,0;1,0;37,0;0,0;0,0;0,0;0,0;0,0;-2,0;17312,0;17762,0;18814,0;19614,0;0,0;0,0;1500,0;1500,0;1000,0;0,0;0,0;0,0;1;ok;7,94642972946167;8,398373819166615;23,0;23,0;24,8;0,0
81;270000,0;1,0;0,9999999999999999;2,0;32,0;-2,0;-2,0;-2,0;-2,0;-2,0;-2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;ok;7,5888166427612305;8,398373819166615;23,0;23,0;24,8;0,0
88;470000,0;2,0;2,0;1,0;54,0;0,9999999999999999;2,0;0,0;0,0;0,0;5,551115123125783e-17;358581,0;351295,0;358671,0;367492,0;374249,0;381132,0;0,0;13033,0;14800,0;14359,0;13897,0;14425,0;1;ok;17,097169876098633;8,398373819166615;23,0;23,0;24,8;0,0
94;360000,0;2,0;2,0;2,0;28,0;-2,0;-2,0;-2,0;-2,0;-2,0;-2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;ok;7,448585510253906;8,398373819166615;23,0;23,0;24,8;0,0
96;200000,0;1,0;2,0;2,0;36,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;99483,0;97546,0;98897,0;94943,0;96967,0;99016,0;4841,0;4300,0;3300,0;3361,0;3500,0;3206,0;1;ok;8,32939338684082;8,398373819166615;23,0;23,0;24,8;0,0
100;360000,0;2,0;2,0;2,0;41,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;352538,0;360648,0;339204,0;282520,0;290521,0;27792,0;14152,0;15000,0;15000,0;15004,0;5071,0;5168,0;1;ok;15,47665786743164;8,398373819166615;23,0;23,0;24,8;0,0
106;360000,0;1,0;0,9999999999999999;2,0;35,0;0,9999999999999999;-1,0;-1,0;-2,0;-2,0;-2,0;0,0;1010,0;0,0;0,0;0,0;0,0;1010,0;0,0;0,0;0,0;0,0;0,0;1;ok;8,089661598205566;8,398373819166615;23,0;23,0;24,8;0,0
111;50000,0;2,0;3,0;1,0;53,0;0,9999999999999999;-2,0;-2,0;-2,0;-2,0;-2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;ok;10,140257835388184;8,398373819166615;23,0;23,0;24,8;0,0
122;320000,0;1,0;2,0;1,0;41,0;0,9999999999999999;-2,0;-2,0;-2,0;-2,0;-2,0;0,0;0,0;0,0;0,0;700,0;860,0;0,0;0,0;0,0;700,0000000000005;860,0000000000005;2420,0;1;ok;9,119553565979004;8,398373819166615;23,0;23,0;24,8;0,0
123;10000,0;2,0;0,9999999999999999;1,0;23,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;7641,0;8557,0;9080,0;1410,0;9508,0;8997,0;1262,0;1000,0;1114,9999999999995;9329,0;331,0;1000,0;1;ok;7,89161491394043;8,398373819166615;23,0;23,0;24,8;0,0
129;140000,0;2,0;0,9999999999999999;2,0;23,0;0,0;0,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;90289,0;91739,0;89623,0;82030,0;84792,0;84794,0;10007,0;1038,0;3900,0;5000,0;4000,0;5000,0;0;ok;9,556509017944336;8,398373819166615;23,0;23,0;24,8;0,0
143;150000,0;2,0;0,9999999999999999;2,0;29,0;-1,0;-1,0;-1,0;0,0;0,0;5,551115123125783e-17;2356,0;16836,0;1094,0;6382,0;5288,0;5288,0;16836,0;2000,0;5288,0;0,0;0,0;0,0;1;ok;6,511454105377197;8,398373819166615;23,0;23,0;24,8;0,0
147;140000,0;1,0;0,9999999999999999;1,0;31,0;2,0;0,0;0,0;2,0;2,0;2,0;51028,0;52112,0;55232,0;55932,0;54910,0;57344,0;2500,0;4600,0;2200,0;0,0;3513,0;3000,0;0;ok;8,485710144042969;8,398373819166615;23,0;23,0;24,8;0,0
148;140000,0;2,0;0,9999999999999999;2,0;23,0;0,0;0,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;90289,0;91739,0;89623,0;82030,0;84792,0;84794,0;10007,0;1038,0;3900,0;5000,0;4000,0;5000,0;1;ok;7,087454319000244;8,398373819166615;23,0;23,0;24,8;0,0
151;90000,0;1,0;3,0;1,0;39,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;93757,0;91359,0;88616,0;56887,0;46700,0;47272,0;4000,0;2625,0;2511,0;1501,0;1391,0;1393,0;1;ok;7,081523418426514;8,398373819166615;23,0;23,0;24,8;0,0
153;50000,0;2,0;2,0;2,0;26,0;0,9999999999999999;2,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;50867,0;51486,0;48869,0;30115,0;29527,0;29998,0;1710,0;136,0;1205,9999999999995;2002,0;2005,0;3003,0;0;ok;5,6630167961120605;8,398373819166615;23,0;23,0;24,8;0,0
154;40000,0;1,0;3,0;2,0;24,0;2,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;39149,0;39189,0;40543,0;38922,0;39901,0;40746,0;1658,0;2012,0;1392,0000000000005;1605,0;1668,0;1201,0;1;ok;5,061995506286621;8,398373819166615;23,0;23,0;24,8;0,0
159;70000,0;1,0;2,0;1,0;45,0;0,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;31218,0;32321,0;41713,0;42233,0;43288,0;46001,0;1608,0;10000,0;1511,0;1735,0;3600,0;0,0;1;ok;8,935235023498535;8,398373819166615;23,0;23,0;24,8;0,0
161;240000,0;1,0;2,0;1,0;48,0;0,0;-1,0;-1,0;-2,0;-1,0;-1,0;3972,0;783,0;0,0;0,0;3853,0;29252,0;783,0;0,0;0,0;3853,0;29252,0;16747,0;1;ok;11,479222297668457;8,398373819166615;23,0;23,0;24,8;0,0
166;180000,0;2,0;2,0;2,0;29,0;-2,0;-1,0;-1,0;-1,0;-1,0;-1,0;4000,0;6028,0;6028,0;3996,0;9062,0;3997,0;6028,0;6028,0;3996,0;9066,0;3997,0;6992,0;1;ok;6,597375392913818;8,398373819166615;23,0;23,0;24,8;0,0
173;180000,0;1,0;2,0;1,0;41,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;859,0;1811,0;1335,0;366,0;1811,0;1828,0;1811,0000000000005;1335,0;366,0;1811,0;1828,0;366,0;1;ok;8,356934547424316;8,398373819166615;23,0;23,0;24,8;0,0
177;100000,0;2,0;3,0;1,0;36,0;2,0;0,0;0,0;0,0;0,0;5,551115123125783e-17;100281,0;100433,0;99744,0;101882,0;101116,0;97283,0;5000,0;5000,0;7900,0;4000,0;4000,0;30300,0;0;ok;11,264638900756836;8,398373819166615;23,0;23,0;24,8;0,0
178;50000,0;2,0;3,0;1,0;28,0;0,0;0,0;1,9999999999999998;0,0;0,0;5,551115123125783e-17;14484,0;18528,0;18923,0;19310,0;19848,0;20367,0;4300,0;1000,0;1000,0;1000,0;1000,0000000000005;1000,0;0;ok;6,762884616851807;8,398373819166615;23,0;23,0;24,8;0,0
