;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
2;A14;15,0;A32;A41;3812,0;A62;A72;0,9999999999999998;A92;A101;4,0;A123;23,0;A143;A152;1,0;A173;1,0;A192;A201;0;ok;11,880411148071289;12,522501370486092;20,0;20,0;34,0;0,0
4;A14;12,0;A32;A42;1123,0;A63;A73;4,0;A92;A101;4,0;A123;29,0;A143;A151;1,0;A171;1,0;A191;A201;1;ok;10,739293098449707;12,522501370486092;20,0;20,0;34,0;0,0
5;A11;33,0;A34;A42;4281,0;A63;A73;0,9999999999999998;A92;A101;4,0;A123;23,0;A143;A152;2,0;A173;1,0;A191;A201;0;ok;8,718846321105957;12,522501370486092;20,0;20,0;34,0;0,0
6;A13;6,0;A33;A43;683,0;A61;A72;2,0;A92;A101;1,0;A122;29,0;A141;A152;1,0;A173;1,0;A191;A201;0;ok;12,237465858459473;12,522501370486092;20,0;20,0;34,0;0,0
8;A11;12,0;A32;A40;1274,0;A61;A72;3,0;A92;A101;1,0;A121;37,0;A143;A152;1,0;A171;1,0;A191;A201;0;ok;8,740398406982422;12,522501370486092;20,0;20,0;34,0;0,0
11;A12;39,0;A33;A46;11760,0;A62;A74;2,0;A93;A101;3,0;A124;32,0;A143;A151;1,0;A173;1,0;A192;A201;1;ok;10,85020923614502;12,522501370486092;20,0;20,0;34,0;0,0
12;A14;30,0;A34;A43;2831,0;A61;A73;4,0;A92;A101;2,0;A123;33,0;A143;A152;1,0;A173;1,0;A192;A201;1;ok;10,35329818725586;12,522501370486092;20,0;20,0;34,0;0,0
14;A11;24,0;A32;A42;4020,0;A61;A73;2,0;A93;A101;2,0;A123;27,0;A142;A152;1,0;A173;1,0;A191;A201;1;ok;13,215712547302246;12,522501370486092;20,0;20,0;34,0;0,0
15;A11;36,0;A32;A46;1977,0;A65;A75;4,0;A93;A101;4,0;A124;40,0;A143;A152;1,0;A174;1,0;A192;A201;1;ok;11,535704612731934;12,522501370486092;20,0;20,0;34,0;0,0
19;A12;27,0;A32;A49;2528,0;A61;A72;4,0;A92;A101;1,0;A122;32,0;A143;A152;1,0;A173;2,0;A192;A201;0;ok;12,744490623474121;12,522501370486092;20,0;20,0;34,0;0,0
