;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
2;A11;18,0;A30;A49;3104,0;A61;A74;3,0;A93;A101;1,0;A122;31,0;A141;A152;1,0;A173;1,0;A192;A201;0;ok;11,67174243927002;11,356102065036172;20,0;20,0;38,0;0,0
6;A11;18,0;A32;A42;2039,0;A61;A73;0,9999999999999998;A92;A101;4,0;A121;20,0;A141;A151;1,0;A173;1,0;A191;A201;0;ok;10,239204406738281;11,356102065036172;20,0;20,0;38,0;0,0
7;A14;24,0;A32;A41;6313,0;A65;A75;3,0;A93;A101;4,0;A123;41,0;A143;A152;1,0;A174;2,0;A192;A201;1;ok;12,277421951293945;11,356102065036172;20,0;20,0;38,0;0,0
18;A11;24,0;A32;A40;1285,0;A65;A74;4,0;A92;A101;4,0;A124;32,0;A143;A151;1,0;A173;1,0;A191;A201;0;ok;11,58399486541748;11,356102065036172;20,0;20,0;38,0;0,0
19;A14;24,0;A34;A49;4139,0;A62;A73;3,0;A93;A101;3,0;A122;27,0;A143;A152;2,0;A171;1,0;A192;A201;0;ok;12,63646125793457;11,356102065036172;20,0;20,0;38,0;0,0
20;A11;24,0;A32;A43;1823,0;A61;A71;4,0;A93;A101;2,0;A123;30,0;A142;A152;1,0;A174;2,0;A191;A201;1;ok;10,659991264343262;11,356102065036172;20,0;20,0;38,0;0,0
21;A11;12,0;A32;A48;902,0;A61;A74;4,0;A94;A101;4,0;A122;21,0;A143;A151;1,0;A173;1,0;A191;A201;0;ok;12,691625595092773;11,356102065036172;20,0;20,0;38,0;0,0
22;A14;21,0;A32;A40;2782,0;A63;A74;0,9999999999999998;A92;A101;2,0;A123;31,0;A141;A152;1,0;A174;1,0;A191;A201;0;ok;10,649194717407227;11,356102065036172;20,0;20,0;38,0;0,0
25;A12;9,0;A31;A41;5129,0;A61;A75;2,0;A92;A101;4,0;A124;74,0;A141;A153;1,0;A174;2,0;A192;A201;0;ok;15,135485649108887;11,356102065036172;20,0;20,0;38,0;0,0
32;A14;24,0;A32;A43;3621,0;A62;A75;2,0;A93;A101;4,0;A123;31,0;A143;A152;2,0;A173;1,0;A191;A201;0;ok;10,393589973449707;11,356102065036172;20,0;20,0;38,0;0,0
35;A12;18,0;A33;A42;4297,0;A61;A75;4,0;A91;A101;3,0;A124;40,0;A143;A152;1,0;A174;1,0;A192;A201;0;ok;10,34111499786377;11,356102065036172;20,0;20,0;38,0;0,0
38;A11;21,0;A31;A40;1647,0;A65;A73;4,0;A93;A101;2,0;A122;40,0;A143;A152;2,0;A171;2,0;A191;A201;0;ok;9,818036079406738;11,356102065036172;20,0;20,0;38,0;0,0
39;A11;21,0;A32;A43;1835,0;A61;A73;3,0;A92;A101;2,0;A121;25,0;A143;A152;2,0;A173;1,0;A192;A201;0;ok;10,824136734008789;11,356102065036172;20,0;20,0;38,0;0,0
44;A12;24,0;A33;A43;6403,0;A61;A72;0,9999999999999998;A93;A101;2,0;A123;33,0;A143;A152;1,0;A173;1,0;A191;A201;1;ok;11,096689224243164;11,356102065036172;20,0;20,0;38,0;0,0
54;A11;18,0;A34;A40;5302,0;A61;A75;2,0;A93;A101;4,0;A124;36,0;A143;A153;3,0;A174;1,0;A192;A201;1;ok;11,50200080871582;11,356102065036172;20,0;20,0;38,0;0,0
55;A12;24,0;A32;A40;1246,0;A61;A72;4,0;A93;A101;2,0;A121;23,0;A142;A152;1,0;A171;1,0;A191;A201;0;ok;10,30291748046875;11,356102065036172;20,0;20,0;38,0;0,0
62;A12;6,0;A32;A43;368,0;A65;A75;4,0;A93;A101;4,0;A122;38,0;A143;A152;1,0;A173;1,0;A191;A201;1;ok;11,816527366638184;11,356102065036172;20,0;20,0;38,0;0,0
63;A14;6,0;A30;A43;426,0;A61;A75;4,0;A94;A101;4,0;A123;39,0;A143;A152;1,0;A171;1,0;A191;A201;0;ok;11,291120529174805;11,356102065036172;20,0;20,0;38,0;0,0
72;A11;8,0;A34;A410;1164,0;A61;A75;3,0;A93;A101;4,0;A124;51,0;A141;A153;2,0;A174;2,0;A192;A201;1;ok;11,033641815185547;11,356102065036172;20,0;20,0;38,0;0,0
74;A11;36,0;A32;A410;15857,0;A61;A71;2,0;A91;A102;3,0;A123;43,0;A143;A152;1,0;A174;1,0;A191;A201;1;ok;14,622444152832031;11,356102065036172;20,0;20,0;38,0;0,0
77;A11;18,0;A32;A43;2600,0;A61;A73;4,0;A93;A101;4,0;A124;65,0;A143;A153;2,0;A173;1,0;A191;A201;0;ok;14,98130989074707;11,356102065036172;20,0;20,0;38,0;0,0
78;A14;24,0;A32;A43;1901,0;A62;A73;4,0;A93;A101;4,0;A123;29,0;A143;A151;1,0;A174;1,0;A192;A201;1;ok;12,347156524658203;11,356102065036172;20,0;20,0;38,0;0,0
