;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20;class;predict;euclidean;euclidean_medio;hamming;hamming_medio;cobertura_pct;erro_pct
2;A11;36,0;A32;A410;15857,0;A61;A71;2,0;A91;A102;3,0;A123;43,0;A143;A152;1,0;A174;1,0;A191;A201;0;ok;12,407380104064941;11,715818683306376;20,0;20,0;36,0;0,0
3;A11;12,0;A32;A43;1107,0;A61;A73;2,0;A93;A101;2,0;A121;20,0;A143;A151;1,0;A174;2,0;A192;A201;0;ok;12,08193302154541;11,715818683306376;20,0;20,0;36,0;0,0
5;A14;12,0;A33;A45;1555,0;A64;A75;4,0;A93;A101;4,0;A124;55,0;A143;A153;2,0;A173;2,0;A191;A201;0;ok;11,645224571228027;11,715818683306376;20,0;20,0;36,0;0,0
7;A14;60,0;A33;A43;15653,0;A61;A74;2,0;A93;A101;4,0;A123;21,0;A143;A152;2,0;A173;1,0;A192;A201;1;ok;11,895953178405762;11,715818683306376;20,0;20,0;36,0;0,0
10;A12;48,0;A32;A40;6560,0;A62;A74;3,0;A93;A101;2,0;A122;24,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;10,165935516357422;11,715818683306376;20,0;20,0;36,0;0,0
11;A12;36,0;A32;A40;12389,0;A65;A73;0,9999999999999998;A93;A101;4,0;A124;37,0;A143;A153;1,0;A173;1,0;A192;A201;1;ok;11,16789436340332;11,715818683306376;20,0;20,0;36,0;0,0
12;A11;24,0;A31;A42;2483,0;A63;A73;4,0;A93;A101;4,0;A121;22,0;A142;A152;1,0;A173;1,0;A192;A201;1;ok;9,734871864318848;11,715818683306376;20,0;20,0;36,0;0,0
19;A12;12,0;A32;A43;1158,0;A63;A73;3,0;A91;A101;1,0;A123;26,0;A143;A152;1,0;A173;1,0;A192;A201;0;ok;10,103590965270996;11,715818683306376;20,0;20,0;36,0;0,0
22;A13;24,0;A32;A43;5152,0;A61;A74;4,0;A93;A101;2,0;A123;25,0;A141;A152;1,0;A173;1,0;A191;A201;0;ok;11,287073135375977;11,715818683306376;20,0;20,0;36,0;0,0
23;A11;36,0;A32;A41;5493,0;A61;A75;2,0;A93;A101;4,0;A124;42,0;A143;A153;1,0;A173;2,0;A191;A201;1;ok;11,678356170654297;11,715818683306376;20,0;20,0;36,0;0,0
24;A11;48,0;A34;A41;6143,0;A61;A75;4,0;A92;A101;4,0;A124;58,0;A142;A153;2,0;A171;1,0;A191;A201;0;ok;11,258152961730957;11,715818683306376;20,0;20,0;36,0;0,0
25;A11;18,0;A32;A43;2600,0;A61;A73;4,0;A93;A101;4,0;A124;65,0;A143;A153;2,0;A173;1,0;A191;A201;0;ok;14,910913467407227;11,715818683306376;20,0;20,0;36,0;0,0
27;A11;9,0;A32;A40;654,0;A61;A73;4,0;A93;A101;3,0;A123;28,0;A143;A152;1,0;A171;1,0;A191;A201;1;ok;9,726632118225098;11,715818683306376;20,0;20,0;36,0;0,0
33;A11;6,0;A34;A42;3384,0;A61;A73;0,9999999999999998;A91;A101;4,0;A121;44,0;A143;A151;1,0;A174;1,0;A192;A201;0;ok;12,086997985839844;11,715818683306376;20,0;20,0;36,0;0,0
36;A12;15,0;A33;A45;1511,9999999999998;A64;A73;3,0;A94;A101;3,0;A122;61,0;A142;A152;2,0;A173;1,0;A191;A201;0;ok;9,665688514709473;11,715818683306376;20,0;20,0;36,0;0,0
38;A11;30,0;A32;A42;6350,0;A65;A75;4,0;A93;A101;4,0;A122;31,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;10,197293281555176;11,715818683306376;20,0;20,0;36,0;0,0
40;A11;6,0;A34;A42;3384,0;A61;A73;0,9999999999999998;A91;A101;4,0;A121;44,0;A143;A151;1,0;A174;1,0;A192;A201;0;ok;10,39980411529541;11,715818683306376;20,0;20,0;36,0;0,0
42;A12;24,0;A32;A41;11560,0;A61;A73;0,9999999999999998;A92;A101;4,0;A123;23,0;A143;A151;2,0;A174;1,0;A191;A201;0;ok;10,918791770935059;11,715818683306376;20,0;20,0;36,0;0,0
44;A14;24,0;A32;A42;929,0;A65;A74;4,0;A93;A101;2,0;A123;31,0;A142;A152;1,0;A173;1,0;A192;A201;1;ok;11,267165184020996;11,715818683306376;20,0;20,0;36,0;0,0
46;A11;33,0;A34;A42;4281,0;A63;A73;0,9999999999999998;A92;A101;4,0;A123;23,0;A143;A152;2,0;A173;1,0;A191;A201;0;ok;10,989660263061523;11,715818683306376;20,0;20,0;36,0;0,0
47;A14;6,0;A32;A42;4611,0;A61;A72;0,9999999999999998;A92;A101;4,0;A122;32,0;A143;A152;1,0;A173;1,0;A191;A201;1;ok;11,11983871459961;11,715818683306376;20,0;20,0;36,0;0,0
49;A12;10,0;A32;A40;7308,0;A61;A71;2,0;A93;A101;4,0;A124;70,0;A141;A153;1,0;A174;1,0;A192;A201;0;ok;12,39228630065918;11,715818683306376;20,0;20,0;36,0;0,0
50;A12;24,0;A34;A46;5743,0;A61;A72;2,0;A92;A101;4,0;A124;24,0;A143;A153;2,0;A173;1,0;A192;A201;1;ok;10,136590003967285;11,715818683306376;20,0;20,0;36,0;0,0
51;A14;6,0;A32;A42;4611,0;A61;A72;0,9999999999999998;A92;A101;4,0;A122;32,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;10,629631042480469;11,715818683306376;20,0;20,0;36,0;0,0
54;A14;48,0;A33;A43;7238,0;A65;A75;3,0;A93;A101;3,0;A123;32,0;A141;A152;2,0;A173;2,0;A191;A201;1;ok;10,467611312866211;11,715818683306376;20,0;20,0;36,0;0,0
55;A14;10,0;A32;A40;1309,0;A65;A73;4,0;A93;A103;4,0;A122;27,0;A143;A152;1,0;A171;1,0;A191;A201;0;ok;45,11783218383789;11,715818683306376;20,0;20,0;36,0;0,0
57;A11;6,0;A34;A42;3384,0;A61;A73;0,9999999999999998;A91;A101;4,0;A121;44,0;A143;A151;1,0;A174;1,0;A192;A201;0;ok;11,218019485473633;11,715818683306376;20,0;20,0;36,0;0,0
65;A11;15,0;A30;A40;950,0;A61;A75;4,0;A93;A101;3,0;A123;33,0;A143;A151;2,0;A173;2,0;A191;A201;1;ok;14,579123497009277;11,715818683306376;20,0;20,0;36,0;0,0
67;A11;12,0;A32;A41;3386,0;A61;A75;3,0;A93;A101;4,0;A124;35,0;A143;A153;1,0;A173;1,0;A192;A201;0;ok;11,473484992980957;11,715818683306376;20,0;20,0;36,0;0,0
68;A11;24,0;A32;A40;1285,0;A65;A74;4,0;A92;A101;4,0;A124;32,0;A143;A151;1,0;A173;1,0;A191;A201;0;ok;11,34138011932373;11,715818683306376;20,0;20,0;36,0;0,0
72;A14;24,0;A33;A40;2538,0;A61;A75;4,0;A93;A101;4,0;A123;47,0;A143;A152;2,0;A171;2,0;A191;A201;1;ok;11,727938652038574;11,715818683306376;20,0;20,0;36,0;0,0
76;A11;30,0;A32;A42;6350,0;A65;A75;4,0;A93;A101;4,0;A122;31,0;A143;A152;1,0;A173;1,0;A191;A201;0;ok;10,284440040588379;11,715818683306376;20,0;20,0;36,0;0,0
